# index, label, _pos
0,0,"array([-0.28742134, -2.49303403])"
1,600,"array([-0.26308552, -2.5344883 ])"
2,660,"array([-0.32223401, -2.5114946 ])"
3,778,"array([-0.2784291 , -2.44151691])"
4,1,"array([-0.3587092 , -1.98483525])"
5,601,"array([-0.32903139, -1.94672947])"
6,661,"array([-0.3557261 , -1.95544401])"
7,776,"array([-0.3721307 , -2.03896673])"
8,2,"array([-0.31187345, -2.01916881])"
9,602,"array([-0.30438389, -1.96861464])"
10,662,"array([-0.34260943, -2.06295781])"
11,773,"array([-0.27200622, -2.03247266])"
12,3,"array([-0.1869599 , -2.71375889])"
13,603,"array([-0.14784325, -2.702778  ])"
14,663,"array([-0.21645694, -2.67132929])"
15,770,"array([-0.18368915, -2.76405098])"
16,4,"array([-0.21122524, -2.4852236 ])"
17,604,"array([-0.22696928, -2.53028928])"
18,664,"array([-0.23471408, -2.43893625])"
19,768,"array([-0.16554327, -2.49020388])"
20,5,"array([-0.29005149, -2.60382988])"
21,605,"array([-0.26001773, -2.58058593])"
22,665,"array([-0.27559008, -2.65621825])"
23,779,"array([-0.3210059 , -2.56560539])"
24,6,"array([-0.16313182, -2.61832125])"
25,606,"array([-0.13864958, -2.66121626])"
26,666,"array([-0.1421653 , -2.57354958])"
27,777,"array([-0.20690075, -2.62008232])"
28,7,"array([ 0.11381357, -1.92019401])"
29,607,"array([ 0.15362593, -1.93597175])"
30,667,"array([ 0.07413256, -1.95253136])"
31,769,"array([ 0.12326318, -1.8728989 ])"
32,8,"array([-0.10413803, -2.77952009])"
33,608,"array([-0.11416165, -2.73393712])"
34,668,"array([-0.14385919, -2.7977355 ])"
35,746,"array([-0.05828695, -2.8023863 ])"
36,9,"array([ 0.2534857, -2.1185192])"
37,609,"array([ 0.29438445, -2.13649965])"
38,669,"array([ 0.25598285, -2.06975752])"
39,764,"array([ 0.21241643, -2.14551129])"
40,10,"array([ 0.4220908 , -1.53530672])"
41,610,"array([ 0.47524414, -1.53262556])"
42,670,"array([ 0.37880988, -1.5194164 ])"
43,775,"array([ 0.39813936, -1.57061784])"
44,11,"array([ 0.36408328, -2.22628098])"
45,611,"array([ 0.34386011, -2.18406167])"
46,671,"array([ 0.33332534, -2.26366892])"
47,748,"array([ 0.41377309, -2.22787948])"
48,12,"array([ 0.58156344, -2.86698472])"
49,612,"array([ 0.5962319 , -2.82495344])"
50,672,"array([ 0.53135008, -2.87506409])"
51,741,"array([ 0.61951957, -2.89202151])"
52,13,"array([-0.2309048 , -1.93917702])"
53,613,"array([-0.27344647, -1.93122147])"
54,673,"array([-0.23674232, -1.99099756])"
55,761,"array([-0.19179079, -1.90018414])"
56,14,"array([ 0.18697414, -3.15949714])"
57,614,"array([ 0.23220892, -3.18621577])"
58,674,"array([ 0.13639519, -3.15283633])"
59,756,"array([ 0.19754512, -3.12222267])"
60,15,"array([ 0.38223091, -2.59948669])"
61,615,"array([ 0.42757234, -2.59580428])"
62,675,"array([ 0.36649636, -2.64493415])"
63,760,"array([ 0.35452763, -2.55748727])"
64,16,"array([-0.22701615, -1.85058856])"
65,616,"array([-0.265515  , -1.88870088])"
66,676,"array([-0.18292916, -1.85072165])"
67,757,"array([-0.21584418, -1.80765388])"
68,17,"array([ 0.52610492, -2.53567008])"
69,617,"array([ 0.49185911, -2.56632553])"
70,677,"array([ 0.50942771, -2.48966719])"
71,750,"array([ 0.57394475, -2.5518591 ])"
72,18,"array([ 0.32017046, -3.23140265])"
73,618,"array([ 0.28490023, -3.22947011])"
74,678,"array([ 0.37706249, -3.22958832])"
75,749,"array([ 0.27657699, -3.21219979])"
76,19,"array([-0.16263547, -2.58209329])"
77,619,"array([-0.20497946, -2.57127991])"
78,679,"array([-0.14179158, -2.53798326])"
79,767,"array([-0.13958559, -2.62977478])"
80,20,"array([-0.20782017, -2.65212329])"
81,620,"array([-0.22644724, -2.6056111 ])"
82,680,"array([-0.16297294, -2.67125115])"
83,774,"array([-0.2338437 , -2.68670433])"
84,21,"array([ 0.20980351, -1.87366247])"
85,621,"array([ 0.19571252, -1.91509658])"
86,681,"array([ 0.17121079, -1.84983137])"
87,732,"array([ 0.25934968, -1.86364057])"
88,22,"array([ 0.18894463, -3.20856598])"
89,622,"array([ 0.23645386, -3.21841727])"
90,682,"array([ 0.21820199, -3.20505271])"
91,754,"array([ 0.13772018, -3.186732  ])"
92,23,"array([-0.29824799, -1.8666599 ])"
93,623,"array([-0.30434821, -1.90345249])"
94,683,"array([-0.25928521, -1.82395389])"
95,771,"array([-0.32617359, -1.90575533])"
96,24,"array([ 0.12030533, -2.01406869])"
97,624,"array([ 0.15257495, -1.97841877])"
98,684,"array([ 0.13441077, -2.05752431])"
99,772,"array([ 0.07586832, -2.00228575])"
100,25,"array([ 0.57952826, -2.72231855])"
101,625,"array([ 0.59661915, -2.76176639])"
102,685,"array([ 0.61068035, -2.68439008])"
103,755,"array([ 0.53125075, -2.72259191])"
104,26,"array([ 0.89317991, -1.96625263])"
105,626,"array([ 0.90484149, -2.01163662])"
106,686,"array([ 0.84775512, -1.94194431])"
107,728,"array([ 0.93177481, -1.9499503 ])"
108,27,"array([-0.07418763, -2.62721761])"
109,627,"array([-0.09839572, -2.66661288])"
110,687,"array([-0.0286025, -2.6393914])"
111,753,"array([-0.09611823, -2.58067329])"
112,28,"array([ 0.4279366 , -2.51805693])"
113,628,"array([ 0.44798163, -2.56025285])"
114,688,"array([ 0.37852041, -2.51603489])"
115,731,"array([ 0.45885594, -2.48079081])"
116,29,"array([ 0.47228023, -1.51258212])"
117,629,"array([ 0.50776247, -1.51435721])"
118,689,"array([ 0.51629685, -1.53161178])"
119,738,"array([ 0.41543088, -1.51483756])"
120,30,"array([ 0.26596323, -2.2095854 ])"
121,630,"array([ 0.29998566, -2.17874375])"
122,690,"array([ 0.21798812, -2.19432412])"
123,737,"array([ 0.28285168, -2.25553893])"
124,31,"array([ 0.49714289, -1.59085289])"
125,631,"array([ 0.51355281, -1.55597688])"
126,691,"array([ 0.44244482, -1.59510363])"
127,762,"array([ 0.54148414, -1.6204446 ])"
128,32,"array([ 0.52342279, -2.80094628])"
129,632,"array([ 0.57010609, -2.79604129])"
130,692,"array([ 0.50119188, -2.76149645])"
131,759,"array([ 0.49780195, -2.841702  ])"
132,33,"array([ 0.86626854, -2.11701962])"
133,633,"array([ 0.89000991, -2.0776535 ])"
134,693,"array([ 0.88828008, -2.16362437])"
135,747,"array([ 0.82042044, -2.10474464])"
136,34,"array([ 0.60376457, -1.53487491])"
137,634,"array([ 0.55620187, -1.52502511])"
138,694,"array([ 0.6548757 , -1.55606112])"
139,742,"array([ 0.57475081, -1.5389444 ])"
140,35,"array([ 0.21293771, -2.02005868])"
141,635,"array([ 0.19545781, -1.98021452])"
142,695,"array([ 0.26124744, -2.01913591])"
143,745,"array([ 0.18177387, -2.05829582])"
144,36,"array([ 0.60597063, -1.58405954])"
145,636,"array([ 0.56067054, -1.55714779])"
146,696,"array([ 0.59539077, -1.6216624 ])"
147,734,"array([ 0.65620094, -1.58975592])"
148,37,"array([ 1.01990835, -2.89345572])"
149,637,"array([ 1.0583277, -2.8552017])"
150,697,"array([ 1.00874491, -2.9366874 ])"
151,736,"array([ 0.97551603, -2.89373038])"
152,38,"array([ 0.4465456 , -2.66974929])"
153,638,"array([ 0.45866626, -2.62599881])"
154,698,"array([ 0.4879372 , -2.69818882])"
155,766,"array([ 0.39972697, -2.68243033])"
156,39,"array([ 0.26648575, -1.93915554])"
