# source, target, MasterNetID, Rank, Interaction_type, Exp_Direct, Exp_Indirect, TaxID_interolog, Source_databases, Reference, Reference_type, Count_direct, Count_indirect, Count_paper, Source_Interolog, Comment
0,1,DM_GEN10000,low,genetic,MI:0796,,,BioGrid;DroID;FlyBase,15454540,PMID,1,0,1,,NULL
0,2,DM_GEN10001,low,genetic,MI:0796,,,BioGrid;DroID;FlyBase,12093739,PMID,1,0,1,,NULL
0,3,DM_GEN10002,low,genetic,MI:0796,,,BioGrid;DroID;FlyBase,12242236,PMID,1,0,1,,NULL
0,4,DM_GEN10003,low,genetic,MI:1271,,,BioGrid,15454540,PMID,1,0,1,,NULL
0,5,DM_GEN10004,low,genetic,MI:0796,,,BioGrid,15454540,PMID,1,0,1,,NULL
0,6,DM_GEN10005,low,genetic,MI:0796,,,DroID;FlyBase;BioGrid,22140513,PMID,1,0,1,,NULL
0,7,DM_GEN10006,high,genetic,MI:0796,,,BioGrid;DroID;FlyBase,12093739;15454540,PMID,1,0,2,,NULL
0,8,DM_GEN10007,low,genetic,MI:0796,,,DroID;FlyBase;BioGrid,22194697,PMID,1,0,1,,NULL
0,9,DM_GEN10008,low,genetic,MI:0796,,,DroID;FlyBase,10790398,PMID,1,0,1,,NULL
0,10,DM_GEN10009,low,genetic,MI:0796,,,DroID;FlyBase,10790398,PMID,1,0,1,,NULL
0,11,DM_GEN10010,low,genetic,MI:0796,,,DroID;FlyBase,10790398,PMID,1,0,1,,NULL
0,12,DM_GEN10011,low,genetic,MI:0796,,,DroID;FlyBase,10790398,PMID,1,0,1,,NULL
0,13,DM_GEN10012,low,genetic,MI:0796,,,DroID;FlyBase,10790398,PMID,1,0,1,,NULL
0,14,DM_GEN10013,low,genetic,MI:1271,,,DroID;FlyBase,10790398,PMID,1,0,1,,NULL
0,15,DM_GEN10014,low,genetic,MI:1271,,,DroID;FlyBase,10790398,PMID,1,0,1,,NULL
0,16,DM_GEN10015,low,genetic,MI:1271,,,DroID;FlyBase,10790398,PMID,1,0,1,,NULL
0,17,DM_GEN10016,low,genetic,MI:1271,,,DroID;FlyBase,10790398,PMID,1,0,1,,NULL
0,18,DM_GEN10017,low,genetic,MI:1271,,,DroID;FlyBase,10790398,PMID,1,0,1,,NULL
0,19,DM_GEN10018,low,genetic,MI:1271,,,DroID;FlyBase,10790398,PMID,1,0,1,,NULL
0,20,DM_GEN10019,low,genetic,MI:0796,,,DroID;FlyBase,15454540,PMID,1,0,1,,NULL
0,21,DM_GEN10020,low,genetic,MI:0796,,,DroID;FlyBase,15454540,PMID,1,0,1,,NULL
0,22,DM_GEN10021,low,genetic,MI:0796,,,DroID;FlyBase,15454540,PMID,1,0,1,,NULL
0,23,DM_GEN10022,low,genetic,MI:0796,,,DroID;FlyBase,15454540,PMID,1,0,1,,NULL
0,24,DM_GEN10023,low,genetic,MI:0796,,,DroID;FlyBase,15454540,PMID,1,0,1,,NULL
0,25,DM_GEN10024,low,genetic,MI:0796,,,DroID;FlyBase,15454540,PMID,1,0,1,,NULL
0,26,DM_GEN10025,low,genetic,MI:0796,,,DroID;FlyBase,15454540,PMID,1,0,1,,NULL
0,27,DM_GEN10026,low,genetic,MI:0796,,,DroID;FlyBase,15454540,PMID,1,0,1,,NULL
0,28,DM_GEN10027,low,genetic,MI:0796,,,DroID;FlyBase,15454540,PMID,1,0,1,,NULL
0,29,DM_GEN10028,low,genetic,MI:0796,,,DroID;FlyBase,15454540,PMID,1,0,1,,NULL
0,30,DM_GEN10029,low,genetic,MI:0796,,,DroID;FlyBase,15454540,PMID,1,0,1,,NULL
0,31,DM_GEN10030,low,genetic,MI:0796,,,DroID;FlyBase,15454540,PMID,1,0,1,,NULL
0,32,DM_GEN10031,low,genetic,MI:0796,,,DroID;FlyBase,15454540,PMID,1,0,1,,NULL
0,33,DM_GEN10032,low,genetic,MI:0796,,,DroID;FlyBase,15454540,PMID,1,0,1,,NULL
0,34,DM_GEN10033,low,genetic,MI:0796,,,DroID;FlyBase,15454540,PMID,1,0,1,,NULL
0,35,DM_GEN10034,low,genetic,MI:0796,,,DroID;FlyBase,15454540,PMID,1,0,1,,NULL
0,36,DM_GEN10035,low,genetic,MI:0796,,,DroID;FlyBase,15454540,PMID,1,0,1,,NULL
0,37,DM_GEN10036,low,genetic,MI:0796,,,DroID;FlyBase,15454540,PMID,1,0,1,,NULL
0,38,DM_GEN10037,low,genetic,MI:0796,,,DroID;FlyBase,15454540,PMID,1,0,1,,NULL
0,39,DM_GEN10038,low,genetic,MI:0796,,,DroID;FlyBase,15454540,PMID,1,0,1,,NULL
0,40,DM_GEN10039,low,genetic,MI:0796,,,DroID;FlyBase,15454540,PMID,1,0,1,,NULL
0,41,DM_GEN10040,low,genetic,MI:0796,,,DroID;FlyBase,15454540,PMID,1,0,1,,NULL
0,42,DM_GEN10041,low,genetic,MI:1271,,,DroID;FlyBase;BioGrid,16949821,PMID,1,0,1,,NULL
0,421,DM_GEN9859,high,genetic,MI:1271;MI:0796,,,BioGrid;DroID;FlyBase,9691043;15454540;23550128,PMID,2,0,3,,NULL
0,1053,DM_GEN9860,low,genetic,MI:1271,,,BioGrid;DroID;FlyBase,11514446,PMID,1,0,1,,NULL
0,228,DM_GEN9861,moderate,genetic,MI:0796,,,BioGrid;DroID;FlyBase,15454540,PMID,1,0,1,,NULL
0,44,DM_GEN9862,high,genetic,MI:0796,,,DroID;FlyBase;BioGrid,12967560;23232763,PMID,1,0,2,,NULL
0,86,DM_GEN9863,low,genetic,MI:0796,,,DroID;FlyBase;BioGrid,15454543,PMID,1,0,1,,NULL
0,81,DM_GEN9864,high,genetic,MI:1271;MI:0796,,,BioGrid;DroID;FlyBase,9691043;12015119;15454540,PMID,2,0,3,,NULL
0,2350,DM_GEN9865,high,genetic,MI:0796;MI:1271,,,BioGrid;DroID;FlyBase,15454540;22194697,PMID,2,0,2,,NULL
0,291,DM_GEN9866,low,genetic,MI:0796,,,BioGrid;DroID;FlyBase,15454540,PMID,1,0,1,,NULL
0,54,DM_GEN9867,high,genetic,MI:0796,,,BioGrid;DroID;FlyBase,15454540;12586062,PMID,1,0,2,,NULL
0,1449,DM_GEN9868,low,genetic,MI:0796,,,BioGrid;DroID;FlyBase,15454540,PMID,1,0,1,,NULL
0,2470,DM_GEN9869,low,genetic,MI:0796,,,BioGrid,15454540,PMID,1,0,1,,NULL
0,471,DM_GEN9870,low,genetic,MI:0796,,,BioGrid;DroID;FlyBase,12242236,PMID,1,0,1,,NULL
0,957,DM_GEN9871,moderate,genetic,,,,DroID,15514060,PMID,0,0,1,,NULL
0,677,DM_GEN9872,low,genetic,MI:0796,,,BioGrid;DroID;FlyBase,15454540,PMID,1,0,1,,NULL
0,1524,DM_GEN9873,low,genetic,MI:0796,,,BioGrid;DroID;FlyBase,15454540,PMID,1,0,1,,NULL
0,137,DM_GEN9874,high,genetic,MI:1271;MI:0796,,,BioGrid;DroID;FlyBase,9811590;12242236,PMID,2,0,2,,NULL
0,353,DM_GEN9875,low,genetic,MI:0796,,,BioGrid;DroID;FlyBase,9811590,PMID,1,0,1,,NULL
0,990,DM_GEN9876,low,genetic,MI:0796,,,BioGrid;DroID;FlyBase,15454540,PMID,1,0,1,,NULL
0,1548,DM_GEN9877,low,genetic,MI:0796,,,BioGrid;DroID;FlyBase,12242236,PMID,1,0,1,,NULL
0,45,DM_GEN9878,moderate,genetic,MI:0796,,,BioGrid;DroID;FlyBase,9811590,PMID,1,0,1,,NULL
0,1691,DM_GEN9879,low,genetic,MI:1271,,,BioGrid;DroID;FlyBase,12093739,PMID,1,0,1,,NULL
0,2124,DM_GEN9880,high,genetic,MI:1271;MI:0796,,,BioGrid;DroID;FlyBase,9691043;11782312,PMID,2,0,2,,NULL
0,430,DM_GEN9881,low,genetic,MI:0796,,,BioGrid;DroID;FlyBase,15454540,PMID,1,0,1,,NULL
0,679,DM_GEN9882,low,genetic,MI:0796,,,DroID;FlyBase;BioGrid,16000381,PMID,1,0,1,,NULL
0,1825,DM_GEN9883,low,genetic,MI:0796,,,DroID;FlyBase;BioGrid,18614577,PMID,1,0,1,,NULL
0,2025,DM_GEN9884,high,genetic,MI:0796,,,BioGrid;DroID;FlyBase,11546747;11807027,PMID,1,0,2,,NULL
0,1948,DM_GEN9885,low,genetic,MI:0796,,,DroID;FlyBase;BioGrid,12242236,PMID,1,0,1,,NULL
0,1368,DM_GEN9886,low,genetic,MI:0796,,,BioGrid;DroID;FlyBase,12242236,PMID,1,0,1,,NULL
0,135,DM_GEN9887,low,genetic,MI:0796,,,BioGrid;DroID;FlyBase,11546747,PMID,1,0,1,,NULL
0,227,DM_GEN9888,low,genetic,MI:0796,,,BioGrid;DroID;FlyBase,15454540,PMID,1,0,1,,NULL
0,420,DM_GEN9889,low,genetic,MI:1271,,,DroID;FlyBase;BioGrid,17055987,PMID,1,0,1,,NULL
0,574,DM_GEN9890,low,genetic,MI:0796,,,BioGrid;DroID;FlyBase,12881421,PMID,1,0,1,,NULL
0,783,DM_GEN9891,low,genetic,MI:0796,,,BioGrid;DroID;FlyBase,15454540,PMID,1,0,1,,NULL
0,796,DM_GEN9892,low,genetic,MI:0796,,,BioGrid;DroID;FlyBase,12242236,PMID,1,0,1,,NULL
0,890,DM_GEN9893,low,genetic,MI:0796,,,BioGrid;DroID;FlyBase,9811590,PMID,1,0,1,,NULL
0,923,DM_GEN9894,low,genetic,MI:0796,,,DroID;FlyBase;BioGrid,23874212,PMID,1,0,1,,NULL
0,811,DM_GEN9895,low,genetic,MI:0796,,,BioGrid;DroID;FlyBase,15454540,PMID,1,0,1,,NULL
0,652,DM_GEN9896,high,genetic,MI:1271;MI:0796,,,BioGrid;DroID;FlyBase,9691043;12588841;10790398;8980229;8980230;10471712;15829522;19966222,PMID,2,0,8,,NULL
0,895,DM_GEN9897,low,genetic,MI:0796,,,BioGrid;DroID;FlyBase,11546747,PMID,1,0,1,,NULL
0,64,DM_GEN9898,low,genetic,MI:0796,,,BioGrid;FlyBase,11311169,PMID,1,0,1,,NULL
0,812,DM_GEN9899,low,genetic,MI:0796,,,BioGrid;DroID;FlyBase,12242236,PMID,1,0,1,,NULL
0,1179,DM_GEN9900,high,genetic,MI:0796,,,BioGrid;DroID;FlyBase,9811590;12242236,PMID,1,0,2,,NULL
0,1197,DM_GEN9901,low,genetic,MI:1271,,,BioGrid;DroID;FlyBase,12093739,PMID,1,0,1,,NULL
0,217,DM_GEN9902,high,genetic,MI:1271;MI:0796,,,BioGrid;DroID;FlyBase,8843201;9691043;10471712;19966222,PMID,2,0,4,,NULL
0,685,DM_GEN9903,moderate,genetic,MI:1271,,,BioGrid;DroID;FlyBase,15454540,PMID,1,0,1,,NULL
0,1351,DM_GEN9904,low,genetic,MI:0796,,,DroID;FlyBase;BioGrid,11076763,PMID,1,0,1,,NULL
0,1364,DM_GEN9905,low,genetic,MI:0796,,,BioGrid;DroID;FlyBase,12242236,PMID,1,0,1,,NULL
0,1129,DM_GEN9906,low,genetic,MI:0796,,,BioGrid;DroID;FlyBase,15454540,PMID,1,0,1,,NULL
0,1424,DM_GEN9907,high,genetic,MI:0796;MI:1271,,,BioGrid;DroID;FlyBase,15454540;10790398,PMID,2,0,2,,NULL
0,1446,DM_GEN9908,low,genetic,MI:0796,,,BioGrid;DroID;FlyBase,11546747,PMID,1,0,1,,NULL
0,381,DM_GEN9909,low,genetic,MI:1271,,,BioGrid;DroID;FlyBase,15454540,PMID,1,0,1,,NULL
0,516,DM_GEN9910,low,genetic,MI:0796,,,DroID;FlyBase;BioGrid,12941273,PMID,1,0,1,,NULL
0,231,DM_GEN9911,high,genetic,MI:0796,,,BioGrid;DroID;FlyBase,15454540;19966222,PMID,1,0,2,,NULL
0,117,DM_GEN9912,high,genetic,MI:0796;MI:1271,,,BioGrid;DroID;FlyBase,15454540;17055987,PMID,2,0,2,,NULL
0,928,DM_GEN9913,high,genetic,MI:0796,,,DroID;FlyBase;BioGrid,22095085;19723762,PMID,1,0,2,,NULL
0,962,DM_GEN9914,low,genetic,MI:0796,,,BioGrid;DroID;FlyBase,11546747,PMID,1,0,1,,NULL
0,280,DM_GEN9915,low,genetic,MI:1271,,,BioGrid,15454540,PMID,1,0,1,,NULL
0,785,DM_GEN9916,low,genetic,MI:1271,,,BioGrid,15454540,PMID,1,0,1,,NULL
0,438,DM_GEN9917,low,genetic,MI:0796,,,BioGrid,15454540,PMID,1,0,1,,NULL
0,2147,DM_GEN9918,low,genetic,MI:1271,,,BioGrid,15454540,PMID,1,0,1,,NULL
0,917,DM_GEN9919,high,genetic,MI:0796,,,BioGrid;DroID;FlyBase,11565033;15454540,PMID,1,0,2,,NULL
