# index, gene, tax_id, _pos
0,7227,34924,"array([5.14077663, 1.42417257])"
1,7227,49140,"array([5.20422098, 1.43741044])"
2,7227,49228,"array([5.18396112, 1.48856559])"
3,7227,192509,"array([5.13928473, 1.44426677])"
4,7227,247841,"array([5.20636548, 1.42430159])"
5,7227,318164,"array([5.16759228, 1.44382282])"
6,7227,2768677,"array([5.14174157, 1.37797106])"
7,7227,2768981,"array([5.12904598, 1.46324852])"
8,7227,3355144,"array([5.14045879, 1.43982847])"
9,7227,5658071,"array([5.19895416, 1.4618064 ])"
10,7227,5658072,"array([5.17138044, 1.48349632])"
11,7227,5658073,"array([5.19516711, 1.46127881])"
12,7227,5658074,"array([5.20319003, 1.43036705])"
13,7227,5658075,"array([5.20641639, 1.40337645])"
14,7227,5658085,"array([5.19443528, 1.47565911])"
15,7227,5658086,"array([5.20720431, 1.45279433])"
16,7227,5658087,"array([5.15889576, 1.49387409])"
17,7227,5658088,"array([5.21357459, 1.43373689])"
18,7227,5658089,"array([5.12684137, 1.49525892])"
19,7227,5658090,"array([5.18769637, 1.46356779])"
20,7227,5658513,"array([5.20305045, 1.45298983])"
21,7227,5658514,"array([5.20208246, 1.46495533])"
22,7227,5658515,"array([5.20775847, 1.4073735 ])"
23,7227,5658516,"array([5.20104301, 1.44941324])"
24,7227,5658517,"array([5.1933043 , 1.47066712])"
25,7227,5658518,"array([5.19830825, 1.44595426])"
26,7227,5658519,"array([5.21153255, 1.42593999])"
27,7227,5658520,"array([5.20282135, 1.46064124])"
28,7227,5658521,"array([5.19564876, 1.46570786])"
29,7227,5658522,"array([5.1177703 , 1.49878642])"
30,7227,5658523,"array([5.14680393, 1.49444904])"
31,7227,5658524,"array([5.1392642 , 1.49777704])"
32,7227,5658525,"array([5.1067986 , 1.49486318])"
33,7227,5658526,"array([5.08370761, 1.43350617])"
34,7227,5658527,"array([5.20378298, 1.441402  ])"
35,7227,5658528,"array([5.15489049, 1.49471613])"
36,7227,5658529,"array([5.20698288, 1.44448668])"
37,7227,5658530,"array([5.1499509 , 1.38059817])"
38,7227,5658531,"array([5.07407021, 1.43174328])"
39,7227,5658532,"array([5.1972816 , 1.47163739])"
40,7227,5658533,"array([5.10526422, 1.48752455])"
41,7227,5658534,"array([5.19680081, 1.4566203 ])"
42,7227,12798547,"array([5.13730532, 1.41681679])"
43,7227,34927,"array([5.10329343, 1.4106376 ])"
44,7227,31293,"array([5.12034082, 1.43034181])"
45,7227,33753,"array([5.10369427, 1.39802652])"
46,7227,40958,"array([5.11795946, 1.3815645 ])"
47,7227,41694,"array([5.05806683, 1.41839941])"
48,7227,42059,"array([5.10662433, 1.3971703 ])"
49,7227,42445,"array([5.11721498, 1.41927734])"
50,7227,44801,"array([5.12043051, 1.37360739])"
51,7227,44849,"array([5.1375972 , 1.43493881])"
52,7227,12798434,"array([5.11146986, 1.37277077])"
53,7227,34941,"array([5.09645198, 1.30543998])"
54,7227,32080,"array([5.11789931, 1.37191344])"
55,7227,34945,"array([5.19359284, 1.49824341])"
56,7227,34947,"array([5.14037209, 1.44655915])"
57,7227,34946,"array([5.03972915, 1.43023656])"
58,7227,34364,"array([5.02564269, 1.45841229])"
59,7227,37345,"array([5.04062355, 1.43551915])"
60,7227,39430,"array([5.0154583 , 1.42698242])"
61,7227,45827,"array([5.00327324, 1.4313377 ])"
62,7227,31364,"array([5.07591012, 1.39433245])"
63,7227,31792,"array([5.12649808, 1.39166354])"
64,7227,36039,"array([5.12004824, 1.45896008])"
65,7227,36703,"array([5.1019906 , 1.42625611])"
66,7227,38850,"array([5.07990422, 1.42576808])"
67,7227,43300,"array([5.21381075, 1.47141208])"
68,7227,44275,"array([5.10395819, 1.46042561])"
69,7227,34950,"array([5.05280755, 1.39028266])"
70,7227,36329,"array([5.06113559, 1.33237574])"
71,7227,37843,"array([5.02908098, 1.37758098])"
72,7227,40832,"array([5.12272302, 1.4540571 ])"
73,7227,42940,"array([5.03963288, 1.37101843])"
74,7227,34952,"array([5.14924248, 1.31599893])"
75,7227,48973,"array([5.10817955, 1.38363864])"
76,7227,34953,"array([5.05956302, 1.42138071])"
77,7227,36555,"array([5.12276713, 1.41663869])"
78,7227,45821,"array([5.0823071 , 1.38281862])"
79,7227,34954,"array([5.17572799, 1.29313177])"
80,7227,31441,"array([5.14070206, 1.31407434])"
81,7227,31535,"array([5.15242481, 1.37383999])"
82,7227,39049,"array([5.13616242, 1.33279153])"
83,7227,40367,"array([5.21456813, 1.24773681])"
84,7227,45432,"array([5.20489724, 1.24146449])"
85,7227,34961,"array([5.16124669, 1.37686219])"
86,7227,31391,"array([5.11504731, 1.41749291])"
87,7227,31607,"array([5.16310976, 1.33403846])"
88,7227,40336,"array([5.16858661, 1.33795492])"
89,7227,34963,"array([5.05430952, 1.23968586])"
90,7227,39505,"array([5.06687847, 1.29708239])"
91,7227,34964,"array([5.1825289 , 1.35105107])"
92,7227,33507,"array([5.15336994, 1.30085351])"
93,7227,47765,"array([5.18785515, 1.29387031])"
94,7227,2768853,"array([5.15607037, 1.32495106])"
95,7227,34966,"array([5.10679617, 1.33567287])"
96,7227,31601,"array([5.19770911, 1.28805552])"
97,7227,44856,"array([5.1172974 , 1.39819527])"
98,7227,34967,"array([4.74325745, 2.07853076])"
99,7227,33520,"array([4.75282183, 2.08571131])"
100,7227,34968,"array([5.12169002, 1.34479234])"
101,7227,31838,"array([5.13340864, 1.27676632])"
102,7227,33390,"array([5.16247137, 1.3650084 ])"
103,7227,34119,"array([5.13140745, 1.43012352])"
104,7227,34404,"array([5.09218635, 1.33307475])"
105,7227,36887,"array([5.14451067, 1.3104744 ])"
106,7227,37808,"array([5.15845924, 1.28655965])"
107,7227,41140,"array([5.10069378, 1.40867952])"
108,7227,45922,"array([5.05082713, 1.3615024 ])"
109,7227,34969,"array([5.05857695, 1.39526426])"
110,7227,32498,"array([5.07831217, 1.41536182])"
111,7227,33043,"array([4.99086911, 1.41528735])"
112,7227,33072,"array([5.0290428 , 1.40755959])"
113,7227,33226,"array([5.1273059 , 1.38036332])"
114,7227,34171,"array([5.0887995 , 1.39482707])"
115,7227,35045,"array([5.08714165, 1.38255237])"
116,7227,35047,"array([5.06858185, 1.40458051])"
117,7227,37455,"array([5.10542076, 1.41566971])"
118,7227,37851,"array([5.12988642, 1.39993004])"
119,7227,38656,"array([5.04959003, 1.34390716])"
120,7227,39976,"array([5.02550214, 1.31038016])"
121,7227,40554,"array([5.08257695, 1.4286008 ])"
122,7227,41721,"array([5.10143728, 1.44160734])"
123,7227,41858,"array([5.04252358, 1.3922407 ])"
124,7227,43222,"array([5.08238304, 1.3888679 ])"
125,7227,43256,"array([5.05486114, 1.37373025])"
126,7227,43283,"array([5.01665398, 1.36146769])"
127,7227,44095,"array([5.07948452, 1.44583485])"
128,7227,46040,"array([5.03147009, 1.42118116])"
129,7227,48785,"array([5.05904477, 1.36243548])"
130,7227,34974,"array([5.07706401, 1.26584193])"
131,7227,31598,"array([5.07383792, 1.22800924])"
132,7227,36773,"array([5.09226706, 1.36036136])"
133,7227,34977,"array([5.28952052, 1.43375169])"
134,7227,42803,"array([5.22516161, 1.41906383])"
135,7227,34982,"array([5.12854926, 1.4305156 ])"
136,7227,31310,"array([5.12779308, 1.39712913])"
137,7227,33432,"array([5.09915482, 1.42694698])"
138,7227,33916,"array([5.14920951, 1.41055857])"
139,7227,40260,"array([5.11217242, 1.4158966 ])"
140,7227,42737,"array([5.14914456, 1.42238409])"
141,7227,43812,"array([5.14514162, 1.43606421])"
142,7227,34991,"array([5.20665653, 1.26954319])"
143,7227,42481,"array([5.22595856, 1.28372942])"
144,7227,43542,"array([5.15774741, 1.31848882])"
145,7227,34992,"array([5.10526611, 1.49882809])"
146,7227,30982,"array([5.12046528, 1.44712577])"
147,7227,32068,"array([5.11396497, 1.45708528])"
148,7227,40940,"array([5.12412238, 1.49877636])"
149,7227,3772180,"array([5.09051695, 1.46517622])"
150,7227,34993,"array([5.10356329, 1.35109797])"
151,7227,31373,"array([5.10152408, 1.28633051])"
152,7227,32608,"array([5.13284547, 1.31682164])"
153,7227,32981,"array([5.10544823, 1.37213181])"
154,7227,35288,"array([5.12642743, 1.33264133])"
155,7227,38146,"array([5.10533908, 1.38490604])"
156,7227,38879,"array([5.0848686, 1.3532017])"
157,7227,39340,"array([5.1225632 , 1.36911394])"
158,7227,40653,"array([5.16836678, 1.36799928])"
159,7227,43232,"array([5.0694419 , 1.30183423])"
160,7227,117503,"array([5.08899211, 1.38605385])"
161,7227,34995,"array([5.18147754, 1.37661911])"
162,7227,34328,"array([5.16710358, 1.41179408])"
163,7227,34996,"array([5.18586028, 1.39719177])"
164,7227,36054,"array([5.11897759, 1.3688162 ])"
165,7227,34997,"array([5.19989792, 1.37948989])"
166,7227,31106,"array([5.16502421, 1.42139145])"
167,7227,35001,"array([5.21210308, 1.44686501])"
168,7227,41289,"array([5.20518352, 1.49866018])"
169,7227,42504,"array([5.15634387, 1.39068538])"
170,7227,35004,"array([5.18129713, 1.40093392])"
171,7227,32813,"array([5.13357579, 1.40154006])"
172,7227,35007,"array([5.04310822, 1.4383473 ])"
173,7227,31201,"array([5.03267047, 1.40720853])"
174,7227,32314,"array([5.0171957 , 1.43234024])"
175,7227,32619,"array([5.05607656, 1.37729684])"
176,7227,32794,"array([5.03918833, 1.42632369])"
177,7227,34648,"array([5.09901106, 1.4197933 ])"
178,7227,37368,"array([4.98860201, 1.47622263])"
179,7227,38978,"array([5.03759171, 1.41627234])"
180,7227,40185,"array([4.98378742, 1.44939375])"
181,7227,40999,"array([5.04131362, 1.40064519])"
182,7227,41853,"array([5.00469098, 1.40129784])"
183,7227,41885,"array([5.01169398, 1.42451017])"
184,7227,46456,"array([5.1107725 , 1.46819141])"
185,7227,35016,"array([5.11794602, 1.60431809])"
186,7227,40160,"array([5.11939773, 1.55363094])"
187,7227,53554,"array([5.14289252, 1.39639956])"
188,7227,31262,"array([5.11263561, 1.43958941])"
189,7227,32159,"array([4.98680974, 1.41127075])"
190,7227,33148,"array([5.10652891, 1.36538916])"
191,7227,40813,"array([5.05694292, 1.4321692 ])"
192,7227,41177,"array([5.06699802, 1.44200179])"
193,7227,41633,"array([5.05643896, 1.39180055])"
194,7227,42996,"array([5.05207995, 1.43820095])"
195,7227,53579,"array([5.07675544, 1.46236261])"
196,7227,3354896,"array([5.13343365, 1.4043196 ])"
197,7227,35051,"array([5.06266361, 1.40381606])"
198,7227,31405,"array([5.10009465, 1.40336136])"
199,7227,34884,"array([5.02083912, 1.40708803])"
200,7227,36791,"array([5.1032253 , 1.40371387])"
201,7227,36810,"array([5.07328918, 1.37599877])"
202,7227,37065,"array([5.06539302, 1.4088235 ])"
203,7227,37070,"array([5.04264828, 1.42278547])"
204,7227,37757,"array([5.08447726, 1.45904453])"
205,7227,38418,"array([5.08203669, 1.41589098])"
206,7227,38580,"array([5.08481187, 1.37107316])"
207,7227,39034,"array([5.03095536, 1.41265901])"
208,7227,39536,"array([5.06538374, 1.38581081])"
209,7227,40232,"array([5.08750112, 1.34701382])"
210,7227,40489,"array([5.07980951, 1.40737053])"
211,7227,42265,"array([5.07423724, 1.36219762])"
212,7227,43331,"array([5.02023569, 1.41496576])"
213,7227,44030,"array([5.09559749, 1.38654997])"
214,7227,45928,"array([5.08897414, 1.36700918])"
215,7227,26067080,"array([5.0505089 , 1.40295403])"
216,7227,35053,"array([5.10150582, 1.46452356])"
217,7227,36461,"array([5.12850885, 1.42496029])"
218,7227,42550,"array([5.13390889, 1.41739043])"
219,7227,35058,"array([5.07221893, 1.33990278])"
220,7227,31459,"array([5.05516115, 1.36776526])"
221,7227,31717,"array([5.12489988, 1.38103197])"
222,7227,37618,"array([5.1013702 , 1.33872929])"
223,7227,35066,"array([5.09968597, 1.60777439])"
224,7227,38884,"array([5.10545603, 1.55906591])"
225,7227,35068,"array([4.82604811, 2.12573181])"
226,7227,39630,"array([4.81416316, 2.12590316])"
227,7227,35070,"array([5.06591728, 1.40576423])"
228,7227,31151,"array([5.10910651, 1.40867047])"
229,7227,32838,"array([5.06797109, 1.41198563])"
230,7227,35259,"array([5.05684442, 1.38227346])"
231,7227,37386,"array([5.10044358, 1.38544411])"
232,7227,38002,"array([5.02127261, 1.43275566])"
233,7227,40327,"array([5.06217791, 1.37524535])"
234,7227,40456,"array([5.05027444, 1.46213947])"
235,7227,44359,"array([5.05913652, 1.37285909])"
236,7227,249072,"array([5.07131934, 1.34817021])"
237,7227,3772396,"array([5.09100008, 1.43305112])"
238,7227,35071,"array([5.17852256, 1.33054809])"
239,7227,43875,"array([5.12972196, 1.38105923])"
240,7227,35073,"array([5.03711471, 1.38847957])"
241,7227,33819,"array([5.1087732 , 1.39154528])"
242,7227,35076,"array([5.16512357, 1.3369497 ])"
243,7227,39173,"array([5.14559454, 1.36935733])"
244,7227,41785,"array([5.12822666, 1.38548004])"
245,7227,35078,"array([5.15536825, 1.2410361 ])"
246,7227,38946,"array([5.17265531, 1.25371663])"
247,7227,38993,"array([5.13117151, 1.2959154 ])"
248,7227,35084,"array([5.07614554, 1.25167819])"
249,7227,45269,"array([5.08188985, 1.24819386])"
250,7227,35085,"array([5.08602745, 1.40436657])"
251,7227,32039,"array([5.10427411, 1.41749197])"
252,7227,37774,"array([5.011288  , 1.36421993])"
253,7227,38961,"array([5.09979332, 1.40082004])"
254,7227,42428,"array([5.12011938, 1.40016576])"
255,7227,43038,"array([5.0844694 , 1.42056393])"
256,7227,43327,"array([5.14803663, 1.43387119])"
257,7227,3346149,"array([5.12557979, 1.41584755])"
258,7227,35091,"array([5.01261403, 1.29106511])"
259,7227,43469,"array([5.05628013, 1.34217873])"
260,7227,35097,"array([5.10700318, 1.36852468])"
261,7227,39385,"array([5.15176391, 1.36441084])"
262,7227,35098,"array([5.19360355, 1.41042716])"
263,7227,42313,"array([5.13745196, 1.42496492])"
264,7227,42446,"array([5.15597232, 1.38550896])"
265,7227,35099,"array([5.17821727, 1.40893454])"
266,7227,39833,"array([5.12591023, 1.41793837])"
267,7227,35103,"array([5.10647532, 1.35015364])"
268,7227,32256,"array([5.11994423, 1.38069558])"
269,7227,36173,"array([5.11255412, 1.36406417])"
270,7227,42896,"array([5.08359309, 1.38611845])"
271,7227,44448,"array([5.09932603, 1.38947192])"
272,7227,35104,"array([4.93193541, 1.47106138])"
273,7227,39118,"array([4.97791805, 1.45257899])"
274,7227,35110,"array([5.11547178, 1.44563034])"
275,7227,30985,"array([5.10925899, 1.4539996 ])"
276,7227,31883,"array([5.17111422, 1.4541728 ])"
277,7227,33288,"array([5.06746527, 1.39454262])"
278,7227,34413,"array([5.10530144, 1.46523766])"
279,7227,36945,"array([5.06556719, 1.42369848])"
280,7227,38091,"array([5.12920327, 1.42807516])"
281,7227,38995,"array([5.12376942, 1.43472369])"
282,7227,39620,"array([5.12672115, 1.46096144])"
283,7227,40975,"array([5.12977835, 1.43325694])"
284,7227,42226,"array([5.11303843, 1.45281566])"
285,7227,43161,"array([5.1090856 , 1.43564387])"
286,7227,43234,"array([5.17860006, 1.45490222])"
287,7227,44189,"array([5.05417058, 1.40342523])"
288,7227,45285,"array([5.13722982, 1.51609826])"
289,7227,35115,"array([5.1829886 , 1.38712139])"
290,7227,31248,"array([5.13632023, 1.39139314])"
291,7227,32078,"array([5.11694324, 1.38680327])"
292,7227,35116,"array([5.04961374, 1.42247689])"
293,7227,40660,"array([5.09249906, 1.4045221 ])"
294,7227,35118,"array([5.00491517, 1.46313019])"
295,7227,35121,"array([5.10308057, 1.49095218])"
296,7227,32100,"array([5.12539108, 1.46376122])"
297,7227,33565,"array([5.11116539, 1.49930372])"
298,7227,37874,"array([5.0707805 , 1.48349539])"
299,7227,47869,"array([5.09993781, 1.48811576])"
300,7227,3772376,"array([5.10653306, 1.47946956])"
301,7227,35125,"array([5.0152096, 1.4760331])"
302,7227,35128,"array([5.16108779, 1.51998364])"
303,7227,44540,"array([5.13628199, 1.44583153])"
304,7227,35130,"array([5.91995922, 1.32159738])"
305,7227,32478,"array([5.90972593, 1.32050636])"
306,7227,34441,"array([5.91889807, 1.33183097])"
307,7227,39365,"array([5.90869428, 1.33076031])"
308,7227,35135,"array([5.11203301, 1.46471685])"
309,7227,35138,"array([5.00902618, 1.45995079])"
310,7227,35147,"array([5.11833752, 1.48132333])"
311,7227,32846,"array([5.14689263, 1.46498685])"
312,7227,33225,"array([5.126233  , 1.42762485])"
313,7227,35184,"array([5.10292528, 1.49509262])"
314,7227,35509,"array([5.13628303, 1.45553544])"
315,7227,35717,"array([5.06507355, 1.46195112])"
316,7227,37837,"array([5.14280375, 1.45327309])"
317,7227,38752,"array([5.10700497, 1.44465816])"
318,7227,44798,"array([5.15365744, 1.46272978])"
319,7227,35151,"array([5.14271024, 1.44830999])"
320,7227,36339,"array([5.17181244, 1.4056148 ])"
321,7227,35154,"array([5.14937606, 1.36195207])"
322,7227,32537,"array([5.11613032, 1.39268942])"
323,7227,33211,"array([5.14906318, 1.37155912])"
324,7227,34263,"array([5.11292663, 1.39360427])"
325,7227,35156,"array([5.22348271, 1.32994563])"
326,7227,45880,"array([5.16865231, 1.36200019])"
