# source, target, MasterNetID, Rank, Interaction_type, Exp_Direct, Exp_Indirect, TaxID_interolog, Source_databases, Reference, Reference_type, Count_direct, Count_indirect, Count_paper, Source_Interolog, Comment
0,1,CE_DM_PPI1981443,low,ppi,,MI:1247,,IntAct;DIP,24980795,PMID,0,1,1,,NULL
1,422,DM_MM_PPI1698072,low,ppi,,MI:1247,,IntAct;DIP,24980795,PMID,0,1,1,,NULL
1,423,DM_MM_PPI1698073,low,ppi,,MI:1247,,IntAct;DIP,24980795,PMID,0,1,1,,NULL
1,869,DM_PPI1697995,high,ppi,MI:0397;MI:0018;MI:0727,,,BioGrid;DroID;IntAct;mentha,15575970,PMID,3,0,1,,NULL
1,735,DM_PPI1697996,high,ppi,,MI:0943;MI:0096;MI:0082;MI:0004;MI:0007,,DroID;BioGrid;FlyBase;DIP;IntAct,19084407;20852615;24184099,PMID,0,5,3,,NULL
1,2006,DM_PPI1697997,high,ppi,MI:0397;MI:0018;MI:0727,,,BioGrid;DroID;IntAct;mentha,15575970,PMID,3,0,1,,NULL
1,2671,DM_PPI1697998,high,ppi,MI:0397;MI:0018;MI:0727,,,BioGrid;DroID;IntAct;mentha,15575970,PMID,3,0,1,,NULL
1,12,DM_PPI1697999,low,ppi,,MI:0007,,DroID;IntAct;mentha,25294943,PMID,0,1,1,,NULL
1,4946,DM_PPI1698000,high,ppi,MI:0397;MI:0727,,,DroID,,-,2,0,0,,NULL
1,1490,DM_PPI1698001,high,ppi,MI:0397;MI:0018;MI:0727,,,BioGrid;DroID;IntAct;mentha,15575970,PMID,3,0,1,,NULL
1,835,DM_PPI1698002,high,ppi,MI:0397;MI:0018;MI:0727,,,BioGrid;DroID,15575970,PMID,3,0,1,,NULL
1,6729,DM_PPI1698003,high,ppi,MI:0397;MI:0018;MI:0727,,,BioGrid;DroID,15575970,PMID,3,0,1,,NULL
1,1678,DM_PPI1698004,high,ppi,MI:0397;MI:0018;MI:0727,,,BioGrid;DroID;IntAct;mentha,15575970,PMID,3,0,1,,NULL
1,5491,DM_PPI1698005,low,ppi,MI:0018,,,DroID;FlyBase;BioGrid,27558293,PMID,1,0,1,,NULL
1,838,DM_PPI1698006,high,ppi,MI:0397;MI:0018;MI:0727,,,BioGrid;DroID;IntAct;mentha,15575970,PMID,3,0,1,,NULL
1,840,DM_PPI1698007,high,ppi,MI:0397;MI:0018;MI:0727,,,BioGrid;DroID,15575970,PMID,3,0,1,,NULL
1,8092,DM_PPI1698008,high,ppi,,MI:0424;MI:0401;MI:0415;MI:0833,,DroID;FlyBase;BioGrid,25264260,PMID,0,4,1,,NULL
1,392,DM_PPI1698009,high,ppi,MI:0397;MI:0018;MI:0727,,,BioGrid;DroID;IntAct;mentha,15575970,PMID,3,0,1,,NULL
1,2464,DM_PPI1698010,high,ppi,MI:0397;MI:0018;MI:0727,,,BioGrid;DroID;IntAct;mentha,15575970,PMID,3,0,1,,NULL
1,506,DM_PPI1698011,high,ppi,MI:0397;MI:0018;MI:0727,,,BioGrid;DroID;IntAct;mentha,15575970,PMID,3,0,1,,NULL
1,5093,DM_PPI1698012,high,ppi,MI:0397;MI:0018;MI:0727,,,BioGrid;DroID;IntAct;mentha,15575970,PMID,3,0,1,,NULL
1,844,DM_PPI1698013,high,ppi,MI:0397;MI:0018;MI:0727,,,BioGrid;DroID;IntAct;mentha,15575970,PMID,3,0,1,,NULL
1,2229,DM_PPI1698014,high,ppi,,MI:0113;MI:0004,,BioGrid;DroID;mentha,19171756;24184097,PMID,0,2,2,,NULL
1,845,DM_PPI1698015,high,ppi,MI:0397;MI:0018;MI:0727,,,BioGrid;DroID;IntAct;mentha,15575970,PMID,3,0,1,,NULL
1,846,DM_PPI1698016,high,ppi,MI:0397;MI:0018;MI:0727,,,BioGrid;DroID;IntAct;mentha,15575970,PMID,3,0,1,,NULL
1,1616,DM_PPI1698017,high,ppi,MI:0397;MI:0018;MI:0727,,,BioGrid;DroID;IntAct;mentha,15575970,PMID,3,0,1,,NULL
1,5095,DM_PPI1698018,high,ppi,MI:0397;MI:0018;MI:0727,,,BioGrid;DroID;IntAct;mentha,15575970,PMID,3,0,1,,NULL
1,403,DM_PPI1698019,high,ppi,MI:0397;MI:0018;MI:0727,,,BioGrid;DroID;IntAct;mentha,15575970,PMID,3,0,1,,NULL
1,849,DM_PPI1698020,high,ppi,MI:0397;MI:0018;MI:0727,,,BioGrid;DroID,15575970,PMID,3,0,1,,NULL
1,119,DM_PPI1698021,high,ppi,MI:0397;MI:0018;MI:0727,,,BioGrid;DroID;IntAct;mentha,15575970,PMID,3,0,1,,NULL
1,1087,DM_PPI1698022,high,ppi,,MI:0943;MI:0004,,BioGrid;DroID;mentha,19084407,PMID,0,2,1,,NULL
1,1158,DM_PPI1698023,high,ppi,MI:0397;MI:0018;MI:0727,,,BioGrid;DroID;IntAct;mentha,15575970,PMID,3,0,1,,NULL
1,1776,DM_PPI1698024,high,ppi,MI:0018,MI:0401;MI:0415;MI:0424;MI:0427;MI:0833,,DroID;FlyBase;BioGrid,27558293;29263250;25264260,PMID,1,5,3,,NULL
1,1680,DM_PPI1698025,high,ppi,MI:0397;MI:0018;MI:0727,,,BioGrid;DroID,15575970,PMID,3,0,1,,NULL
1,2772,DM_PPI1698026,high,ppi,MI:0018;MI:0399,,,BioGrid;DroID;IntAct;mentha,15710747,PMID,2,0,1,,NULL
1,1375,DM_PPI1698027,high,ppi,MI:0397;MI:0018;MI:0727,,,BioGrid;DroID;IntAct;mentha,15575970,PMID,3,0,1,,NULL
1,417,DM_PPI1698028,high,ppi,MI:0397;MI:0018;MI:0727,,,BioGrid;DroID;IntAct;mentha,15575970,PMID,3,0,1,,NULL
1,157,DM_PPI1698029,low,ppi,,MI:0096,,DroID;DIP;IntAct,20852615,PMID,0,1,1,,NULL
1,1682,DM_PPI1698030,high,ppi,MI:0397;MI:0018;MI:0727,,,BioGrid;DroID;IntAct;mentha,15575970,PMID,3,0,1,,NULL
1,524,DM_PPI1698031,high,ppi,MI:0397;MI:0018;MI:0727,,,BioGrid;DroID;IntAct;mentha,15575970,PMID,3,0,1,,NULL
1,6159,DM_PPI1698032,high,ppi,MI:0397;MI:0018;MI:0727,,,BioGrid;DroID;IntAct;mentha,15575970,PMID,3,0,1,,NULL
1,7815,DM_PPI1698033,high,ppi,MI:0397;MI:0018;MI:0727,,,BioGrid;DroID;IntAct;mentha,15575970,PMID,3,0,1,,NULL
1,852,DM_PPI1698034,high,ppi,MI:0397;MI:0018;MI:0727,,,BioGrid;DroID,15575970,PMID,3,0,1,,NULL
1,2816,DM_PPI1698035,low,ppi,,MI:0096,,DroID;DIP;IntAct,20852615,PMID,0,1,1,,NULL
1,4930,DM_PPI1698036,high,ppi,MI:0397;MI:0018;MI:0727,,,BioGrid;DroID;IntAct;mentha,15575970,PMID,3,0,1,,NULL
1,796,DM_PPI1698037,high,ppi,MI:0397;MI:0018;MI:0727,,,BioGrid;DroID;IntAct;mentha,15575970,PMID,3,0,1,,NULL
1,854,DM_PPI1698038,high,ppi,MI:0397;MI:0018;MI:0727,,,BioGrid;DroID;IntAct;mentha,15575970,PMID,3,0,1,,NULL
1,1046,DM_PPI1698039,high,ppi,MI:0397;MI:0018;MI:0727,,,BioGrid;DroID;IntAct;mentha,15575970,PMID,3,0,1,,NULL
1,1047,DM_PPI1698040,low,ppi,MI:0018,,,DroID,15710747,PMID;-,1,0,1,,NULL
1,7816,DM_PPI1698041,high,ppi,MI:0397;MI:0018;MI:0727,,,BioGrid;DroID;IntAct;mentha,15575970,PMID,3,0,1,,NULL
1,1500,DM_PPI1698042,high,ppi,MI:0397;MI:0018;MI:0727,,,BioGrid;DroID;IntAct;mentha,15575970,PMID,3,0,1,,NULL
1,7042,DM_PPI1698043,high,ppi,MI:0397;MI:0018;MI:0727,,,BioGrid;DroID;IntAct;mentha,15575970,PMID,3,0,1,,NULL
1,857,DM_PPI1698044,high,ppi,MI:0397;MI:0018;MI:0727,,,BioGrid;DroID;IntAct;mentha,15575970,PMID,3,0,1,,NULL
1,5101,DM_PPI1698045,high,ppi,MI:0397;MI:0018;MI:0727,,,BioGrid;DroID;IntAct;mentha,15575970,PMID,3,0,1,,NULL
1,859,DM_PPI1698046,high,ppi,MI:0397;MI:0018;MI:0727,,,BioGrid;DroID;IntAct;mentha,15575970,PMID,3,0,1,,NULL
1,3218,DM_PPI1698047,high,ppi,MI:0018,MI:0096;MI:0113;MI:0705;MI:0007;MI:0401;MI:0004;MI:0415;MI:0424;MI:0427,,DroID;FlyBase;BioGrid,27558293,PMID,1,9,1,,NULL
1,3556,DM_PPI1698048,moderate,ppi,MI:0018,,,DroID;FlyBase;BioGrid,27558293,PMID,1,0,1,,NULL
1,1,DM_PPI1698049,high,ppi,MI:0114;MI:0018,MI:0833;MI:0401;MI:1022;MI:0415;MI:0404;MI:0424;MI:0427;MI:0826;MI:0071;MI:0705;MI:0007;MI:0113;MI:0004;MI:0038;MI:0104,,DroID;BioGrid;mentha;FlyBase;DIP;IntAct,24184099;24980795;24184097;25688134;30256714;23000383;27558293;26481051;25646492,PMID,2,15,9,,NULL
1,740,DM_PPI1698050,low,ppi,,MI:0007,,DroID;IntAct;mentha,25294943,PMID,0,1,1,,NULL
1,677,DM_PPI1698051,high,ppi,MI:0397;MI:0018;MI:0727,,,BioGrid;DroID;IntAct;mentha,15575970,PMID,3,0,1,,NULL
1,3,DM_PPI1698052,high,ppi,MI:0018,MI:0833;MI:0943;MI:0705;MI:0401;MI:0415;MI:0424;MI:0071;MI:1247;MI:0096;MI:0314;MI:0082;MI:0007;MI:0113;MI:0004;MI:0104,,DroID;BioGrid;FlyBase;DIP;IntAct,24184099;24980795;24184097;27185836;25264260;25688134;30256714;23000383;20852615;27558293;25646492,PMID,1,15,11,,NULL
1,213,DM_PPI1698053,high,ppi,MI:0397;MI:0018;MI:0727,,,BioGrid;DroID;IntAct;mentha,15575970,PMID,3,0,1,,NULL
1,1055,DM_PPI1698054,low,ppi,,MI:0096,,DroID;DIP;IntAct,20852615,PMID,0,1,1,,NULL
1,4574,DM_PPI1698055,high,ppi,MI:0397;MI:0727,,,DroID,,-,2,0,0,,NULL
1,1224,DM_PPI1698056,low,ppi,MI:0018,,,DroID;FlyBase;BioGrid,27558293,PMID,1,0,1,,NULL
1,863,DM_PPI1698057,high,ppi,MI:0397;MI:0018;MI:0727,,,BioGrid;DroID;IntAct;mentha,15575970,PMID,3,0,1,,NULL
1,2412,DM_PPI1698058,high,ppi,MI:0397;MI:0018;MI:0727,,,BioGrid;DroID;IntAct;mentha,15575970,PMID,3,0,1,,NULL
1,1063,DM_PPI1698059,low,ppi,,MI:0096,,DroID;DIP;IntAct,20852615,PMID,0,1,1,,NULL
1,1090,DM_PPI1698060,high,ppi,,MI:0943;MI:0096;MI:0705;MI:0082;MI:0007;MI:0006;MI:0113;MI:0004,,DroID;BioGrid;FlyBase;DIP;IntAct,24184099;24184097;19084407;25688134;30256714;23000383;20852615;25646492;19171756,PMID,0,8,9,,NULL
1,7933,DM_PPI1698061,high,ppi,MI:0018;MI:0399,,,BioGrid;DroID;IntAct;mentha,15710747,PMID,2,0,1,,NULL
1,5493,DM_PPI1698062,low,ppi,MI:0018,,,DroID;FlyBase;BioGrid,27558293,PMID,1,0,1,,NULL
1,1242,DM_PPI1698063,high,ppi,MI:0397;MI:0018;MI:0727,,,BioGrid;DroID,15575970,PMID,3,0,1,,NULL
1,741,DM_PPI1698064,high,ppi,MI:0397;MI:0018;MI:0727,,,BioGrid;DroID;IntAct;mentha,15575970,PMID,3,0,1,,NULL
1,1488,DM_PPI1698065,high,ppi,MI:0397;MI:0018;MI:0727,,,BioGrid;DroID;IntAct;mentha,15575970,PMID,3,0,1,,NULL
1,433,DM_PPI1698066,high,ppi,MI:0397;MI:0018;MI:0727,,,BioGrid;DroID;IntAct;mentha,15575970,PMID,3,0,1,,NULL
1,1471,DM_PPI1698067,high,ppi,MI:0397;MI:0018;MI:0727,,,BioGrid;DroID;IntAct;mentha,15575970,PMID,3,0,1,,NULL
1,742,DM_PPI1698068,low,ppi,,MI:0007,,DroID;IntAct;mentha,25294943,PMID,0,1,1,,NULL
1,1504,DM_PPI1698069,high,ppi,MI:0397;MI:0018;MI:0727,,,BioGrid;DroID;IntAct;mentha,15575970,PMID,3,0,1,,NULL
1,7818,DM_PPI1698070,high,ppi,MI:0397;MI:0018;MI:0727,,,BioGrid;DroID,15575970,PMID,3,0,1,,NULL
1,1258,DM_PPI1698071,high,ppi,MI:0397;MI:0018;MI:0727,,,BioGrid;DroID;IntAct;mentha,15575970,PMID,3,0,1,,NULL
1,2871,DM_PPI1698075,high,ppi,MI:0397;MI:0018;MI:0727,,,BioGrid;DroID;IntAct;mentha,15575970,PMID,3,0,1,,NULL
1,1394,DM_PPI1698076,high,ppi,,MI:0007;MI:0113;MI:0004,,DroID;FlyBase;BioGrid,25688134,PMID,0,3,1,,NULL
1,8717,DM_PPI1698077,high,ppi,MI:0397;MI:0018;MI:0727,,,BioGrid;DroID,15575970,PMID,3,0,1,,NULL
1,4341,DM_PPI_3481543,low,ppi,,MI:0424,,FlyBase,31130353,PMID,0,1,1,,NULL
2,3,CE_DM_PPI1983956,low,ppi,,MI:1247,,IntAct;DIP,24980795,PMID,0,1,1,,NULL
3,474,DM_PPI1704642,low,ppi,,MI:0007,,DroID;IntAct;mentha,25294943,PMID,0,1,1,,NULL
3,2680,DM_PPI1704643,low,ppi,MI:0018,,,DroID;FlyBase;BioGrid,27558293,PMID,1,0,1,,NULL
3,5491,DM_PPI1704644,high,ppi,MI:0018,,,DroID;FlyBase;BioGrid,27185836;27558293,PMID,1,0,2,,NULL
3,872,DM_PPI1704645,low,ppi,,MI:0007,,DroID;IntAct;mentha,25294943,PMID,0,1,1,,NULL
3,8092,DM_PPI1704646,high,ppi,MI:0018,MI:0007;MI:0113;MI:0004;MI:0705,,DroID;FlyBase;BioGrid,27185836;27558293,PMID,1,4,2,,NULL
3,1021,DM_PPI1704647,low,ppi,,MI:0007,,DroID;IntAct;mentha,25294943,PMID,0,1,1,,NULL
3,2902,DM_PPI1704648,low,ppi,MI:0018,,,BioGrid;DroID,15710747,PMID,1,0,1,,NULL
3,1776,DM_PPI1704649,low,ppi,MI:0018,,,DroID;FlyBase;BioGrid,27558293,PMID,1,0,1,,NULL
3,520,DM_PPI1704650,high,ppi,MI:0018,MI:0705;MI:0006;MI:0113;MI:0004;MI:1022;MI:0029;MI:0028,,DroID;FlyBase;BioGrid,22729084;21694707;21145741;27558293,PMID,1,7,4,,NULL
3,157,DM_PPI1704651,high,ppi,,MI:0006;MI:0113;MI:0004;MI:0705,,DroID;FlyBase;BioGrid,21694707,PMID,0,4,1,,NULL
3,343,DM_PPI1704652,high,ppi,,MI:0007;MI:0943;MI:0004;MI:0082,,DroID;FlyBase;BioGrid;IntAct,23354166,PMID,0,4,1,,NULL
3,3218,DM_PPI1704653,high,ppi,MI:0018,MI:1022;MI:0705;MI:0027,,DroID;FlyBase;BioGrid,26595382;27558293,PMID,1,3,2,,NULL
3,4341,DM_PPI1704654,high,ppi,MI:0018,MI:0006;MI:0113;MI:0004,,DroID;FlyBase;BioGrid,21145741;25149451;25688134;27185836;27558293,PMID,1,3,5,,NULL
3,956,DM_PPI1704656,high,ppi,,MI:0943;MI:0004;MI:0046,,BioGrid;DroID;FlyBase,FBrf0218395;22036573,PMID;other,0,3,2,,NULL
3,1054,DM_PPI1704657,low,ppi,MI:0018,,,DroID;FlyBase;BioGrid,27558293,PMID,1,0,1,,NULL
3,3,DM_PPI1704658,high,ppi,MI:0018,MI:0007;MI:0004;MI:0113;MI:0071;MI:1022;MI:0104,,DroID;FlyBase;BioGrid,25688134;30256714;27558293,PMID,1,6,3,,NULL
3,3263,DM_PPI1704659,high,ppi,MI:0018,MI:0833;MI:0943;MI:0096;MI:0082;MI:0705;MI:0007;MI:0006;MI:0113;MI:0004;MI:0029,,DroID;FlyBase;DIP;BioGrid;IntAct,20852615;21694707;22729084;21145741;24385583;25688134;27185836;27558293,PMID,1,10,8,,NULL
3,4053,DM_PPI1704660,high,ppi,,MI:0943;MI:0004;MI:0046,,BioGrid;DroID;FlyBase,FBrf0218395;22036573,PMID;other,0,3,2,,NULL
3,1224,DM_PPI1704661,low,ppi,MI:0018,,,DroID;FlyBase;BioGrid,27558293,PMID,1,0,1,,NULL
3,1064,DM_PPI1704662,high,ppi,,MI:0028;MI:0113;MI:1022,,DroID;FlyBase;BioGrid,21694707,PMID,0,3,1,,NULL
3,5758,DM_PPI1704663,high,ppi,,MI:0943;MI:0007;MI:0046,,BioGrid;DroID;FlyBase,FBrf0218395;22036573,PMID;other,0,3,2,,NULL
3,5493,DM_PPI1704664,high,ppi,MI:0018,MI:0833;MI:0096;MI:0705;MI:0007;MI:0113;MI:0004;MI:1022;MI:0027,,DroID;FlyBase;DIP;BioGrid;IntAct,26595382;27558293,PMID,1,8,2,,NULL
3,2725,DM_PPI1704665,low,ppi,,MI:0007,,DroID;IntAct;mentha,25294943,PMID,0,1,1,,NULL
3,448,DM_PPI1704666,low,ppi,,MI:0007,,DroID;IntAct;mentha,25294943,PMID,0,1,1,,NULL
3,1307,DM_PPI1704668,high,ppi,MI:0018,MI:0705;MI:0007;MI:0006;MI:0113;MI:0004;MI:1022;MI:0029;MI:0028,,DroID;FlyBase;BioGrid,22729084;21694707;21145741;26157019;27558293,PMID,1,8,5,,NULL
4,5,DM_DR_PPI1740609,low,ppi,,MI:0029,,IntAct;mentha,21694722,PMID,0,1,1,,NULL
4,2183,DM_PPI1740573,high,ppi,,MI:0007;MI:0943;MI:0004;MI:0082,,DroID;FlyBase;BioGrid,21875999,PMID,0,4,1,,NULL
4,2416,DM_PPI1740574,moderate,ppi,,MI:0007,,DroID,22036573,PMID,0,1,1,,NULL
4,1696,DM_PPI1740575,high,ppi,,MI:0113;MI:0006;MI:0004,,BioGrid;DroID;FlyBase;mentha,17311883,PMID,0,3,1,,NULL
4,497,DM_PPI1740576,low,ppi,MI:0018,,,BioGrid;DIP;DroID;mentha,14605208,PMID,1,0,1,,NULL
4,1612,DM_PPI1740577,high,ppi,,MI:0007;MI:0004;MI:0029;MI:0943;MI:0082,,DroID;BioGrid;mentha;FlyBase;IntAct,21875999;21694722,PMID,0,5,2,,NULL
