# source, target, MasterNetID, Rank, Interaction_type, Exp_Direct, Exp_Indirect, TaxID_interolog, Source_databases, Reference, Reference_type, Count_direct, Count_indirect, Count_paper, Source_Interolog, Comment
0,1,CE_DM_PPI1981443,low,ppi,,MI:1247,,IntAct;DIP,24980795,PMID,0,1,1,,NULL
0,1016,CE_PPI1981444,high,ppi,MI:0018,MI:0416,,mentha;WormBase;BioGrid;IntAct;DIP,18692475;25977552,PMID,1,1,2,,NULL
0,2,CE_PPI1981445,high,ppi,MI:0018,MI:0096;MI:1247;MI:0104;MI:0071,,WormBase;IntAct;DIP,24980795,PMID,1,4,1,,NULL
0,554,CE_PPI1981446,high,ppi,MI:0018,MI:0314,,mentha;WormBase;IntAct;BioGrid,21802300;18692475,PMID,1,1,2,,NULL
0,1760,CE_PPI1981447,low,ppi,MI:0018,,,WormBase;BioGrid,14704431,PMID,1,0,1,,NULL
0,1884,CE_PPI1981448,low,ppi,MI:0398,,,IntAct;mentha,14704431,PMID,1,0,1,,NULL
0,1107,CE_PPI1981449,high,ppi,MI:0018,,,mentha;WormBase;IntAct;BioGrid,14704431;18692475,PMID,1,0,2,,NULL
0,1885,CE_PPI1981450,high,ppi,MI:0018;MI:0398,,,BioGrid;DIP;IntAct;mentha,14704431,PMID,2,0,1,,NULL
0,1886,CE_PPI1981451,high,ppi,MI:0018;MI:0398,,,BioGrid;DIP;IntAct;mentha,14704431,PMID,2,0,1,,NULL
0,1887,CE_PPI1981452,high,ppi,MI:0018;MI:0398,,,BioGrid;DIP;IntAct;mentha,14704431,PMID,2,0,1,,NULL
0,1834,CE_PPI_2416525,low,ppi,,,,WormBase,,-,0,0,0,,NULL
0,816,CE_PPI_3522801,low,ppi,,,,WormBase,,-,0,0,0,,NULL
2,3,CE_DM_PPI1983956,low,ppi,,MI:1247,,IntAct;DIP,24980795,PMID,0,1,1,,NULL
2,139,CE_MM_PPI1983957,low,ppi,,MI:1247,,IntAct;DIP,24980795,PMID,0,1,1,,NULL
2,1665,CE_PPI1983958,high,ppi,MI:0018;MI:0398,,,BioGrid;DIP;IntAct;mentha,14704431,PMID,2,0,1,,NULL
2,2129,CE_PPI1983960,high,ppi,MI:0018;MI:0398,,,BioGrid;DIP;IntAct;mentha,14704431,PMID,2,0,1,,NULL
2,2152,CE_PPI1983961,high,ppi,MI:0018;MI:0398,,,BioGrid;DIP;IntAct;mentha,14704431,PMID,2,0,1,,NULL
2,574,CE_PPI1983962,low,ppi,MI:0018,,,mentha;WormBase;IntAct;BioGrid,18692475,PMID,1,0,1,,NULL
2,2,CE_PPI1983963,high,ppi,MI:0114,MI:0071;MI:0104;MI:0826,,WormBase;IntAct;DIP,24980795,PMID,1,3,1,,NULL
2,631,CE_PPI1983964,low,ppi,MI:0018,,,mentha;WormBase;IntAct;BioGrid,18692475,PMID,1,0,1,,NULL
2,1054,CE_PPI1983965,low,ppi,MI:0018,,,mentha;WormBase;IntAct;BioGrid,18692475,PMID,1,0,1,,NULL
2,1001,CE_PPI1983966,high,ppi,MI:0018;MI:0398,,,BioGrid;IntAct;mentha,14704431,PMID,2,0,1,,NULL
2,1002,CE_PPI1983967,high,ppi,MI:0018;MI:0398,,,BioGrid;IntAct;mentha,14704431,PMID,2,0,1,,NULL
2,2839,CE_PPI1983968,high,ppi,MI:0018;MI:0398,,,BioGrid;DIP;IntAct;mentha,14704431,PMID,2,0,1,,NULL
2,662,CE_PPI1983969,low,ppi,MI:0018,,,mentha;WormBase;IntAct;BioGrid,18692475,PMID,1,0,1,,NULL
2,500,CE_PPI1983970,low,ppi,MI:0018,,,mentha;WormBase;IntAct;BioGrid,18692475,PMID,1,0,1,,NULL
2,510,CE_PPI1983971,high,ppi,MI:0018;MI:0398,,,BioGrid;DIP;IntAct;mentha,14704431,PMID,2,0,1,,NULL
2,2840,CE_PPI1983972,low,ppi,MI:0018,,,mentha;WormBase;IntAct;BioGrid,18692475,PMID,1,0,1,,NULL
2,170,CE_PPI1983973,low,ppi,MI:0018,,,mentha;WormBase;IntAct;BioGrid,18692475,PMID,1,0,1,,NULL
2,144,CE_PPI1983974,low,ppi,,MI:0113,,WormBase;mentha;BioGrid,22623721,PMID,0,1,1,,NULL
2,2841,CE_PPI1983975,low,ppi,MI:0018,,,mentha;WormBase;IntAct;BioGrid,18692475,PMID,1,0,1,,NULL
2,3046,CE_PPI_2418249,low,ppi,,,,WormBase,,-,0,0,0,,NULL
2,8192,CE_PPI_3412634,low,ppi,,MI:1022,,BioGrid,31308550,PMID,0,1,1,,NULL
2,519,CE_PPI_3424007,low,ppi,,MI:1022,,BioGrid,31308550,PMID,0,1,1,,NULL
4,5,CE_HS_PPI1979046,low,ppi,MI:0018,,,IntAct;mentha,12226085,PMID,1,0,1,,NULL
4,227,CE_PPI1979047,low,ppi,MI:0018,,,mentha;WormBase;IntAct;BioGrid,18692475,PMID,1,0,1,,NULL
4,228,CE_PPI1979048,high,ppi,MI:0397;MI:0018;MI:0398,,,mentha;WormBase;IntAct;BioGrid,19123269,PMID,3,0,1,,NULL
4,229,CE_PPI1979049,high,ppi,MI:0018;MI:0398,,,mentha;WormBase;BioGrid;IntAct;DIP,14704431,PMID,2,0,1,,NULL
4,230,CE_PPI1979050,high,ppi,MI:0397;MI:0018;MI:0398,,,mentha;WormBase;IntAct;BioGrid,19123269,PMID,3,0,1,,NULL
4,201,CE_PPI1979051,high,ppi,MI:0397;MI:0018;MI:0398,,,mentha;WormBase;IntAct;BioGrid,19123269,PMID,3,0,1,,NULL
4,231,CE_PPI1979052,low,ppi,,,,mentha,18692475,PMID,0,0,1,,NULL
4,232,CE_PPI1979053,high,ppi,MI:0397;MI:0018;MI:0398,,,mentha;WormBase;IntAct;BioGrid,19123269,PMID,3,0,1,,NULL
4,233,CE_PPI1979054,high,ppi,MI:0397;MI:0018;MI:0398,,,mentha;WormBase;IntAct;BioGrid,19123269,PMID,3,0,1,,NULL
4,234,CE_PPI1979055,low,ppi,,MI:0401,,WormBase;BioGrid,23578927,PMID,0,1,1,,NULL
4,235,CE_PPI1979056,high,ppi,MI:0397;MI:0018;MI:0398,,,mentha;WormBase;IntAct;BioGrid,19123269,PMID,3,0,1,,NULL
4,22,CE_PPI1979057,high,ppi,MI:0397;MI:0018;MI:0398,,,mentha;WormBase;IntAct;BioGrid,19123269,PMID,3,0,1,,NULL
4,236,CE_PPI1979058,high,ppi,MI:0397;MI:0018;MI:0398,,,mentha;WormBase;IntAct;BioGrid,19123269,PMID,3,0,1,,NULL
4,237,CE_PPI1979059,high,ppi,MI:0018;MI:0398;MI:0397,,,mentha;WormBase;BioGrid;IntAct;DIP,14704431;19123269,PMID,3,0,2,,NULL
4,238,CE_PPI1979060,high,ppi,MI:0018;MI:0398;MI:0397,,,mentha;WormBase;BioGrid;IntAct;DIP,14704431;19123269,PMID,3,0,2,,NULL
4,239,CE_PPI1979061,high,ppi,MI:0397;MI:0018;MI:0398,,,mentha;WormBase;IntAct;BioGrid,19123269,PMID,3,0,1,,NULL
4,182,CE_PPI1979062,high,ppi,MI:0018;MI:0398,,,BioGrid;DIP;IntAct;mentha,14704431,PMID,2,0,1,,NULL
