# source, target, MasterNetID, Rank, Interaction_type, Exp_Direct, Exp_Indirect, TaxID_interolog, Source_databases, Reference, Reference_type, Count_direct, Count_indirect, Count_paper, Source_Interolog, Comment
0,1,DM_SP_PPI1646326,low,ppi,MI:0018,,,BioGrid;mentha,7780738,PMID,1,0,1,,NULL
1,9,SP_HS_PPI2343968,low,ppi,,MI:0096,,IntAct,10698951,PMID,0,1,1,,NULL
1,39,SP_HS_PPI2343969,low,ppi,MI:0018,,,BioGrid;mentha,7780738,PMID,1,0,1,,NULL
1,45,SP_HS_PPI2343970,low,ppi,MI:0018,,,IntAct,16000169,PMID,1,0,1,,NULL
1,79,SP_HS_PPI2343971,low,ppi,MI:0018,,,BioGrid;IntAct;mentha,16000169,PMID,1,0,1,,NULL
1,1057,SP_PPI2343974,moderate,ppi,MI:0018,,,BioGrid;mentha,22308326,PMID,1,0,1,,NULL
1,1174,SP_PPI2343975,moderate,ppi,,,,PomBase,27151298,PMID,0,0,1,,NULL
1,760,SP_PPI2343976,moderate,ppi,MI:0018,,,BioGrid;mentha,22308326,PMID,1,0,1,,NULL
1,1565,SP_PPI2343977,moderate,ppi,MI:0018,,,BioGrid;mentha,22308326,PMID,1,0,1,,NULL
1,790,SP_PPI2343978,low,ppi,,,,PomBase,26412298,PMID,0,0,1,,NULL
1,794,SP_PPI2343979,low,ppi,,MI:0943,,BioGrid;mentha,22540037,PMID,0,1,1,,NULL
1,2164,SP_PPI2343980,high,ppi,MI:0018,MI:0046;MI:0314;MI:0113;MI:0096,,BioGrid;IntAct;mentha;PomBase,12124382,PMID,1,4,4,,NULL
1,2208,SP_PPI2343981,moderate,ppi,MI:0018,,,BioGrid;mentha,22308326,PMID,1,0,1,,NULL
1,1,SP_PPI2343982,high,ppi,MI:0018,,,BioGrid;IntAct;mentha,10698951,PMID,1,0,3,,NULL
1,791,SP_PPI2343983,low,ppi,,,,PomBase,26412298,PMID,0,0,1,,NULL
1,925,SP_PPI2343984,high,ppi,,MI:0113;MI:0007,,mentha;IntAct;DIP;BioGrid,25313826,PMID,0,2,1,,NULL
1,792,SP_PPI2343985,moderate,ppi,,,,PomBase,26412298,PMID,0,0,1,,NULL
1,2483,SP_PPI2343986,low,ppi,MI:0055,,,BioGrid;mentha,21493688,PMID,1,0,1,,NULL
1,1410,SP_PPI2343987,high,ppi,,MI:0113,,BioGrid;mentha,20452294,PMID,0,1,2,,NULL
1,602,SP_PPI2343988,high,ppi,,,,PomBase,26412298,PMID,0,0,2,,NULL
1,2062,SP_PPI2343989,high,ppi,MI:0018,MI:0943,,BioGrid;mentha,22308326,PMID,1,1,2,,NULL
1,2485,SP_PPI2343990,low,ppi,,MI:0943,,BioGrid;mentha,21211723,PMID,0,1,1,,NULL
1,1765,SP_PPI2343991,high,ppi,MI:0018,MI:0314,,BioGrid;mentha;PomBase,14752051,PMID,1,1,2,,NULL
1,2344,SP_PPI2343992,moderate,ppi,,,,PomBase,27151298,PMID,0,0,1,,NULL
