# index, gene, tax_id, _pos
0,7227,37290,"array([5.98533792, 5.67886943])"
1,4896,2540020,"array([6.15940645, 5.28551408])"
2,7227,3771854,"array([5.78476723, 5.22890202])"
3,4896,2541355,"array([6.20835157, 5.11934908])"
4,7227,3772619,"array([5.95669864, 5.50393579])"
5,9606,997,"array([6.9698042, 4.404641 ])"
6,4896,2542393,"array([6.74538078, 4.65764806])"
7,9606,1022,"array([5.45741266, 5.16157529])"
8,4896,2542112,"array([5.80712163, 5.11273926])"
9,9606,1026,"array([5.9824137 , 5.64894696])"
10,9606,1650,"array([7.08694173, 5.15427987])"
11,4896,2541412,"array([6.67751371, 5.134198  ])"
12,9606,1810,"array([5.92879419, 5.62129683])"
13,4896,2540213,"array([6.17364244, 5.26648181])"
14,9606,1978,"array([5.94945131, 4.60505496])"
15,4896,2540719,"array([6.15307697, 4.85314593])"
16,4896,2540992,"array([6.14210529, 4.84377454])"
17,9606,2475,"array([6.24427362, 4.16008057])"
18,4896,2539480,"array([6.30305693, 4.49141517])"
19,9606,2549,"array([5.76025673, 4.24024757])"
20,4896,2540027,"array([5.9047483, 4.4886719])"
21,9606,2782,"array([7.07636371, 4.00994096])"
22,4896,2540666,"array([6.89835818, 4.15299167])"
23,9606,2783,"array([7.01948725, 3.92851259])"
24,9606,2784,"array([7.01366397, 3.98082625])"
25,9606,2786,"array([7.2083027 , 4.18966665])"
26,4896,2539974,"array([7.03441774, 4.36074137])"
27,9606,3009,"array([6.02754206, 4.35823499])"
28,4896,2539869,"array([6.18126982, 4.72939277])"
29,9606,3020,"array([5.69178191, 4.12984669])"
30,4896,2542278,"array([5.88266572, 4.3514193 ])"
31,9606,3021,"array([5.73551808, 4.11585631])"
32,9606,3265,"array([6.16857055, 4.16329135])"
33,4896,2540612,"array([6.22602765, 4.4850178 ])"
34,9606,3612,"array([5.71201441, 5.6272623 ])"
35,4896,2540727,"array([5.97941149, 5.36084614])"
36,9606,3638,"array([7.09334294, 5.23130928])"
37,9606,3838,"array([6.6033595 , 4.56843368])"
38,4896,2540149,"array([6.39685564, 4.96935682])"
39,9606,5111,"array([5.94881269, 5.67338724])"
40,9606,5371,"array([6.365115  , 5.54216517])"
41,4896,2539967,"array([6.43461239, 5.59493309])"
42,4896,2540927,"array([6.54575039, 5.22557233])"
43,4896,2542196,"array([6.06018274, 5.31869192])"
44,4896,2543606,"array([6.57439681, 5.61596108])"
45,9606,5425,"array([5.95031863, 5.6426247 ])"
46,9606,5718,"array([6.92030485, 4.82575003])"
47,4896,2543682,"array([6.52741299, 5.01741991])"
48,9606,5901,"array([5.56284144, 4.90750719])"
49,4896,2541863,"array([5.95496965, 4.96388146])"
50,9606,5902,"array([5.58367593, 4.85691804])"
51,9606,5925,"array([5.67394779, 4.51914164])"
52,4896,2543387,"array([5.96332846, 4.7189471 ])"
53,9606,6182,"array([10.50757374,  5.37693047])"
54,4896,2541472,"array([10.51261677,  5.4626969 ])"
55,9606,6198,"array([6.52972902, 4.46959038])"
56,4896,2540473,"array([6.41516975, 4.71671945])"
57,4896,2540720,"array([6.46819175, 4.7423121 ])"
58,9606,6654,"array([5.72821851, 4.27364274])"
59,9606,7314,"array([6.99575181, 5.57887023])"
60,4896,2541532,"array([6.80761743, 5.32023099])"
61,4896,2543170,"array([6.79107021, 5.51037305])"
62,9606,7316,"array([6.89823712, 4.93352813])"
63,4896,2540481,"array([6.67630489, 4.83112093])"
64,4896,2542606,"array([6.60182799, 5.12405673])"
65,4896,2542667,"array([6.64893309, 4.93108232])"
66,4896,3361477,"array([6.86318343, 5.07948104])"
67,9606,7329,"array([5.79240941, 5.60239146])"
68,9606,7818,"array([10.43702094,  5.43289841])"
69,9606,8290,"array([5.44336139, 5.04568732])"
70,4896,2538711,"array([5.76144501, 5.04625455])"
71,9606,9656,"array([5.3750299, 4.5548617])"
72,4896,3361306,"array([5.6350596 , 4.66949076])"
