# index, name, _pos
0,,"array([ 2.96550584, -0.75070959])"
1,,"array([ 2.91703565, -0.64218862])"
2,,"array([ 2.94182612, -0.70450912])"
3,,"array([ 2.93568538, -0.78786624])"
4,,"array([ 2.87598356, -0.72382427])"
5,,"array([ 2.89166314, -0.70777946])"
6,,"array([ 2.88142792, -0.71811671])"
7,,"array([ 3.01187341, -0.75578296])"
8,,"array([ 2.98700556, -0.73414565])"
9,,"array([ 2.9883264 , -0.75857518])"
10,,"array([ 2.96659173, -0.74285964])"
11,,"array([ 2.86932785, -0.67774287])"
12,,"array([ 2.8533066 , -0.66003457])"
13,,"array([ 2.88708045, -0.67304921])"
14,,"array([ 2.87879076, -0.68377514])"
15,,"array([ 2.8984873 , -0.63314499])"
16,,"array([ 2.85842364, -0.69384603])"
17,,"array([ 3.14182585, -0.78532624])"
18,,"array([ 3.09756096, -0.78359148])"
19,,"array([ 3.01029092, -0.82981273])"
20,,"array([ 3.04962252, -0.8591788 ])"
21,,"array([ 3.07276285, -0.857077  ])"
22,,"array([ 3.06773213, -0.83878323])"
23,,"array([ 3.23409903, -0.3003355 ])"
24,,"array([ 3.21723291, -0.28842874])"
25,,"array([ 2.84093864, -0.87414225])"
26,,"array([ 2.86094276, -0.8663119 ])"
27,,"array([ 2.90257078, -0.81294045])"
28,,"array([ 2.8820989 , -0.64335542])"
29,,"array([ 2.87522982, -0.63453704])"
30,,"array([ 2.65443819, -0.84996653])"
31,,"array([ 2.69791634, -0.82256719])"
32,,"array([ 2.66019023, -0.82596008])"
33,,"array([ 2.63203345, -0.78138096])"
34,,"array([ 2.62861398, -0.7640563 ])"
35,,"array([ 2.67510814, -0.79141638])"
36,,"array([ 2.59216951, -0.77807039])"
37,,"array([ 2.61666336, -0.77367123])"
38,,"array([ 2.61824224, -0.79079064])"
39,,"array([ 2.92622281, -0.53738657])"
40,,"array([ 2.91266064, -0.53205487])"
41,,"array([ 2.9095091, -0.5910517])"
42,,"array([ 2.91700478, -0.59096928])"
43,,"array([ 2.89900451, -0.53904011])"
44,,"array([ 2.91628869, -0.70406274])"
45,,"array([ 2.88450891, -0.73680086])"
46,,"array([ 2.80714548, -0.76490328])"
47,,"array([ 2.79285885, -0.80455079])"
48,,"array([ 2.91196839, -0.79947341])"
49,,"array([ 2.83170094, -0.77907093])"
50,,"array([ 2.87298673, -0.78171835])"
51,,"array([ 2.86118511, -0.76989459])"
52,,"array([ 2.92371998, -0.79160134])"
53,,"array([ 2.88052173, -0.74216085])"
54,,"array([ 2.86335129, -0.81460159])"
55,,"array([ 2.86088256, -0.77915975])"
56,,"array([ 2.89947242, -0.74012912])"
57,,"array([ 2.90816319, -0.74231778])"
58,,"array([ 2.74166692, -0.76744074])"
59,,"array([ 2.70726196, -0.75336555])"
60,,"array([ 2.69014429, -0.74285114])"
61,,"array([ 2.62740673, -0.88529851])"
62,,"array([ 2.65482356, -0.86892973])"
63,,"array([ 2.91636642, -0.7391031 ])"
64,,"array([ 2.88415357, -0.7753286 ])"
65,,"array([ 2.88285491, -0.75033017])"
66,,"array([ 2.43534428, -1.03079188])"
67,,"array([ 2.41865295, -1.0244071 ])"
68,,"array([ 2.43608971, -1.00139004])"
69,,"array([ 2.41873779, -1.00637019])"
70,,"array([ 2.44604808, -1.01650199])"
71,,"array([ 2.88085333, -0.79161454])"
72,,"array([ 2.91969745, -0.78184429])"
73,,"array([ 2.87432143, -0.80518196])"
74,,"array([ 3.34857639, -0.39990492])"
75,,"array([ 3.33323408, -0.4129329 ])"
76,,"array([ 3.35515826, -0.42322539])"
77,,"array([ 2.78947656, -0.8375242 ])"
78,,"array([ 2.85616561, -0.82423413])"
79,,"array([ 2.80306114, -0.8455104 ])"
80,,"array([ 2.9339474, -0.7427628])"
81,,"array([ 2.91674179, -0.74889649])"
82,,"array([ 2.95885165, -0.82144836])"
83,,"array([ 2.97521658, -0.75118204])"
84,,"array([ 2.96010535, -0.74599844])"
85,,"array([ 3.09614545, -0.83413007])"
86,,"array([ 3.0981107 , -0.84384859])"
87,,"array([ 3.0810376 , -0.83550371])"
88,,"array([ 3.10741911, -0.84202436])"
89,,"array([ 3.08863034, -0.84689152])"
90,,"array([ 3.09918229, -0.85480137])"
91,,"array([ 3.08961955, -0.85754072])"
92,,"array([ 3.07688364, -0.82120548])"
93,,"array([ 3.10044562, -0.86786886])"
94,,"array([ 3.10783429, -0.85204846])"
95,,"array([ 3.01899721, -0.97262522])"
96,,"array([ 2.99061941, -0.92281407])"
97,,"array([ 3.00069676, -0.98039693])"
98,,"array([ 2.9498714 , -0.76152117])"
99,,"array([ 2.92918335, -0.7528258 ])"
100,,"array([ 2.93039083, -0.81417852])"
101,,"array([ 3.05503667, -0.82593124])"
102,,"array([ 3.06367267, -0.81334683])"
103,,"array([ 2.98880276, -0.7943504 ])"
104,,"array([ 2.86293019, -0.61060896])"
105,,"array([ 2.8622092 , -0.62655582])"
106,,"array([ 2.89046763, -0.61361985])"
107,,"array([ 2.89471239, -0.62583578])"
108,,"array([ 2.89062908, -0.62058987])"
109,,"array([ 2.84377235, -0.71048865])"
110,,"array([ 2.83361215, -0.72936619])"
111,,"array([ 2.81720555, -0.68140914])"
112,,"array([ 2.78595723, -0.66294152])"
113,,"array([ 2.75783227, -0.64537224])"
114,,"array([ 2.75850652, -0.66199877])"
115,,"array([ 2.77337527, -0.64328948])"
116,,"array([ 3.0486065 , -0.74746077])"
117,,"array([ 3.00601206, -0.72972779])"
118,,"array([ 2.9857076 , -0.74442295])"
119,,"array([ 2.99455526, -0.74003172])"
120,,"array([ 2.98926725, -0.76722859])"
121,,"array([ 2.98084347, -0.7417429 ])"
122,,"array([ 2.9739001 , -0.73243306])"
123,,"array([ 2.98551551, -0.73996179])"
124,,"array([ 2.96418114, -0.76144668])"
125,,"array([ 2.99454135, -0.74674012])"
126,,"array([ 2.98027941, -0.78362682])"
127,,"array([ 2.99777763, -0.75734238])"
128,,"array([ 2.97243978, -0.74690056])"
129,,"array([ 2.99770671, -0.78354009])"
130,,"array([ 2.99300639, -0.75853669])"
131,,"array([ 2.97666694, -0.76724677])"
132,,"array([ 2.97501707, -0.6888694 ])"
133,,"array([ 2.7962395 , -0.77585708])"
134,,"array([ 2.74872938, -0.79359491])"
135,,"array([ 2.81790837, -0.86137015])"
136,,"array([ 2.88501909, -0.89741145])"
137,,"array([ 2.89970788, -0.91173751])"
138,,"array([ 2.89308669, -0.88875184])"
139,,"array([ 2.90824846, -0.90299439])"
140,,"array([ 2.88731047, -0.90903097])"
141,,"array([ 2.89655906, -0.9003099 ])"
142,,"array([ 2.99116161, -0.88184727])"
143,,"array([ 3.0030038 , -0.88405458])"
144,,"array([ 2.94889274, -0.85177885])"
145,,"array([ 2.966296  , -0.80739693])"
146,,"array([ 2.97950918, -0.80579801])"
147,,"array([ 2.99438835, -0.81245686])"
148,,"array([ 2.98229256, -0.76775098])"
149,,"array([ 2.81658833, -0.74689402])"
150,,"array([ 2.75048714, -0.78030781])"
151,,"array([ 2.68532967, -0.81692799])"
152,,"array([ 2.66865053, -0.85279355])"
153,,"array([ 2.66408915, -0.83907523])"
154,,"array([ 2.64658093, -0.83229463])"
155,,"array([ 2.68452345, -0.83535768])"
156,,"array([ 2.63817862, -0.84671005])"
157,,"array([ 2.84039537, -0.80328431])"
158,,"array([ 2.80433431, -0.82512581])"
159,,"array([ 3.0270589 , -0.71507187])"
160,,"array([ 3.02121681, -0.79364754])"
161,,"array([ 3.03976843, -0.82387249])"
162,,"array([ 2.97584597, -0.82212327])"
163,,"array([ 2.96657671, -0.78952108])"
164,,"array([ 2.74190403, -0.80928798])"
165,,"array([ 2.8698268 , -0.64911847])"
166,,"array([ 2.80030501, -0.66020786])"
167,,"array([ 2.8011709 , -0.64374457])"
168,,"array([ 2.7721295, -0.2172418])"
169,,"array([ 2.7494493 , -0.21540587])"
170,,"array([ 3.00520347, -0.75497451])"
171,,"array([ 2.97737267, -0.73737   ])"
172,,"array([ 3.01509954, -0.7308608 ])"
173,,"array([ 3.02167547, -0.80983323])"
174,,"array([ 2.99188026, -0.68805825])"
175,,"array([ 2.86967251, -0.97816243])"
176,,"array([ 2.8757804 , -1.02763843])"
177,,"array([ 2.85533121, -1.02688937])"
178,,"array([ 3.06116618, -0.88113982])"
179,,"array([ 2.78238626, -0.69740055])"
180,,"array([ 2.77960865, -0.70948484])"
181,,"array([ 2.7369783 , -0.69202408])"
182,,"array([ 2.84261989, -0.69531232])"
183,,"array([ 2.78758423, -0.23227129])"
184,,"array([ 2.98587365, -0.74874765])"
185,,"array([ 2.83789762, -0.86157729])"
186,,"array([ 2.85209189, -0.88519561])"
187,,"array([ 2.83006685, -0.91162731])"
188,,"array([ 2.96529956, -0.92049299])"
189,,"array([ 2.96709439, -0.96346054])"
190,,"array([ 2.94973982, -0.96577576])"
191,,"array([ 2.94349142, -0.92424129])"
192,,"array([ 2.73770269, -0.83261245])"
193,,"array([ 2.86042192, -0.84596895])"
194,,"array([ 2.78348313, -0.86215466])"
195,,"array([ 3.37508269, -1.02009404])"
196,,"array([ 3.40386503, -1.01297215])"
197,,"array([ 3.40211726, -1.03135319])"
198,,"array([ 3.38673059, -1.00601942])"
199,,"array([ 3.38429569, -1.03578876])"
200,,"array([ 2.9032355 , -0.73390257])"
201,,"array([ 2.89487012, -0.73114187])"
202,,"array([ 2.9049867 , -0.74936512])"
203,,"array([ 2.897489  , -0.76034991])"
204,,"array([ 2.90306744, -0.72644755])"
205,,"array([ 2.91088643, -0.73259366])"
206,,"array([ 2.91719531, -0.72741234])"
207,,"array([ 2.89810985, -0.71794395])"
208,,"array([ 2.93726497, -0.90528023])"
209,,"array([ 2.92681848, -0.91535189])"
210,,"array([ 2.9268982 , -0.85945687])"
211,,"array([ 2.80075993, -0.21049605])"
212,,"array([ 2.82684346, -0.79345471])"
213,,"array([ 2.87661758, -0.76488458])"
214,,"array([ 2.97662758, -0.8578332 ])"
215,,"array([ 2.9628207 , -0.85355259])"
216,,"array([ 2.92505153, -0.87249104])"
217,,"array([ 2.95214302, -0.88751684])"
218,,"array([ 3.16043526, -0.77557957])"
219,,"array([ 3.15966648, -0.79635664])"
220,,"array([ 2.90658397, -0.63022838])"
221,,"array([ 2.92851099, -0.63354505])"
222,,"array([ 2.9292467 , -0.64183598])"
223,,"array([ 2.92884568, -0.61554887])"
224,,"array([ 2.91283532, -0.61245068])"
225,,"array([ 2.91994953, -0.63275611])"
226,,"array([ 2.9250834 , -0.62724759])"
227,,"array([ 2.92359731, -0.61326044])"
228,,"array([ 2.91564125, -0.62102475])"
229,,"array([ 2.85572644, -0.57307709])"
230,,"array([ 2.96076163, -0.90183756])"
231,,"array([ 2.39164133, -0.57679741])"
232,,"array([ 2.38225056, -0.59376405])"
233,,"array([ 2.39704526, -0.60145483])"
234,,"array([ 2.36757822, -0.58561246])"
235,,"array([ 2.36636294, -0.60455347])"
236,,"array([ 2.38243562, -0.61273287])"
237,,"array([ 2.99915795, -0.83790688])"
238,,"array([ 2.9861244 , -0.77444215])"
239,,"array([ 2.98944114, -0.85835044])"
240,,"array([ 3.00916827, -0.84151468])"
241,,"array([ 3.01000389, -0.85345183])"
242,,"array([ 3.01852889, -0.84429834])"
243,,"array([ 2.99912173, -0.84778365])"
244,,"array([ 2.98619369, -0.84413213])"
245,,"array([ 3.01244943, -0.86598231])"
246,,"array([ 3.00098113, -0.85842986])"
247,,"array([ 2.97360515, -0.74122544])"
248,,"array([ 2.704219  , -0.80174919])"
249,,"array([ 3.03061983, -0.85926411])"
250,,"array([ 3.02582886, -0.87130827])"
251,,"array([ 2.93808809, -0.82858135])"
252,,"array([ 2.92901054, -0.84556719])"
253,,"array([ 2.92313647, -0.82817108])"
