# index, id, _pos
0,78577671,"array([ 6.9133997 , 37.25772786])"
1,77922321,"array([ 6.74407577, 37.1971544 ])"
2,96403467,"array([ 6.79788516, 37.03618054])"
3,104267794,"array([ 6.38638361, 37.17751138])"
4,100270091,"array([ 6.24289481, 37.2385636 ])"
5,99352582,"array([ 6.28832068, 36.72527557])"
6,94306336,"array([ 6.20693753, 36.83771629])"
7,90636301,"array([ 6.4488202 , 36.65602712])"
8,75104275,"array([ 6.11268463, 36.58922038])"
9,82378761,"array([ 6.56792647, 37.05820376])"
10,74973193,"array([ 6.49135488, 36.94448962])"
11,74317832,"array([ 6.64623067, 37.49228083])"
12,86376468,"array([ 5.98285676, 36.95661164])"
13,100335639,"array([ 6.1302363 , 37.04234941])"
14,79757326,"array([ 6.74897903, 36.5617026 ])"
15,102694925,"array([ 6.7986588 , 36.80848764])"
16,90570768,"array([ 6.41054959, 37.35433447])"
17,79364100,"array([ 6.21660926, 35.98627661])"
18,96993294,"array([ 5.99052303, 36.00866526])"
19,73728021,"array([ 6.15078817, 36.30838532])"
20,77463574,"array([ 6.40436533, 37.7689023 ])"
21,74514462,"array([ 6.1565986 , 37.54455249])"
22,78905353,"array([ 6.31448519, 37.61926209])"
23,102498317,"array([ 6.17316966, 37.7785561 ])"
24,78118919,"array([ 5.47362519, 37.65083565])"
25,80150551,"array([ 5.62024975, 37.84204109])"
26,106627080,"array([ 5.76274428, 36.42696598])"
27,94699532,"array([ 5.68354019, 37.1613734 ])"
28,104792082,"array([ 5.74563053, 37.30081349])"
29,104202244,"array([ 4.87434995, 36.83638509])"
30,96141317,"array([ 5.06541987, 36.86417412])"
31,86966289,"array([ 5.26487287, 37.14455396])"
32,80150552,"array([ 5.0923099 , 36.49049781])"
33,78118920,"array([ 5.26675703, 36.66097282])"
34,76087319,"array([ 4.87179843, 37.08282677])"
35,104333319,"array([ 4.96038935, 37.36772988])"
36,84475919,"array([ 4.72275546, 36.44116613])"
37,93716499,"array([ 5.58732041, 36.61274678])"
38,75956247,"array([ 5.46732666, 36.46786236])"
39,78839829,"array([ 5.46549499, 36.8569617 ])"
40,104136708,"array([ 4.0899404 , 36.53485228])"
41,78970901,"array([ 4.36266466, 36.53561673])"
42,82706462,"array([ 5.1795775 , 36.03119437])"
43,74776599,"array([ 4.97951725, 36.02562367])"
44,95158277,"array([ 3.80304392, 36.12722598])"
45,99680270,"array([ 3.58839192, 36.10926135])"
46,101318664,"array([ 4.01443801, 35.51839752])"
47,84410381,"array([ 3.0659734 , 35.35716384])"
48,83034132,"array([ 3.22950291, 35.16563155])"
49,90505240,"array([ 4.62410779, 35.26640666])"
50,103612436,"array([ 4.67924066, 35.00250569])"
51,82444317,"array([ 6.10482172, 35.45232388])"
52,104529941,"array([ 6.27028587, 35.08628709])"
53,87228439,"array([ 3.20487745, 35.90867458])"
54,98304012,"array([ 3.21389176, 35.71370824])"
55,73662491,"array([ 3.38999019, 35.8311626 ])"
56,94175244,"array([ 3.29082642, 34.30779734])"
57,75956248,"array([ 2.53572136, 37.25704184])"
58,73596949,"array([ 1.87403446, 36.00264322])"
59,94175245,"array([ 1.92550418, 35.6651665 ])"
60,93716500,"array([ 2.35304208, 36.00982474])"
61,78839830,"array([ 1.81823844, 35.79640303])"
62,86376469,"array([ 2.36402717, 35.74067836])"
63,78970902,"array([ 2.21050212, 35.83781569])"
64,96010253,"array([ 2.23224775, 35.52343725])"
65,99352583,"array([ 2.04088617, 36.01902445])"
66,94306337,"array([ 2.009658 , 35.8587722])"
67,90636303,"array([ 2.17204979, 35.70378582])"
68,100335640,"array([ 1.95578374, 36.16338818])"
69,104529942,"array([ 1.59004615, 35.91891359])"
70,103612437,"array([ 1.71905809, 36.12481234])"
71,90505241,"array([ 1.88803791, 36.29096756])"
72,82444318,"array([ 2.34534039, 36.27375791])"
73,74317833,"array([ 1.46513769, 36.15549319])"
74,104333320,"array([ 2.30687251, 36.46042825])"
75,82706463,"array([ 2.13098278, 36.31436229])"
76,106627081,"array([ 1.64802958, 36.29471667])"
77,94699533,"array([ 2.47287662, 36.45945428])"
78,74776600,"array([ 2.60784692, 36.32739545])"
79,101318665,"array([ 2.18717133, 36.04639958])"
80,104792083,"array([ 2.04625923, 35.52926802])"
81,75104276,"array([ 2.66462423, 35.82068152])"
82,77463575,"array([ 1.40114943, 36.69417587])"
83,102694926,"array([ 1.62384721, 36.75665415])"
84,86966290,"array([ 1.12405539, 37.88804387])"
85,78118921,"array([ 1.36374743, 37.67928145])"
86,84475920,"array([ 1.31759854, 37.86026789])"
87,78577672,"array([ 1.88114195, 37.0045677 ])"
88,77922322,"array([ 1.95270153, 37.89660159])"
89,73728022,"array([ 2.04921355, 37.9869989 ])"
90,74973194,"array([ 2.10084542, 37.82943594])"
91,80150553,"array([ 2.02458219, 38.14254277])"
92,78905354,"array([ 1.99449405, 38.29395946])"
93,79364101,"array([ 2.21374999, 38.0525717 ])"
94,94502926,"array([ 1.92596489, 37.75845721])"
95,79757327,"array([ 2.16921161, 38.20368574])"
96,96403468,"array([ 2.27139413, 38.31294354])"
97,102498318,"array([ 1.87013582, 38.19055341])"
98,96993295,"array([ 1.91835135, 38.05700138])"
99,82378762,"array([ 2.46970854, 37.89193086])"
100,104267795,"array([ 1.78979622, 37.86965904])"
101,84410382,"array([ 1.76717093, 38.02435673])"
102,99680271,"array([ 2.2356343 , 37.27035195])"
103,104136709,"array([ 1.61020989, 38.24871009])"
104,95158278,"array([ 0.05654596, 38.20029955])"
105,83034133,"array([-0.1302937 , 38.26244297])"
106,88604686,"array([ 1.51660016, 37.41042156])"
107,104202245,"array([ 2.75111493, 38.3212978 ])"
108,75497486,"array([ 2.18562504, 39.0446597 ])"
109,101842957,"array([ 2.05826826, 38.91962274])"
110,73400342,"array([ 2.51715551, 39.89878928])"
111,80412686,"array([ 1.58611164, 39.35271092])"
112,74711065,"array([ 1.51057388, 39.10669975])"
113,102891531,"array([ 1.75330564, 39.11067088])"
114,100990997,"array([ 3.3135129 , 41.46594242])"
115,101187607,"array([ 3.21680057, 41.65985206])"
116,97189904,"array([ 3.11669835, 41.03758012])"
117,103874582,"array([ 3.02686677, 40.80274716])"
118,96075803,"array([ 3.56145545, 39.8709371 ])"
119,75431954,"array([ 3.28247739, 39.87692482])"
120,98631688,"array([ 2.55884318, 41.08453398])"
121,76021769,"array([ 2.62320735, 40.88042161])"
122,86573072,"array([ 1.8193196 , 40.89281406])"
123,74121222,"array([ 2.8019824 , 41.79123401])"
124,104923155,"array([ 2.85999826, 41.6092844 ])"
125,79691784,"array([ 2.67223093, 41.60940196])"
126,104398865,"array([ 2.271792 , 41.8533424])"
127,100990998,"array([ 3.72337103, 41.62065475])"
128,83558405,"array([ 3.83283124, 41.458422  ])"
129,74055700,"array([ 4.00858553, 41.81876697])"
130,74448910,"array([ 3.87450986, 41.61090553])"
131,95158279,"array([ 2.79631328, 42.51069143])"
132,102498319,"array([ 2.91582945, 42.33978384])"
133,102891532,"array([ 3.46373007, 42.70460491])"
134,104136710,"array([ 3.36212591, 43.03682519])"
135,80412687,"array([ 3.41370381, 42.23268818])"
136,74121223,"array([ 2.47447907, 43.42088651])"
137,101842958,"array([ 2.54346618, 43.59443424])"
138,79691785,"array([ 3.81295537, 42.45565217])"
139,104923156,"array([ 14.32598182, -21.86502813])"
140,74711066,"array([ 14.56728528, -21.74532327])"
141,84410383,"array([ 4.15389403, 43.45813267])"
142,99680274,"array([ 4.05700279, 43.26355828])"
143,74055701,"array([ 3.95709989, 42.61965443])"
144,101187608,"array([ 4.1230856, 44.6250143])"
145,75497487,"array([ 4.07084862, 44.81447221])"
146,73400343,"array([ 3.82876869, 44.64867156])"
147,76021770,"array([ 4.06647161, 44.16766358])"
148,102498320,"array([ 4.2473646 , 44.00344161])"
149,74711067,"array([ 4.73305038, 43.78875053])"
150,96075804,"array([ 4.55790027, 43.91662938])"
151,83558406,"array([ 4.49245089, 43.64062596])"
152,98631689,"array([ 5.41914344, 45.02768758])"
153,104923157,"array([ 5.60027257, 45.09236738])"
154,80412688,"array([ 4.74374016, 44.65747845])"
155,74448911,"array([ 4.66161136, 44.86183969])"
156,79364102,"array([ 3.61957449, 44.10757314])"
157,80150554,"array([ 3.75713435, 43.96821493])"
158,80412689,"array([ 3.06724665, 43.87337211])"
159,100991000,"array([ 3.74772328, 43.5825166 ])"
160,104136711,"array([ 3.13696326, 43.61228333])"
161,104923158,"array([ 1.23702306, 44.34178296])"
162,74448912,"array([ 1.26557964, 44.51392366])"
163,83558407,"array([ 2.99588889, 44.48267797])"
164,99680275,"array([ 2.58014745, 44.13360661])"
165,96075805,"array([ 2.39922489, 44.13855478])"
166,79364103,"array([ 2.5114254, 44.3000149])"
167,80150556,"array([ 3.24591727, 45.28820831])"
168,98631690,"array([ 1.90610165, 44.34993773])"
169,75497488,"array([ 1.72272819, 43.63169857])"
170,104923159,"array([ 1.96175116, 43.90664959])"
171,73400344,"array([ 2.22711267, 44.66218117])"
172,74448913,"array([ 2.06103769, 44.84791374])"
173,102891533,"array([ 2.56602516, 43.83924628])"
174,100991001,"array([ 2.31055137, 43.68819274])"
175,95158282,"array([ 2.99762252, 44.85720805])"
176,101187609,"array([ 3.13014213, 44.62963255])"
177,103153675,"array([ 4.55211266, 47.0825816 ])"
178,76021771,"array([ 4.69945266, 47.18188056])"
179,98631691,"array([ 3.06627644, 45.65531515])"
180,80412690,"array([ 3.83827029, 46.599777  ])"
181,104136712,"array([ 3.83329537, 46.94836363])"
182,84410385,"array([ 3.15841921, 45.95694545])"
183,99680276,"array([ 3.65221281, 45.83933284])"
184,75497489,"array([ 3.73204823, 46.0433461 ])"
185,73400345,"array([ 2.63983204, 46.31917805])"
186,102498321,"array([ 2.69422576, 46.55895199])"
187,74448914,"array([ 2.49924953, 47.24176553])"
188,95158283,"array([ 2.24311286, 45.83749058])"
189,101842960,"array([ 2.05328487, 45.97743187])"
190,75497490,"array([ 1.82311102, 46.58752319])"
191,80150557,"array([ 1.65090758, 46.70508865])"
192,74448915,"array([58.72618162, 19.83954211])"
193,104136714,"array([58.53179341, 19.84634776])"
194,100991002,"array([58.78860132, 19.59652564])"
195,98631692,"array([59.13777344, 19.25737449])"
196,102891534,"array([58.96103063, 19.28732971])"
197,102498322,"array([59.06831043, 19.08651497])"
198,84410386,"array([59.54889887, 18.29968656])"
199,96075806,"array([59.43878869, 18.48864723])"
200,74121224,"array([ 52.09328234, -17.5948499 ])"
201,103153676,"array([ 52.25431899, -17.47804778])"
202,101842961,"array([ 52.52460348, -17.68125551])"
203,84410387,"array([ 52.40178441, -17.81218971])"
204,96075807,"array([ 51.44685455, -17.61124181])"
205,83558408,"array([ 51.26826508, -17.67116779])"
206,98631693,"array([ 53.07106394, -17.82296438])"
207,101187610,"array([ 52.87311584, -17.70804467])"
208,74448916,"array([ 50.76102875, -18.27049242])"
209,104136715,"array([ 50.76101598, -18.45035202])"
210,76021772,"array([ 50.53873365, -17.70560827])"
211,73400346,"array([ 51.22826496, -18.04408598])"
212,80412692,"array([ 51.31791644, -18.2236333 ])"
213,99680279,"array([ 51.43649474, -18.09303892])"
214,74711068,"array([ 51.11705711, -18.17938968])"
215,79364104,"array([ 51.44328502, -18.78345694])"
216,95158284,"array([ 51.50711531, -18.59967906])"
217,102498323,"array([ 51.67124602, -18.85263777])"
218,101318666,"array([ 50.83877211, -20.14044807])"
219,87228441,"array([ 50.81159287, -19.92123416])"
220,73662492,"array([ 50.71977486, -19.32665709])"
221,98304013,"array([ 50.70414142, -19.5027486 ])"
222,104792084,"array([ 50.29347349, -18.90000639])"
223,104923161,"array([ 50.83891531, -20.84930335])"
224,74711069,"array([ 51.01816096, -20.82542901])"
225,74317834,"array([ 49.45195491, -18.25091333])"
226,86376470,"array([ 48.69483685, -19.04925492])"
227,93716501,"array([ 48.98863635, -18.0432153 ])"
228,96141318,"array([ 48.83995538, -17.12807546])"
229,77463576,"array([ 48.33942606, -16.36790598])"
230,102694927,"array([ 48.44200926, -16.46503872])"
231,100335641,"array([ 48.71679305, -17.52411889])"
232,106627082,"array([ 48.79911717, -17.74468374])"
233,104529943,"array([ 49.23896532, -16.36823454])"
234,99352584,"array([ 49.05262067, -16.2415208 ])"
235,90636304,"array([ 49.59308895, -16.65730429])"
236,73596950,"array([ 49.02041068, -17.01173851])"
237,84279315,"array([ 50.00578125, -16.91944482])"
238,77266967,"array([ 49.91916467, -17.10787829])"
239,80150558,"array([ 48.85547894, -16.62745749])"
240,100991003,"array([ 49.14537936, -16.75676069])"
241,90505242,"array([ 48.49071121, -19.74723327])"
242,74121225,"array([ 48.26117303, -15.70152026])"
243,103153677,"array([ 49.43845557, -17.1376452 ])"
244,102498324,"array([ 49.63503913, -17.43499737])"
