# index, _pos
0,"array([0.46118528, 1.25516749])"
1,"array([0.46435762, 1.20703345])"
2,"array([0.37508564, 1.17892283])"
3,"array([0.49792822, 1.16453374])"
4,"array([0.59977037, 1.19142726])"
5,"array([0.41557446, 1.21337348])"
6,"array([0.35804162, 1.2315046 ])"
7,"array([0.46665801, 1.11719838])"
8,"array([0.43551264, 1.16458657])"
9,"array([0.34560404, 1.1175318 ])"
10,"array([0.40161636, 1.13454667])"
11,"array([0.40022077, 1.26132738])"
12,"array([0.30644927, 1.22819831])"
13,"array([0.32013941, 1.1608318 ])"
14,"array([0.40208448, 1.08552434])"
15,"array([0.15555795, 1.08343545])"
16,"array([0.14976702, 1.22641588])"
17,"array([0.04109255, 1.17282474])"
18,"array([0.03241062, 1.0362775 ])"
19,"array([0.12154479, 0.96244392])"
20,"array([0.03780379, 0.95325362])"
21,"array([0.14418353, 1.31929582])"
22,"array([0.21804457, 1.34582469])"
23,"array([0.40340733, 1.65658766])"
24,"array([0.31131047, 1.74563037])"
25,"array([0.31056418, 1.65869818])"
26,"array([0.40260133, 1.74466598])"
