# source, target
0,1
0,72
0,46
0,73
0,125
0,130
0,122
0,47
0,109
0,80
0,41
0,44
0,85
0,59
0,45
0,52
0,79
0,127
0,29
0,28
0,110
1,59
1,80
1,79
1,41
1,130
1,45
1,29
1,46
1,91
1,125
1,97
1,126
1,28
1,47
1,102
1,85
1,110
2,3
2,74
2,42
2,96
2,11
2,75
2,55
2,9
2,39
2,82
2,37
2,27
2,24
2,8
2,56
2,61
2,94
2,15
2,23
2,25
2,7
2,17
2,117
2,103
2,93
2,10
2,35
2,81
2,48
2,54
2,38
2,6
2,16
2,115
3,16
3,42
3,33
3,38
3,87
3,6
3,93
3,100
3,27
3,61
3,7
3,25
3,17
3,82
3,26
3,34
3,101
3,74
3,51
3,96
3,35
3,40
3,37
3,75
3,48
3,81
3,54
3,15
3,90
3,39
3,9
3,10
3,117
4,5
4,82
4,23
4,15
4,16
4,81
4,39
4,9
4,90
4,87
4,94
4,51
4,54
4,74
4,100
4,24
4,26
4,48
4,60
4,117
4,71
4,10
4,75
4,35
4,14
4,96
4,57
4,37
4,61
4,42
4,27
5,40
5,32
5,57
5,117
5,6
5,100
5,39
5,42
5,7
5,9
5,82
5,48
5,74
5,10
5,15
5,16
5,92
5,27
5,69
5,75
5,108
5,33
5,25
5,54
5,61
5,87
5,37
5,107
5,11
5,38
5,71
6,7
6,25
6,90
6,54
6,33
6,27
6,17
6,61
6,8
6,15
6,38
6,96
6,42
6,57
6,117
6,75
6,40
6,74
6,134
6,56
6,93
6,86
6,18
6,23
6,11
6,37
6,14
6,16
7,98
7,55
7,10
7,136
7,26
7,75
7,101
7,94
7,87
7,9
7,39
7,24
7,32
7,61
7,120
7,15
7,82
7,8
7,56
7,62
7,48
7,37
7,27
7,107
7,42
7,86
7,38
7,16
7,117
7,90
7,71
7,33
7,54
7,14
7,74
7,25
7,60
7,106
7,100
7,93
7,17
8,9
8,48
8,61
8,57
8,68
8,16
8,26
8,93
8,142
8,15
8,38
8,107
8,141
8,34
8,18
8,96
8,24
8,37
8,56
8,27
8,74
8,87
8,39
8,71
8,54
8,101
8,32
8,25
8,40
8,17
8,102
8,52
8,82
8,35
8,94
8,75
8,11
8,10
8,23
8,42
8,33
9,23
9,74
9,108
9,16
9,120
9,82
9,36
9,128
9,10
9,48
9,39
9,17
9,96
9,61
9,14
9,25
9,37
9,100
9,24
9,38
9,62
9,90
9,71
9,34
9,93
9,32
9,18
9,86
9,54
9,27
9,51
9,55
9,56
9,75
9,94
9,147
9,11
