# index, label, _pos
0,0,"array([17.94558014, 17.16377399])"
1,900,"array([18.01160047, 17.12470736])"
2,960,"array([17.97560161, 17.24515551])"
3,1078,"array([17.86668183, 17.11650599])"
4,1,"array([17.08046497, 17.2610683 ])"
5,901,"array([17.0795212 , 17.19196289])"
6,961,"array([17.00160098, 17.22007691])"
7,1076,"array([17.15649742, 17.3293493 ])"
8,2,"array([17.22258936, 17.25974155])"
9,902,"array([17.14933104, 17.19654027])"
10,962,"array([17.24088377, 17.33856171])"
11,1073,"array([17.3012121 , 17.24440785])"
12,3,"array([18.85844453, 17.83241526])"
13,903,"array([18.9125276 , 17.78108579])"
14,963,"array([18.75840441, 17.84658625])"
15,1070,"array([18.94008326, 17.84389297])"
16,4,"array([17.93374236, 16.99802415])"
17,904,"array([17.99984873, 17.05009372])"
18,964,"array([17.85617211, 17.02877505])"
19,1068,"array([17.94508917, 16.91934995])"
20,5,"array([18.12786037, 17.22172676])"
21,905,"array([18.09076755, 17.15010199])"
22,965,"array([18.22044573, 17.22545102])"
23,1079,"array([18.06669989, 17.2745234 ])"
24,6,"array([18.75709889, 17.75502917])"
25,906,"array([18.85110849, 17.74496381])"
26,966,"array([18.70636073, 17.69759063])"
27,1077,"array([18.69287278, 17.80741727])"
28,7,"array([16.90259228, 15.95356637])"
29,907,"array([16.9408103 , 15.88179696])"
30,967,"array([16.92887813, 16.04359412])"
31,1069,"array([16.83365982, 15.92833533])"
32,8,"array([19.08035394, 17.75134375])"
33,908,"array([18.99680499, 17.75220528])"
34,968,"array([19.040009  , 17.80991262])"
35,1046,"array([19.16770444, 17.69848023])"
36,9,"array([18.23760791, 16.50137302])"
37,909,"array([18.30447288, 16.45857678])"
38,969,"array([18.16117126, 16.45728849])"
39,1064,"array([18.25572012, 16.58460149])"
40,10,"array([17.15931055, 15.54953891])"
41,910,"array([17.18958895, 15.46621447])"
42,970,"array([17.07848757, 15.56177631])"
43,1075,"array([17.20444011, 15.62208657])"
44,11,"array([18.50825754, 16.41979897])"
45,911,"array([18.42658693, 16.42339005])"
46,971,"array([18.5477501 , 16.49506044])"
47,1048,"array([18.547591  , 16.33954749])"
48,12,"array([19.95076318, 16.25826569])"
49,912,"array([19.88923723, 16.22286689])"
50,972,"array([19.94292256, 16.35351515])"
51,1041,"array([20.00086431, 16.1889597 ])"
52,13,"array([17.20328438, 17.0960542 ])"
53,913,"array([17.1357687 , 17.12357728])"
54,973,"array([17.28134216, 17.15759322])"
55,1061,"array([17.18224543, 17.00812332])"
56,14,"array([19.53189449, 16.74223756])"
57,914,"array([19.60389093, 16.70082729])"
58,974,"array([19.517607  , 16.83261858])"
59,1056,"array([19.47202599, 16.68219628])"
60,15,"array([18.45537987, 15.75092383])"
61,915,"array([18.48205706, 15.67076594])"
62,975,"array([18.51916333, 15.81091371])"
63,1060,"array([18.36758972, 15.76528087])"
64,16,"array([17.03919308, 16.98843248])"
65,916,"array([17.06887876, 17.07500869])"
66,976,"array([17.10316822, 16.95025114])"
67,1057,"array([16.96768185, 16.92782605])"
68,17,"array([18.45751741, 15.48011519])"
69,917,"array([18.48583905, 15.55426759])"
70,977,"array([18.37006843, 15.46969335])"
71,1050,"array([18.52295288, 15.42316114])"
72,18,"array([19.79373542, 16.67362346])"
73,918,"array([19.71795601, 16.67607115])"
74,978,"array([19.83780534, 16.58830015])"
75,1049,"array([19.79857298, 16.76382398])"
76,19,"array([18.09902011, 16.96299415])"
77,919,"array([18.07630358, 17.0381221 ])"
78,979,"array([18.03147274, 16.9036294 ])"
79,1067,"array([18.18749361, 16.95384584])"
80,20,"array([18.21831743, 17.09228699])"
81,920,"array([18.13267148, 17.09326218])"
82,980,"array([18.25120291, 17.01693932])"
83,1074,"array([18.27383826, 17.15867155])"
84,21,"array([16.87703617, 15.75558197])"
85,921,"array([16.93452879, 15.80110233])"
86,981,"array([16.82490975, 15.82980124])"
87,1032,"array([16.89105047, 15.66138513])"
88,22,"array([19.66050891, 16.81762505])"
89,922,"array([19.66580779, 16.73636919])"
90,982,"array([19.73513996, 16.83879217])"
91,1054,"array([19.58590882, 16.87287152])"
92,23,"array([16.96209638, 17.07378055])"
93,923,"array([17.03121913, 17.12021935])"
94,983,"array([16.92290206, 16.98331761])"
95,1071,"array([16.94160165, 17.13607241])"
96,24,"array([17.04227244, 15.96626399])"
97,924,"array([17.01032713, 15.88860395])"
98,984,"array([17.12426657, 15.95189967])"
99,1072,"array([17.00451165, 16.04987784])"
100,25,"array([19.71629106, 16.22997033])"
101,925,"array([19.78931877, 16.21013783])"
102,985,"array([19.67311738, 16.15112788])"
103,1055,"array([19.69278081, 16.31874323])"
104,26,"array([17.7771275 , 14.28320475])"
105,926,"array([17.86145484, 14.28253369])"
106,986,"array([17.69002226, 14.33416453])"
107,1028,"array([17.81841941, 14.2260848 ])"
108,27,"array([18.87451723, 17.63047036])"
109,927,"array([18.91225583, 17.69250485])"
110,987,"array([18.94847761, 17.56964102])"
111,1053,"array([18.77601164, 17.63755721])"
112,28,"array([18.35532752, 15.61645134])"
113,928,"array([18.43698623, 15.61269326])"
114,988,"array([18.31515071, 15.6969002 ])"
115,1031,"array([18.3151083 , 15.54018817])"
116,29,"array([17.09206902, 15.39579872])"
117,929,"array([17.16749333, 15.39588977])"
118,989,"array([17.09040298, 15.30525821])"
119,1038,"array([17.04628664, 15.47826859])"
120,30,"array([18.40582474, 16.55570891])"
121,930,"array([18.37747556, 16.48158626])"
122,990,"array([18.34136225, 16.61274812])"
123,1037,"array([18.49261845, 16.56573446])"
124,31,"array([17.31252612, 15.50832409])"
125,931,"array([17.26234216, 15.44622927])"
126,991,"array([17.28717106, 15.59729096])"
127,1062,"array([17.39198567, 15.47419979])"
128,32,"array([19.82106039, 16.35667791])"
129,932,"array([19.83501143, 16.27104231])"
130,992,"array([19.74388567, 16.39106074])"
131,1059,"array([19.8768674 , 16.41182199])"
132,33,"array([17.98148302, 14.40457151])"
133,933,"array([17.94538915, 14.34260306])"
134,993,"array([18.08131492, 14.39934663])"
135,1047,"array([17.90268453, 14.46094257])"
136,34,"array([17.22187553, 15.25195144])"
137,934,"array([17.22277978, 15.33549375])"
138,994,"array([17.2939395 , 15.19230015])"
139,1042,"array([17.14935569, 15.22990132])"
140,35,"array([17.11282841, 15.78349114])"
141,935,"array([17.03583154, 15.80906885])"
142,995,"array([17.14004538, 15.69177427])"
143,1045,"array([17.15639664, 15.85964413])"
144,36,"array([17.35184708, 15.32236226])"
145,936,"array([17.28239631, 15.36699096])"
146,996,"array([17.41244684, 15.37941859])"
147,1034,"array([17.36611371, 15.23428279])"
148,37,"array([19.86398015, 15.05790477])"
149,937,"array([19.83554601, 14.96912993])"
150,997,"array([19.93351569, 15.11940377])"
151,1036,"array([19.79757569, 15.10105849])"
152,38,"array([18.62666063, 15.70028927])"
153,938,"array([18.55914204, 15.65215477])"
154,998,"array([18.70919605, 15.66433116])"
155,1066,"array([18.60809183, 15.78573262])"
156,39,"array([17.0138457 , 15.66210171])"
157,939,"array([16.99341817, 15.75031181])"
158,999,"array([16.96207232, 15.60490448])"
159,1052,"array([17.09194485, 15.62143606])"
160,40,"array([18.40795535, 16.28464316])"
161,940,"array([18.38275578, 16.3652229 ])"
162,1000,"array([18.49535542, 16.27073156])"
163,1035,"array([18.34425736, 16.22454405])"
164,41,"array([19.70168653, 14.94417764])"
165,941,"array([19.76974168, 14.91522466])"
166,1001,"array([19.72264012, 15.03698254])"
167,1033,"array([19.62540269, 14.88368262])"
168,42,"array([19.57367322, 16.55712702])"
169,942,"array([19.62571205, 16.62140531])"
170,1002,"array([19.4936372 , 16.59053348])"
171,1051,"array([19.60077798, 16.46962456])"
172,43,"array([19.07324485, 17.63387355])"
173,943,"array([18.99787053, 17.68858864])"
174,1003,"array([19.16718579, 17.62651956])"
175,1065,"array([19.04883024, 17.55989758])"
176,44,"array([18.62866452, 15.53373391])"
