# index, meta, _pos
0,java.applet.Applet,"array([ 5.95212111, -2.80856248])"
1,java.awt.Panel,"array([ 6.06664647, -2.61468262])"
2,java.awt.Dimension,"array([ 6.14070776, -2.43740024])"
3,java.net.URL,"array([ 5.21283777, -2.98502364])"
4,java.lang.String,"array([ 5.32151567, -2.73569539])"
5,java.util.Locale,"array([ 5.61573049, -2.47678572])"
6,java.awt.Image,"array([ 6.05507654, -2.4015467 ])"
7,javax.accessibility.AccessibleContext,"array([ 5.76339084, -2.67285372])"
8,java.applet.AppletStub,"array([ 5.92931144, -4.37229864])"
9,java.applet.AudioClip,"array([ 6.92747825, -3.9112433 ])"
10,java.applet.AppletContext,"array([ 5.49970807, -3.44750459])"
11,java.awt.Component,"array([ 6.11087564, -2.36219551])"
12,java.lang.Object,"array([ 5.12192879, -2.37611695])"
13,java.io.PrintWriter,"array([ 5.85296102, -3.18551824])"
14,java.io.PrintStream,"array([ 5.80732711, -3.16162959])"
15,java.awt.Graphics,"array([ 6.24333155, -2.29948725])"
16,java.beans.PropertyChangeListener,"array([ 5.88445646, -2.50796665])"
17,java.awt.event.ContainerListener,"array([ 6.19362335, -2.49748601])"
18,java.awt.Font,"array([ 5.91123999, -2.42556551])"
19,java.awt.FocusTraversalPolicy,"array([ 6.08109247, -2.42833452])"
20,java.lang.Class,"array([ 5.20791778, -2.45985023])"
21,java.awt.Point,"array([ 5.92132218, -2.40739715])"
22,java.awt.Event,"array([ 5.92647109, -2.45645305])"
23,java.util.Set,"array([ 5.25736525, -2.62869547])"
24,java.awt.Container,"array([ 6.12976972, -2.394094  ])"
25,java.awt.ComponentOrientation,"array([ 5.96671831, -2.45150605])"
26,java.awt.Insets,"array([ 6.11746355, -2.30275211])"
27,java.awt.LayoutManager,"array([ 6.10317771, -2.44724473])"
28,java.awt.PopupMenu,"array([ 6.10941606, -2.65706527])"
29,java.awt.MenuComponent,"array([ 6.18011859, -2.57355554])"
30,java.awt.Color,"array([ 5.90723632, -2.29313832])"
31,java.awt.Cursor,"array([ 5.87685641, -2.62362178])"
32,java.awt.FontMetrics,"array([ 5.89903101, -2.32186709])"
33,java.awt.Rectangle,"array([ 6.00757846, -2.25918462])"
34,java.awt.event.FocusListener,"array([ 6.00562858, -2.44999621])"
35,java.awt.event.ComponentListener,"array([ 6.16220468, -2.49206585])"
36,java.awt.image.ColorModel,"array([ 5.9786138, -1.8842741])"
37,java.awt.image.ImageObserver,"array([ 6.03129745, -2.37050644])"
38,java.awt.image.ImageProducer,"array([ 6.0368726 , -2.10986551])"
39,java.awt.peer.ComponentPeer,"array([ 6.19320521, -2.33605459])"
40,java.awt.AWTEvent,"array([ 6.1587715 , -2.19630348])"
41,java.awt.Toolkit,"array([ 6.05470789, -2.45517032])"
42,java.awt.dnd.DropTarget,"array([ 6.19980788, -2.61002161])"
43,java.awt.GraphicsConfiguration,"array([ 6.10856432, -2.19694728])"
44,java.awt.Component$BaselineResizeBehavior,"array([ 6.32624149, -2.4043287 ])"
45,java.awt.image.VolatileImage,"array([ 6.07250677, -2.29642652])"
46,java.awt.ImageCapabilities,"array([ 5.97789682, -2.15723989])"
47,java.awt.event.HierarchyListener,"array([ 6.10375261, -2.49846518])"
48,java.awt.event.HierarchyBoundsListener,"array([ 6.12325255, -2.52466805])"
49,java.awt.event.KeyListener,"array([ 6.17921059, -2.45835291])"
50,java.awt.event.MouseListener,"array([ 6.19399849, -2.41635962])"
51,java.awt.event.MouseMotionListener,"array([ 6.19670916, -2.38255354])"
52,java.awt.event.MouseWheelListener,"array([ 6.15049942, -2.35792944])"
53,java.awt.event.InputMethodListener,"array([ 6.15030269, -2.4047141 ])"
54,java.awt.im.InputMethodRequests,"array([ 6.061632  , -2.17602913])"
55,java.awt.im.InputContext,"array([ 5.72576021, -2.63443695])"
56,java.applet.Applet$AccessibleApplet,"array([ 5.66623758, -2.88172251])"
57,java.awt.Panel$AccessibleAWTPanel,"array([ 5.45382769, -2.59418072])"
58,javax.accessibility.AccessibleRole,"array([ 5.47232932, -2.80031178])"
59,javax.accessibility.AccessibleStateSet,"array([ 5.36434123, -2.58359247])"
60,javax.accessibility.Accessible,"array([ 6.09507592, -2.5410241 ])"
61,javax.accessibility.AccessibleComponent,"array([ 5.67022847, -2.70146649])"
62,javax.accessibility.AccessibleAction,"array([ 5.43853041, -2.72138848])"
63,javax.accessibility.AccessibleSelection,"array([ 5.4673842 , -2.75241768])"
64,javax.accessibility.AccessibleText,"array([ 5.41452254, -2.60139679])"
65,javax.accessibility.AccessibleEditableText,"array([ 5.37642643, -2.63704616])"
66,javax.accessibility.AccessibleValue,"array([ 5.39168462, -2.67812279])"
67,javax.accessibility.AccessibleRelationSet,"array([ 5.39002881, -2.72831565])"
68,javax.accessibility.AccessibleTable,"array([ 5.90004384, -2.80903925])"
69,java.util.Enumeration,"array([ 4.71375131, -1.96674413])"
70,java.io.InputStream,"array([ 4.86818508, -3.31858354])"
71,java.util.Iterator,"array([ 4.75337118, -2.53429363])"
72,java.awt.AWTError,"array([ 5.58166535, -4.0267278 ])"
73,java.lang.Error,"array([ 5.94340783, -3.83650096])"
74,java.lang.Throwable,"array([ 5.82390587, -3.67321133])"
75,java.util.EventObject,"array([ 6.33697859, -2.86642295])"
76,java.awt.AWTEvent$1,"array([ 5.40778166, -1.58243239])"
77,java.security.AccessControlContext,"array([ 3.86219532, -2.23165369])"
78,java.awt.AWTEventMulticaster,"array([ 6.48534759, -2.59999996])"
79,java.awt.event.WindowListener,"array([ 6.63291195, -2.90838094])"
80,java.awt.event.WindowFocusListener,"array([ 6.59088816, -2.88105262])"
81,java.awt.event.WindowStateListener,"array([ 6.54734683, -2.89283551])"
82,java.awt.event.ActionListener,"array([ 6.13231282, -2.47297236])"
83,java.awt.event.ItemListener,"array([ 6.2843076 , -2.53349519])"
84,java.awt.event.AdjustmentListener,"array([ 7.23887769, -2.77059279])"
85,java.awt.event.TextListener,"array([ 7.12112109, -2.72284997])"
86,java.util.EventListener,"array([ 6.83968346, -3.05982616])"
87,java.awt.event.ActionEvent,"array([ 5.84325592, -2.69415702])"
88,java.awt.event.ComponentEvent,"array([ 6.89486137, -2.41866187])"
89,java.awt.event.FocusEvent,"array([ 6.69091758, -2.06131424])"
90,java.awt.event.KeyEvent,"array([ 6.55344513, -2.60703452])"
91,java.awt.event.MouseEvent,"array([ 6.44851096, -2.19282052])"
92,java.awt.event.MouseWheelEvent,"array([ 6.60708664, -2.02012013])"
93,java.awt.event.InputMethodEvent,"array([ 6.09129323, -1.92968815])"
94,java.awt.event.HierarchyEvent,"array([ 6.29201406, -2.8841155 ])"
95,java.awt.event.ItemEvent,"array([ 6.32968386, -2.52204438])"
96,java.awt.event.ContainerEvent,"array([ 6.65314123, -2.73910682])"
97,java.awt.event.WindowEvent,"array([ 6.89263972, -2.92125544])"
98,java.awt.event.AdjustmentEvent,"array([ 6.73586882, -2.89634799])"
99,java.awt.event.TextEvent,"array([ 6.07184741, -2.03088096])"
100,java.awt.AWTException,"array([ 6.37603503, -3.51533436])"
101,java.lang.Exception,"array([ 5.7517234, -3.7311254])"
102,java.awt.AWTKeyStroke,"array([ 6.14117478, -2.95982482])"
103,java.io.Serializable,"array([ 5.27607044, -2.28659678])"
104,java.lang.Character,"array([ 4.91831482, -2.79858067])"
105,java.awt.AWTKeyStroke$1,"array([ 3.67239559, -2.4311294 ])"
106,java.security.PrivilegedAction,"array([ 4.21416899, -1.8550133 ])"
107,java.awt.AWTPermission,"array([ 4.53006464, -3.35578779])"
108,java.security.BasicPermission,"array([ 4.61076083, -2.91115624])"
109,java.security.Permission,"array([ 4.22841645, -2.75419869])"
110,java.security.PermissionCollection,"array([ 4.11739924, -2.8505759 ])"
111,java.awt.Adjustable,"array([ 7.69895196, -2.73075534])"
112,java.awt.AlphaComposite,"array([ 6.38337925, -0.98143072])"
113,java.awt.Composite,"array([ 6.89230152, -0.7725731 ])"
114,java.awt.CompositeContext,"array([ 6.84162523, -0.12697111])"
115,java.awt.RenderingHints,"array([ 5.58464207, -1.73207831])"
116,java.awt.AttributeValue,"array([ 3.55051432, -2.0846446 ])"
117,java.awt.BasicStroke,"array([ 6.17765539, -0.82589869])"
118,java.awt.Stroke,"array([ 7.00009679, -0.71510003])"
119,java.awt.Shape,"array([ 6.37248183, -1.49827099])"
120,java.awt.BasicStroke$FillAdapter,"array([ 6.61959842, -1.01881999])"
121,java.awt.BorderLayout,"array([ 5.90762662, -2.85953431])"
122,java.awt.LayoutManager2,"array([ 6.58345045, -2.57186546])"
123,java.awt.BufferCapabilities,"array([ 6.35476777, -2.14751586])"
124,java.lang.Cloneable,"array([ 4.88395552, -2.05665438])"
125,java.awt.BufferCapabilities$FlipContents,"array([ 6.17680384, -1.90772605])"
126,java.awt.Button,"array([ 5.83604987, -2.74013919])"
127,java.awt.Button$AccessibleAWTButton,"array([ 5.61075069, -2.76696562])"
128,java.awt.Component$AccessibleAWTComponent,"array([ 5.6798064 , -2.65721955])"
129,java.lang.Number,"array([ 4.92671576, -2.84790376])"
130,java.awt.Canvas,"array([ 5.98537823, -2.20926486])"
131,java.awt.image.BufferStrategy,"array([ 6.52082481, -2.43959181])"
132,java.awt.Canvas$AccessibleAWTCanvas,"array([ 5.76259277, -2.81243011])"
133,java.awt.CardLayout,"array([ 6.23416759, -2.74804324])"
134,java.awt.CardLayout$Card,"array([ 5.70074016, -1.78931556])"
135,java.awt.Checkbox,"array([ 5.81832699, -2.31949371])"
136,java.awt.ItemSelectable,"array([ 7.38553168, -2.84000204])"
137,java.awt.CheckboxGroup,"array([ 5.8867657 , -1.74095371])"
138,java.awt.Checkbox$AccessibleAWTCheckbox,"array([ 5.56467919, -2.77080109])"
