# index, label, _pos
0,Myriel,"array([-6.01506996, 12.40451206])"
1,Napoleon,"array([-6.03664231, 12.09537938])"
2,MlleBaptistine,"array([-5.78406796, 12.44552676])"
3,MmeMagloire,"array([-5.82777558, 12.56142255])"
4,CountessDeLo,"array([-6.3636875 , 12.49932915])"
5,Geborand,"array([-6.15298463, 12.24415768])"
6,Champtercier,"array([-6.23448326, 12.41815196])"
7,Cravatte,"array([-6.35338524, 12.28772895])"
8,Count,"array([-6.21703796, 12.62014047])"
9,OldMan,"array([-6.24326075, 12.11789776])"
10,Labarre,"array([-5.77205573, 12.72509858])"
11,Valjean,"array([-5.3847825 , 12.61943533])"
12,Marguerite,"array([-5.20478381, 12.26102358])"
13,MmeDeR,"array([-5.66999053, 12.61501027])"
14,Isabeau,"array([-5.54761809, 12.17785262])"
15,Gervais,"array([-5.69257702, 12.30690865])"
16,Tholomyes,"array([-4.8406058 , 12.44957325])"
17,Listolier,"array([-4.7879546 , 12.29152698])"
18,Fameuil,"array([-4.70690542, 12.35174384])"
19,Blacheville,"array([-4.88304286, 12.25261902])"
20,Favourite,"array([-4.73876974, 12.17212557])"
21,Dahlia,"array([-4.67306442, 12.25141198])"
22,Zephine,"array([-4.84217809, 12.15593169])"
23,Fantine,"array([-5.00812853, 12.40587989])"
24,MmeThenardier,"array([-5.10169881, 12.70698864])"
25,Thenardier,"array([-5.08932948, 12.8268492 ])"
26,Cosette,"array([-5.0217736 , 12.64048321])"
27,Javert,"array([-5.26144593, 12.69872418])"
28,Fauchelevent,"array([-5.58906106, 12.87208878])"
29,Bamatabois,"array([-5.3343783 , 12.43521288])"
30,Perpetue,"array([-5.0677995 , 12.12269866])"
31,Simplice,"array([-5.17046091, 12.38532308])"
32,Scaufflaire,"array([-5.36295869, 12.16935399])"
33,Woman1,"array([-5.52682832, 12.706928  ])"
34,Judge,"array([-5.45425904, 12.42014069])"
35,Champmathieu,"array([-5.5190271 , 12.31357759])"
36,Brevet,"array([-5.52268691, 12.50102874])"
37,Chenildieu,"array([-5.40692902, 12.31201833])"
38,Cochepaille,"array([-5.5816856 , 12.40618104])"
39,Pontmercy,"array([-4.73918895, 12.91861378])"
40,Boulatruelle,"array([-4.68059315, 13.05198402])"
41,Eponine,"array([-5.14764546, 12.94273387])"
42,Anzelma,"array([-4.91222968, 12.91092706])"
43,Woman2,"array([-5.12585682, 12.52574698])"
44,MotherInnocent,"array([-5.71489356, 12.8511357 ])"
45,Gribier,"array([-5.88418263, 13.04519742])"
46,Jondrette,"array([-5.51535778, 13.81356508])"
47,MmeBurgon,"array([-5.43765326, 13.54090977])"
48,Gavroche,"array([-5.3138359 , 13.09925478])"
49,Gillenormand,"array([-4.95078857, 12.77289013])"
50,Magnon,"array([-4.74628889, 12.62906077])"
51,MlleGillenormand,"array([-4.86103931, 12.68458544])"
52,MmePontmercy,"array([-4.54275796, 12.81681368])"
53,MlleVaubois,"array([-4.49726823, 12.61052999])"
54,LtGillenormand,"array([-4.7859431 , 12.78932016])"
55,Marius,"array([-5.0288732 , 12.95149289])"
56,BaronessT,"array([-4.81244758, 13.06433318])"
57,Mabeuf,"array([-4.99709785, 13.16858705])"
58,Enjolras,"array([-5.19494204, 13.05038184])"
59,Combeferre,"array([-5.06921525, 13.21529798])"
60,Prouvaire,"array([-5.26827632, 13.33014897])"
61,Feuilly,"array([-5.0600159, 13.3024603])"
62,Courfeyrac,"array([-5.13364241, 13.15360932])"
63,Bahorel,"array([-5.15202966, 13.26686592])"
64,Bossuet,"array([-5.22780717, 13.12481715])"
65,Joly,"array([-5.22448587, 13.22692243])"
66,Grantaire,"array([-5.18310623, 13.36449849])"
67,MotherPlutarch,"array([-4.77073383, 13.43818334])"
68,Gueulemer,"array([-5.32071104, 12.80054339])"
69,Babet,"array([-5.27026523, 12.88924877])"
70,Claquesous,"array([-5.21559412, 12.80660921])"
71,Montparnasse,"array([-5.38931337, 12.87017052])"
72,Toussaint,"array([-5.24126392, 12.54542919])"
73,Child1,"array([-5.56162772, 13.37341473])"
74,Child2,"array([-5.63096686, 13.25275038])"
75,Brujon,"array([-5.35703702, 12.97373314])"
76,MmeHucheloup,"array([-5.35877143, 13.25836514])"
