# source, target, MasterNetID, Rank, Interaction_type, Exp_Direct, Exp_Indirect, TaxID_interolog, Source_databases, Reference, Reference_type, Count_direct, Count_indirect, Count_paper, Source_Interolog, Comment
0,1,CE_HS_GEN30424,low,genetic,MI:0796,,,BioGrid,9560245,PMID,1,0,1,,NULL
1,981,HS_GEN2370,low,genetic,MI:0796,,,BioGrid,9560245,PMID,1,0,1,,NULL
1,23,HS_GEN2371,low,genetic,MI:0796,,,BioGrid,9560245,PMID,1,0,1,,NULL
1,12,HS_GEN2372,low,genetic,MI:0441,,,BioGrid,19490893,PMID,1,0,1,,NULL
1,782,HS_GEN2373,low,genetic,MI:0796,,,BioGrid,9560245,PMID,1,0,1,,NULL
1,958,HS_GEN2374,low,genetic,MI:0796,,,BioGrid,9560245,PMID,1,0,1,,NULL
1,959,HS_GEN2375,low,genetic,MI:0796,,,BioGrid,9560245,PMID,1,0,1,,NULL
1,962,HS_GEN2376,low,genetic,MI:0796,,,BioGrid,9560245,PMID,1,0,1,,NULL
1,691,HS_GEN2377,low,genetic,MI:0796,,,BioGrid,9560245,PMID,1,0,1,,NULL
2,3,DM_HS_GEN5886,low,genetic,MI:1271,,,BioGrid,11832213,PMID,1,0,1,,NULL
3,203,HS_GEN26532,low,genetic,MI:0254,,,IntAct,15660133,PMID,1,0,1,,NULL
4,5,DM_HS_GEN_2684164,low,genetic,MI:0208,,,BioGrid,27442528,PMID,1,0,1,,NULL
6,7,HS_GEN1,low,genetic,MI:0441,,,BioGrid,25113059,PMID,1,0,1,,NULL
7,685,HS_GEN1716,low,genetic,MI:0441,,,BioGrid,25113059,PMID,1,0,1,,NULL
7,686,HS_GEN1717,low,genetic,MI:0441,,,BioGrid,25113059,PMID,1,0,1,,NULL
7,687,HS_GEN1718,low,genetic,MI:0441,,,BioGrid,25113059,PMID,1,0,1,,NULL
7,688,HS_GEN1719,low,genetic,MI:0441,,,BioGrid,25113059,PMID,1,0,1,,NULL
7,689,HS_GEN1720,low,genetic,MI:0441,,,BioGrid,25113059,PMID,1,0,1,,NULL
7,690,HS_GEN1721,low,genetic,MI:0441,,,BioGrid,25113059,PMID,1,0,1,,NULL
7,691,HS_GEN1722,low,genetic,MI:0441,,,BioGrid,25113059,PMID,1,0,1,,NULL
7,692,HS_GEN1723,low,genetic,MI:0441,,,BioGrid,25113059,PMID,1,0,1,,NULL
7,693,HS_GEN1724,low,genetic,MI:0441,,,BioGrid,25113059,PMID,1,0,1,,NULL
7,694,HS_GEN1725,low,genetic,MI:0441,,,BioGrid,25113059,PMID,1,0,1,,NULL
7,695,HS_GEN1726,low,genetic,MI:0441,,,BioGrid,25113059,PMID,1,0,1,,NULL
7,696,HS_GEN1727,low,genetic,MI:0441,,,BioGrid,25113059,PMID,1,0,1,,NULL
7,405,HS_GEN1728,low,genetic,MI:0441,,,BioGrid,25113059,PMID,1,0,1,,NULL
7,697,HS_GEN1729,moderate,genetic,MI:0441,,,BioGrid,25113059,PMID,1,0,1,,NULL
8,9,HS_GEN10,low,genetic,MI:1271,,,BioGrid,9228084,PMID,1,0,1,,NULL
9,3678,HS_SC_GEN623,low,genetic,MI:0441,,,BioGrid,8943324,PMID,1,0,1,,NULL
9,3628,HS_SC_GEN624,low,genetic,MI:0441,,,BioGrid,8943324,PMID,1,0,1,,NULL
10,11,HS_GEN100,moderate,genetic,MI:0796,,,BioGrid,11832478,PMID,1,0,1,,NULL
10,23,HS_GEN101,low,genetic,MI:0796,,,BioGrid,11832478,PMID,1,0,1,,NULL
10,264,HS_GEN_2689212,low,genetic,MI:0933,,,BioGrid,28319085,PMID,1,0,1,,NULL
10,1696,HS_GEN_2689215,low,genetic,MI:0935,,,BioGrid,28319085,PMID,1,0,1,,NULL
10,1126,HS_GEN_2689216,low,genetic,MI:0933,,,BioGrid,28319085,PMID,1,0,1,,NULL
10,239,HS_GEN_2689218,low,genetic,MI:0933,,,BioGrid,28319085,PMID,1,0,1,,NULL
10,1880,HS_GEN_2689220,low,genetic,MI:0935,,,BioGrid,28319085,PMID,1,0,1,,NULL
10,1903,HS_GEN_2689225,low,genetic,MI:0933,,,BioGrid,28319085,PMID,1,0,1,,NULL
10,1838,HS_GEN_2689227,low,genetic,MI:0933,,,BioGrid,28319085,PMID,1,0,1,,NULL
10,1488,HS_GEN_2689228,low,genetic,MI:0933,,,BioGrid,28319085,PMID,1,0,1,,NULL
10,457,HS_GEN_2689229,low,genetic,MI:0933,,,BioGrid,28319085,PMID,1,0,1,,NULL
10,894,HS_GEN_2689230,low,genetic,MI:0933,,,BioGrid,28319085,PMID,1,0,1,,NULL
10,855,HS_GEN_2689231,low,genetic,MI:0933,,,BioGrid,28319085,PMID,1,0,1,,NULL
10,2052,HS_GEN_2689232,low,genetic,MI:0933,,,BioGrid,28319085,PMID,1,0,1,,NULL
10,12,HS_GEN_3539572,low,genetic,MI:0441,,,BioGrid,28700943,PMID,1,0,1,,NULL
11,92,HS_GEN241,moderate,genetic,MI:0796,,,BioGrid,11832478,PMID,1,0,1,,NULL
11,1004,HS_GEN242,low,genetic,MI:0796,,,BioGrid,11832478,PMID,1,0,1,,NULL
11,1020,HS_GEN244,moderate,genetic,MI:0796,,,BioGrid,11832478,PMID,1,0,1,,NULL
11,361,HS_GEN245,low,genetic,MI:0796,,,BioGrid,8985253,PMID,1,0,1,,NULL
12,13,HS_GEN1000,low,genetic,MI:0441,,,BioGrid,19490893,PMID,1,0,1,,NULL
12,14,HS_GEN1001,low,genetic,MI:0441,,,BioGrid,19490893,PMID,1,0,1,,NULL
12,15,HS_GEN1002,low,genetic,MI:0441,,,BioGrid,24104479,PMID,1,0,1,,NULL
12,16,HS_GEN1003,low,genetic,MI:0441,,,BioGrid,19490893,PMID,1,0,1,,NULL
12,17,HS_GEN1004,low,genetic,MI:0441,,,BioGrid,19490893,PMID,1,0,1,,NULL
12,18,HS_GEN1005,low,genetic,MI:0441,,,BioGrid,19490893,PMID,1,0,1,,NULL
12,19,HS_GEN1006,low,genetic,MI:0441,,,BioGrid,19490893,PMID,1,0,1,,NULL
12,20,HS_GEN1007,high,genetic,MI:0441,,,BioGrid,28700943,PMID,1,0,2,,NULL
12,21,HS_GEN1008,low,genetic,MI:0441,,,BioGrid,19490893,PMID,1,0,1,,NULL
12,22,HS_GEN1009,low,genetic,MI:0441,,,BioGrid,19490893,PMID,1,0,1,,NULL
12,24,HS_GEN1010,low,genetic,MI:0441,,,BioGrid,24104479,PMID,1,0,1,,NULL
12,25,HS_GEN1011,low,genetic,MI:0441,,,BioGrid,19490893,PMID,1,0,1,,NULL
12,26,HS_GEN1012,low,genetic,MI:0441,,,BioGrid,19490893,PMID,1,0,1,,NULL
12,27,HS_GEN1013,low,genetic,MI:0441,,,BioGrid,19490893,PMID,1,0,1,,NULL
12,28,HS_GEN1014,low,genetic,MI:0441,,,BioGrid,19490893,PMID,1,0,1,,NULL
12,29,HS_GEN1015,low,genetic,MI:0441,,,BioGrid,19490893,PMID,1,0,1,,NULL
12,30,HS_GEN1016,low,genetic,MI:0441,,,BioGrid,19490893,PMID,1,0,1,,NULL
12,31,HS_GEN1017,low,genetic,MI:0441,,,BioGrid,19490893,PMID,1,0,1,,NULL
12,32,HS_GEN1018,low,genetic,MI:0441,,,BioGrid,19490893,PMID,1,0,1,,NULL
12,33,HS_GEN1019,low,genetic,MI:0441,,,BioGrid,19490893,PMID,1,0,1,,NULL
12,36,HS_GEN1020,low,genetic,MI:0441,,,BioGrid,19490893,PMID,1,0,1,,NULL
12,37,HS_GEN1021,low,genetic,MI:0441,,,BioGrid,19490893,PMID,1,0,1,,NULL
12,38,HS_GEN1022,low,genetic,MI:0441,,,BioGrid,19490893,PMID,1,0,1,,NULL
12,39,HS_GEN1023,low,genetic,MI:0441,,,BioGrid,19490893,PMID,1,0,1,,NULL
12,40,HS_GEN1024,low,genetic,MI:0441,,,BioGrid,19490893,PMID,1,0,1,,NULL
12,41,HS_GEN1025,low,genetic,MI:0441,,,BioGrid,19490893,PMID,1,0,1,,NULL
12,42,HS_GEN1026,low,genetic,MI:0441,,,BioGrid,19490893,PMID,1,0,1,,NULL
12,43,HS_GEN1027,low,genetic,MI:0441,,,BioGrid,19490893,PMID,1,0,1,,NULL
12,44,HS_GEN1028,low,genetic,MI:0441,,,BioGrid,19490893,PMID,1,0,1,,NULL
12,45,HS_GEN1029,low,genetic,MI:0441,,,BioGrid,19490893,PMID,1,0,1,,NULL
12,48,HS_GEN1030,low,genetic,MI:0441,,,BioGrid,19490893,PMID,1,0,1,,NULL
12,49,HS_GEN1031,low,genetic,MI:0441,,,BioGrid,19490893,PMID,1,0,1,,NULL
12,50,HS_GEN1032,low,genetic,MI:0441,,,BioGrid,19490893,PMID,1,0,1,,NULL
12,51,HS_GEN1033,low,genetic,MI:0441,,,BioGrid,19490893,PMID,1,0,1,,NULL
12,52,HS_GEN1034,high,genetic,MI:0441,,,BioGrid,28700943,PMID,1,0,2,,NULL
12,53,HS_GEN1035,moderate,genetic,MI:0441,,,BioGrid,19490893,PMID,1,0,1,,NULL
12,54,HS_GEN1036,low,genetic,MI:0441,,,BioGrid,19490893,PMID,1,0,1,,NULL
12,55,HS_GEN1037,low,genetic,MI:0441,,,BioGrid,19490893,PMID,1,0,1,,NULL
12,56,HS_GEN1038,low,genetic,MI:0441,,,BioGrid,19490893,PMID,1,0,1,,NULL
12,57,HS_GEN1039,low,genetic,MI:0441,,,BioGrid,19490893,PMID,1,0,1,,NULL
12,59,HS_GEN1040,low,genetic,MI:0441,,,BioGrid,24104479,PMID,1,0,1,,NULL
12,60,HS_GEN1041,low,genetic,MI:0441,,,BioGrid,19490893,PMID,1,0,1,,NULL
12,61,HS_GEN1042,low,genetic,MI:0441,,,BioGrid,19490893,PMID,1,0,1,,NULL
12,62,HS_GEN1043,high,genetic,MI:0441,,,BioGrid,28700943,PMID,1,0,2,,NULL
12,63,HS_GEN1044,low,genetic,MI:0441,,,BioGrid,19490893,PMID,1,0,1,,NULL
12,64,HS_GEN1045,low,genetic,MI:0441,,,BioGrid,24104479,PMID,1,0,1,,NULL
12,65,HS_GEN1046,low,genetic,MI:0441,,,BioGrid,24104479,PMID,1,0,1,,NULL
12,66,HS_GEN1047,low,genetic,MI:0441,,,BioGrid,19490893,PMID,1,0,1,,NULL
12,67,HS_GEN1048,low,genetic,MI:0441,,,BioGrid,19490893,PMID,1,0,1,,NULL
12,68,HS_GEN1049,low,genetic,MI:0441,,,BioGrid,19490893,PMID,1,0,1,,NULL
12,71,HS_GEN1050,low,genetic,MI:0441,,,BioGrid,19490893,PMID,1,0,1,,NULL
