# index, gene, tax_id, _pos
0,6239,178272,"array([0.4093257 , 2.71080177])"
1,9606,8996,"array([0.66317867, 2.60401957])"
2,7227,32207,"array([ 3.31549969, -0.98578701])"
3,9606,54434,"array([ 3.38402403, -0.97425016])"
4,7227,33607,"array([-1.68805552, -0.62565864])"
5,9606,4204,"array([-1.6767769 , -0.69222634])"
6,9606,1,"array([-0.11744061,  2.3571951 ])"
7,9606,5980,"array([0.07601302, 2.27531214])"
8,9606,112,"array([2.54840405, 2.31593241])"
9,9606,2778,"array([2.36528169, 2.32274396])"
10,9606,598,"array([0.92496276, 2.03818132])"
11,9606,835,"array([0.71276536, 1.99778748])"
12,9606,3845,"array([0.91662967, 2.80129635])"
13,9606,27434,"array([0.69356552, 2.47686988])"
14,9606,28984,"array([0.99983645, 2.77882131])"
15,9606,29035,"array([1.01638017, 2.8272705 ])"
16,9606,29116,"array([0.4859866 , 2.87730206])"
17,9606,29796,"array([0.90691786, 3.11118238])"
18,9606,29925,"array([0.96573457, 3.2305614 ])"
19,9606,29928,"array([0.97804141, 2.5415401 ])"
20,9606,29945,"array([1.15410217, 3.17992948])"
21,9606,49860,"array([0.68994505, 3.01330007])"
22,9606,50854,"array([0.77176321, 3.17760451])"
23,9606,841,"array([1.12786267, 2.23266531])"
24,9606,51136,"array([1.14944416, 2.84804569])"
25,9606,51138,"array([0.97656447, 2.50090092])"
26,9606,51164,"array([0.93475282, 2.59498121])"
27,9606,51182,"array([1.31493336, 2.63609365])"
28,9606,51263,"array([0.63465002, 3.09771726])"
29,9606,51265,"array([1.16519513, 2.96541669])"
30,9606,51332,"array([0.95373801, 3.18185939])"
31,9606,51340,"array([0.64930135, 2.89518285])"
32,9606,51533,"array([1.17879167, 3.12620733])"
33,9606,51780,"array([0.68998789, 2.55186084])"
34,9606,613,"array([0.40473471, 1.23281518])"
35,9606,3205,"array([0.51509858, 1.43306844])"
36,9606,53616,"array([0.5912884 , 2.79112702])"
37,9606,54069,"array([1.14894725, 2.9440288 ])"
38,9606,54512,"array([0.97755259, 2.43027419])"
39,9606,54552,"array([0.91520822, 2.49444736])"
40,9606,54665,"array([1.27619683, 2.85217073])"
41,9606,54765,"array([0.77114029, 2.82860792])"
42,9606,54815,"array([1.04106276, 3.2413437 ])"
43,9606,54843,"array([0.71917396, 3.04780745])"
44,9606,54856,"array([1.02707867, 2.85940046])"
45,9606,54926,"array([0.58720914, 2.92143411])"
46,9606,629,"array([0.69789468, 2.03349889])"
47,9606,5728,"array([0.81045546, 2.10250395])"
48,9606,54933,"array([1.00734008, 3.1187502 ])"
49,9606,55035,"array([1.00738243, 2.57491648])"
50,9606,55069,"array([1.3904156 , 2.29807285])"
51,9606,55096,"array([0.81451249, 3.1499104 ])"
52,9606,55143,"array([0.81773399, 2.52016835])"
53,9606,55294,"array([1.43664214, 2.98334189])"
54,9606,55299,"array([0.64856401, 2.68879332])"
55,9606,55505,"array([1.22244441, 2.87343825])"
56,9606,55510,"array([0.53404972, 3.07492573])"
57,9606,55521,"array([1.37766187, 2.26099572])"
58,9606,631,"array([0.98149967, 2.83298151])"
59,9606,55622,"array([1.23423637, 2.96633912])"
60,9606,55699,"array([1.13674351, 2.87059982])"
61,9606,55703,"array([0.95885468, 2.56207136])"
62,9606,55706,"array([0.75840331, 2.87459734])"
63,9606,55854,"array([1.12146161, 3.02061647])"
64,9606,55904,"array([1.06074559, 3.08890729])"
65,9606,55916,"array([0.86593595, 2.7644463 ])"
66,9606,56169,"array([1.07291423, 3.03532833])"
67,9606,56658,"array([1.30945915, 2.88756507])"
68,9606,56888,"array([1.15101651, 2.89557321])"
69,9606,641,"array([0.44008004, 2.44200298])"
70,9606,221,"array([0.12636632, 2.60110331])"
71,9606,57082,"array([0.73894372, 2.72947042])"
72,9606,57242,"array([0.93278673, 3.11465955])"
73,9606,57461,"array([0.85389866, 2.91852152])"
74,9606,57492,"array([1.08933373, 3.05873705])"
75,9606,57703,"array([1.05296419, 2.57286722])"
76,9606,58191,"array([1.25003092, 3.01619165])"
77,9606,59084,"array([0.85656153, 3.14362304])"
78,9606,60401,"array([1.20121179, 3.05156659])"
79,9606,60436,"array([0.9107398 , 2.64780057])"
80,9606,63035,"array([0.89083286, 3.03626066])"
81,9606,231,"array([0.1411256 , 2.56354055])"
82,9606,64410,"array([0.77309396, 3.20548129])"
83,9606,64651,"array([0.91187677, 3.23488923])"
84,9606,64682,"array([0.78613838, 2.88548809])"
85,9606,64761,"array([0.82327311, 2.73465559])"
86,9606,64802,"array([0.82507123, 3.06275503])"
87,9606,65018,"array([1.35014116, 3.14989922])"
88,9606,65094,"array([0.944405 , 2.8725634])"
89,9606,65220,"array([0.65581401, 3.08956287])"
90,9606,79070,"array([0.70503603, 2.93091369])"
91,9606,79183,"array([1.03752258, 3.15891877])"
92,9606,331,"array([0.75675962, 2.19895781])"
93,9606,79544,"array([0.74918841, 2.94778891])"
94,9606,79577,"array([0.7768508 , 2.31274025])"
95,9606,79648,"array([0.87875659, 2.91061345])"
