# index, gene, tax_id, _pos
0,6239,171607,"array([4.99106275, 5.93578349])"
1,6239,175410,"array([5.17317733, 5.54128368])"
2,6239,175909,"array([4.79910432, 5.93380857])"
3,6239,178104,"array([4.71212348, 6.805402  ])"
4,6239,178846,"array([4.61067455, 6.80993823])"
5,6239,181055,"array([4.88328166, 6.38661963])"
6,6239,181291,"array([4.72433436, 6.02783434])"
7,6239,171619,"array([ 3.2960409 , 10.38988611])"
8,6239,172249,"array([3.8082056, 9.0426006])"
9,6239,171654,"array([4.78077313, 5.79981651])"
10,6239,174044,"array([4.94063421, 6.65169503])"
11,6239,180982,"array([4.62667107, 6.23853334])"
12,6239,171692,"array([ 3.0498744, 10.2591637])"
13,6239,171712,"array([ 4.14406509, 10.92515157])"
14,6239,171751,"array([6.62187335, 7.20989914])"
15,6239,173287,"array([4.33698966, 7.28584963])"
16,6239,178218,"array([5.16101446, 7.27158652])"
17,6239,171801,"array([4.40515622, 6.03898945])"
18,6239,174462,"array([4.58199316, 6.1684198 ])"
19,6239,176286,"array([4.27332282, 6.68362778])"
20,6239,171810,"array([ 2.3485953 , 10.89309118])"
21,6239,171832,"array([4.57475926, 6.47413432])"
22,6239,174473,"array([5.40976211, 6.53334238])"
23,6239,176808,"array([5.40073774, 8.28556566])"
24,6239,177870,"array([5.28590842, 7.21921689])"
25,6239,171840,"array([5.4704125, 5.5568486])"
26,6239,171849,"array([4.72131906, 7.16838533])"
27,6239,174058,"array([5.4533508 , 7.32314197])"
28,6239,179217,"array([4.63685521, 7.06807872])"
29,6239,181432,"array([4.20230467, 7.61224717])"
30,6239,171872,"array([5.10089645, 7.66868748])"
31,6239,171873,"array([3.96587156, 5.80472508])"
32,6239,171882,"array([4.15036951, 9.05883819])"
33,6239,171883,"array([5.46026171, 7.19664592])"
34,6239,171896,"array([4.91826751, 8.79303507])"
35,6239,171908,"array([ 4.46291269, 10.43878997])"
36,6239,171934,"array([4.93728399, 4.52229745])"
37,6239,171943,"array([ 2.97386313, 10.49734062])"
38,6239,171978,"array([3.56004788, 6.02505829])"
39,6239,171988,"array([5.99789905, 6.78559422])"
40,6239,177436,"array([5.50463052, 6.92366732])"
41,6239,171994,"array([4.94345183, 7.29561285])"
42,6239,172005,"array([2.55431703, 9.49653959])"
43,6239,172029,"array([ 4.38803506, 10.95216124])"
44,6239,172034,"array([ 5.345817  , 10.16683708])"
45,6239,172041,"array([5.53820856, 9.18767855])"
46,6239,172137,"array([5.97147669, 9.62191919])"
47,6239,172143,"array([6.29125612, 9.67055479])"
48,6239,172161,"array([6.25883621, 7.97288059])"
49,6239,172204,"array([5.09968791, 6.9269217 ])"
50,6239,172310,"array([ 6.61954658, 10.61740068])"
51,6239,172334,"array([ 6.40797945, 10.63398124])"
52,6239,172432,"array([ 5.82419259, 11.05067767])"
53,6239,172476,"array([ 6.50922994, 10.46055081])"
54,6239,172488,"array([6.55708094, 8.75721441])"
55,6239,172491,"array([6.11769665, 7.84121657])"
56,6239,172513,"array([5.13716864, 9.66428563])"
57,6239,172657,"array([5.03487135, 7.85653755])"
58,6239,172741,"array([4.09947408, 6.97799113])"
59,6239,172857,"array([ 4.96729797, 10.0228849 ])"
60,6239,172884,"array([5.85564899, 9.73639488])"
61,6239,172911,"array([ 6.26061347, 10.73002522])"
62,6239,173071,"array([6.03556675, 9.39203782])"
63,6239,173213,"array([ 6.55516194, 10.79787883])"
64,6239,173279,"array([6.1012642 , 9.67907956])"
65,6239,173396,"array([5.68183236, 9.02450092])"
66,6239,173512,"array([5.13715868, 8.52653891])"
67,6239,174106,"array([5.48861754, 7.81728354])"
68,6239,174155,"array([ 6.06793595, 11.06635106])"
69,6239,174165,"array([ 5.97429777, 10.90808663])"
70,6239,174295,"array([6.45513688, 8.2361498 ])"
71,6239,174527,"array([4.481411  , 9.68944389])"
72,6239,174956,"array([6.24813751, 9.83868188])"
73,6239,175359,"array([ 6.38552463, 10.87034097])"
74,6239,175666,"array([5.22173233, 7.50432212])"
75,6239,175912,"array([5.00485923, 9.65154371])"
76,6239,175922,"array([3.71480046, 7.93654045])"
77,6239,176007,"array([6.4864665 , 7.85060226])"
78,6239,176770,"array([6.02404986, 7.52325647])"
79,6239,178173,"array([ 6.2030943 , 10.92842965])"
80,6239,178217,"array([4.0061878 , 9.55220811])"
81,6239,178260,"array([ 5.77420971, 10.87157036])"
82,6239,179229,"array([5.95478659, 9.8368127 ])"
83,6239,179607,"array([5.695948  , 9.88601782])"
84,6239,179683,"array([6.17631214, 9.55462354])"
85,6239,179711,"array([5.67100846, 9.74238731])"
86,6239,180529,"array([5.05419375, 8.35867509])"
87,6239,180671,"array([5.14178308, 7.5865466 ])"
88,6239,184080,"array([ 6.14934433, 10.5985354 ])"
89,6239,186604,"array([6.38892271, 9.32185164])"
90,6239,188703,"array([5.69573126, 8.35626892])"
91,6239,188872,"array([ 6.07589806, 10.7614031 ])"
92,6239,191537,"array([ 6.31366236, 10.46547895])"
93,6239,266836,"array([5.6654118 , 9.50217837])"
94,6239,3564813,"array([5.01481537, 6.88965589])"
95,6239,172054,"array([4.66032628, 9.72225896])"
96,6239,172065,"array([5.14704196, 7.88405249])"
97,6239,172802,"array([4.69050813, 8.01187611])"
98,6239,175890,"array([5.28014748, 6.9944808 ])"
99,6239,177458,"array([4.66605083, 5.94117866])"
100,6239,180357,"array([4.94279929, 7.08527092])"
101,6239,181371,"array([4.87094914, 9.39654656])"
102,6239,172072,"array([ 3.78248486, 10.87770773])"
103,6239,172088,"array([5.3546542 , 7.17476997])"
104,6239,176065,"array([4.19729527, 5.71108568])"
105,6239,180441,"array([4.47785622, 7.26047651])"
106,6239,172123,"array([4.00036403, 8.37665702])"
107,6239,173338,"array([4.25000443, 7.17885314])"
108,6239,175275,"array([3.79954686, 7.59626769])"
109,6239,179224,"array([4.65934056, 7.60077847])"
110,6239,172140,"array([2.44531223, 8.73967721])"
111,6239,172145,"array([5.13742354, 9.5270813 ])"
112,6239,172149,"array([ 3.87715158, 10.98903287])"
113,6239,172155,"array([4.13266968, 8.76625175])"
114,6239,179070,"array([5.22556508, 7.71026972])"
115,6239,172167,"array([5.0162041 , 5.65236347])"
116,6239,176554,"array([6.64044206, 4.70385319])"
117,6239,172176,"array([ 3.486729  , 10.08683863])"
118,6239,172195,"array([5.08167009, 6.00067291])"
119,6239,172225,"array([3.34604514, 8.40194828])"
120,6239,172231,"array([ 3.31965248, 10.68285249])"
121,6239,172233,"array([5.96308903, 6.58601365])"
122,6239,172243,"array([5.67899745, 6.85794395])"
123,6239,172244,"array([3.87591262, 6.47049834])"
124,6239,172258,"array([2.64999034, 9.40327412])"
125,6239,172305,"array([4.79760505, 9.27404053])"
126,6239,172313,"array([2.12932184, 7.45909237])"
127,6239,172338,"array([3.5027772 , 7.75311365])"
128,6239,172342,"array([ 4.26887222, 10.2602953 ])"
129,6239,172368,"array([2.79960438, 6.12599123])"
130,6239,172393,"array([ 2.71297915, 11.15368652])"
131,6239,172394,"array([3.68116841, 6.80626879])"
132,6239,172396,"array([4.9367431 , 8.05592055])"
133,6239,172399,"array([3.97989667, 6.91685793])"
134,6239,172406,"array([3.10128639, 7.72826506])"
135,6239,172420,"array([5.38128296, 7.94841886])"
136,6239,172435,"array([4.52832758, 7.39123852])"
137,6239,172438,"array([6.4495188 , 7.58324831])"
138,6239,172458,"array([5.29789454, 9.01949398])"
139,6239,172459,"array([2.50317573, 9.74559032])"
140,6239,172466,"array([3.78072722, 9.94837879])"
141,6239,172467,"array([4.3673877, 8.1461034])"
142,6239,172521,"array([2.92564794, 8.73931435])"
143,6239,172529,"array([1.99458479, 9.98152835])"
144,6239,172533,"array([ 2.10745386, 10.91289632])"
145,6239,172539,"array([ 3.16647759, 10.32001039])"
146,6239,172552,"array([2.73800157, 9.93823853])"
147,6239,172581,"array([ 3.7986237 , 10.35204133])"
148,6239,172586,"array([3.95206567, 9.97869291])"
149,6239,172610,"array([4.78603894, 8.21557218])"
150,6239,172611,"array([4.73330451, 8.11940882])"
151,6239,172635,"array([ 4.51755068, 11.02332505])"
152,6239,172636,"array([4.61512926, 7.53411086])"
153,6239,172664,"array([ 4.39302835, 10.32314451])"
154,6239,172673,"array([ 3.41233986, 10.91221581])"
155,6239,172674,"array([4.19390653, 7.28437738])"
156,6239,172681,"array([ 4.08548894, 10.36343714])"
157,6239,172682,"array([4.48851834, 9.25365503])"
158,6239,172687,"array([5.52534921, 8.35946138])"
159,6239,172711,"array([ 3.69663097, 10.22714644])"
160,6239,172725,"array([2.556976  , 6.42000454])"
161,6239,172734,"array([5.78631948, 7.81517607])"
162,6239,172742,"array([ 5.09694681, 10.36810126])"
163,6239,172773,"array([4.39368858, 7.68555019])"
164,6239,172775,"array([4.34755609, 7.13235537])"
165,6239,172777,"array([ 3.85532854, 11.14291575])"
166,6239,172784,"array([5.97789042, 8.91075443])"
167,6239,172825,"array([ 2.9053821 , 10.78090446])"
168,6239,172860,"array([3.27629383, 9.54877497])"
169,6239,172917,"array([2.69904604, 8.53813543])"
170,6239,172921,"array([5.79095751, 9.26332712])"
171,6239,172924,"array([ 3.86853797, 11.53150514])"
172,6239,172939,"array([ 4.27913999, 10.13509033])"
173,6239,172944,"array([2.23246893, 9.8220003 ])"
174,6239,172979,"array([ 2.4853128 , 10.93730628])"
175,6239,173000,"array([ 2.80444299, 10.88793282])"
176,6239,173005,"array([3.90731175, 7.26560705])"
177,6239,173027,"array([ 2.88266812, 10.03226687])"
178,6239,173067,"array([ 4.52547496, 10.70575847])"
179,6239,173073,"array([4.99679847, 7.43620017])"
180,6239,173125,"array([ 3.02543248, 10.83783451])"
181,6239,173137,"array([4.7792598, 7.0300439])"
182,6239,173155,"array([2.3734769 , 9.36156237])"
183,6239,173156,"array([1.75085183, 9.41356125])"
184,6239,173221,"array([2.32900413, 8.68800994])"
185,6239,173229,"array([4.92784015, 7.1852026 ])"
186,6239,173233,"array([3.94387139, 8.97095682])"
187,6239,173235,"array([2.56378509, 8.65945927])"
188,6239,173244,"array([ 4.07498831, 10.08543894])"
189,6239,173257,"array([ 5.01181263, 10.21674194])"
190,6239,173273,"array([ 3.26297106, 10.97403659])"
191,6239,173296,"array([4.5228355, 8.9603708])"
192,6239,173310,"array([3.12058202, 8.93932155])"
193,6239,173319,"array([6.07310828, 7.95647276])"
194,6239,173320,"array([ 3.93499115, 11.76783266])"
195,6239,173335,"array([3.7810782 , 9.75777447])"
196,6239,173348,"array([2.57113224, 6.19531597])"
197,6239,173349,"array([1.65729356, 9.65482825])"
198,6239,173357,"array([ 3.68757958, 11.18363097])"
199,6239,173383,"array([ 4.72423513, 11.06226666])"
200,6239,173401,"array([ 3.7423727, 10.090861 ])"
201,6239,173431,"array([3.93386759, 9.25258505])"
202,6239,173449,"array([ 5.06797979, 10.59678928])"
203,6239,173457,"array([4.03348806, 9.05016278])"
204,6239,173484,"array([2.63188717, 6.30171141])"
205,6239,173569,"array([3.65368512, 7.29963523])"
206,6239,173597,"array([ 2.60978864, 10.33960567])"
207,6239,173653,"array([ 3.10562967, 11.13856494])"
208,6239,173749,"array([2.39198533, 8.27681773])"
209,6239,173762,"array([2.50442405, 9.89107985])"
210,6239,173763,"array([ 2.67566307, 10.95684503])"
211,6239,173764,"array([3.8203936 , 7.20362188])"
212,6239,173768,"array([ 2.70790113, 10.57420129])"
213,6239,173772,"array([ 4.20063261, 10.0235492 ])"
214,6239,173773,"array([2.26728627, 8.41600779])"
215,6239,173807,"array([ 3.92065864, 10.84639066])"
216,6239,173819,"array([ 2.67589241, 10.23235739])"
217,6239,173846,"array([6.02266862, 7.64206081])"
218,6239,173859,"array([2.56041104, 8.37315439])"
219,6239,173869,"array([5.38070417, 8.90912408])"
220,6239,173872,"array([ 3.84731765, 10.22943642])"
221,6239,173896,"array([3.16042431, 9.86035088])"
222,6239,173904,"array([6.07007768, 6.64402919])"
223,6239,173961,"array([ 1.96753565, 10.40707929])"
224,6239,173967,"array([2.96518503, 8.20693605])"
225,6239,173983,"array([2.6342383, 9.7132681])"
226,6239,173987,"array([ 3.99756977, 10.20360424])"
227,6239,174011,"array([ 3.5397811 , 10.25992871])"
228,6239,174017,"array([4.25884865, 8.19227712])"
229,6239,174031,"array([1.72861222, 9.18834852])"
230,6239,174051,"array([ 2.02445745, 10.2496836 ])"
231,6239,174070,"array([ 3.6046287 , 11.29351904])"
232,6239,174138,"array([ 2.09405528, 10.12097433])"
