# source, target, MasterNetID, Rank, Interaction_type, Exp_Direct, Exp_Indirect, TaxID_interolog, Source_databases, Reference, Reference_type, Count_direct, Count_indirect, Count_paper, Source_Interolog, Comment
0,1,HS_SP_GEN1685,low,genetic,MI:0208,,,BioGrid,21035342,PMID,1,0,1,,NULL
1,52,SP_GEN958733,low,genetic,MI:0933,,,BioGrid,18818364,PMID,1,0,1,,NULL
1,249,SP_GEN958734,moderate,genetic,MI:0933,,,BioGrid,22681890,PMID,1,0,1,,NULL
1,386,SP_GEN958735,moderate,genetic,MI:0935,,,BioGrid,18818364,PMID,1,0,1,,NULL
1,1272,SP_GEN958736,low,genetic,MI:0935,,,BioGrid,18818364,PMID,1,0,1,,NULL
1,1319,SP_GEN958737,low,genetic,MI:0935,,,BioGrid,22681890,PMID,1,0,1,,NULL
1,1416,SP_GEN958738,low,genetic,MI:0933,,,BioGrid,22681890,PMID,1,0,1,,NULL
1,55,SP_GEN958739,low,genetic,MI:0933,,,BioGrid,22681890,PMID,1,0,1,,NULL
1,213,SP_GEN958740,low,genetic,MI:0933,,,BioGrid,22681890,PMID,1,0,1,,NULL
1,56,SP_GEN958741,high,genetic,MI:0441;MI:0933,,,BioGrid,18931302,PMID,2,0,3,,NULL
1,880,SP_GEN958742,moderate,genetic,MI:0933,,,BioGrid,18818364,PMID,1,0,1,,NULL
1,782,SP_GEN958743,high,genetic,MI:0933,,,BioGrid,18818364,PMID,1,0,2,,NULL
1,1655,SP_GEN958744,moderate,genetic,MI:0933,,,BioGrid,18818364,PMID,1,0,1,,NULL
1,59,SP_GEN958745,low,genetic,MI:0933,,,BioGrid,22681890,PMID,1,0,1,,NULL
1,326,SP_GEN958746,low,genetic,MI:0935,,,BioGrid,22681890,PMID,1,0,1,,NULL
1,407,SP_GEN958747,low,genetic,MI:0933,,,BioGrid,18818364,PMID,1,0,1,,NULL
