# index, gene, tax_id, _pos
0,9606,5870,"array([ 2.98561527, -0.95344956])"
1,4896,2543529,"array([ 2.74727833, -0.66388407])"
2,9606,6047,"array([ 3.18335167, -0.44627032])"
3,4896,2540618,"array([ 2.9031319 , -0.56516545])"
4,9606,10285,"array([ 3.10845081, -0.37948645])"
5,4896,2540589,"array([ 2.81168022, -0.55457466])"
6,9606,50628,"array([ 3.37004408, -0.66662668])"
7,4896,2541916,"array([ 3.12673874, -0.68349618])"
8,9606,1654,"array([ 3.27085754, -0.40288147])"
9,4896,2538689,"array([ 3.02798381, -0.52867785])"
10,9606,3833,"array([ 3.20210694, -0.46071557])"
11,4896,2542732,"array([ 2.90113088, -0.55032821])"
12,10090,63985,"array([ 3.33209602, -0.88266571])"
13,4896,2543233,"array([ 3.11995082, -0.77986757])"
14,4896,5802965,"array([ 3.26580852, -0.84698073])"
15,10090,63986,"array([ 3.34985307, -0.82325998])"
16,4932,851019,"array([ 3.16687225, -0.7203673 ])"
17,4896,2539781,"array([ 2.84466433, -0.69571426])"
18,4932,851129,"array([ 3.18516449, -1.10018954])"
19,4896,2538731,"array([ 3.001647  , -0.93652587])"
20,4896,2542949,"array([ 3.15011648, -1.12830376])"
21,4932,851481,"array([2.53096906, 2.33600175])"
22,4896,2543334,"array([2.48282568, 2.32322791])"
23,4932,851635,"array([ 3.34657018, -0.85460142])"
24,4932,852986,"array([ 0.66185441, -2.84315488])"
25,4896,2543603,"array([ 0.70716566, -2.86436705])"
26,4932,853272,"array([ 3.01854864, -1.19809535])"
27,4896,2540933,"array([ 2.86829693, -0.98699946])"
28,4932,853358,"array([0.77012811, 1.62374669])"
29,4896,2542158,"array([0.80469241, 1.6599279 ])"
30,4932,854418,"array([ 3.22202432, -0.40785919])"
31,4896,2543506,"array([ 2.94749933, -0.53687791])"
32,4932,855668,"array([ 3.15665361, -0.43624858])"
33,4896,2540368,"array([ 2.86760698, -0.56749524])"
34,4932,856036,"array([ 2.99290272, -1.21729949])"
35,4896,2542898,"array([ 2.96491424, -1.23075506])"
36,4932,856083,"array([3.3702617 , 2.22067156])"
37,4896,2542729,"array([3.41352328, 2.24682542])"
38,4932,856241,"array([ 3.1798244 , -1.12835732])"
39,4932,856272,"array([0.28063073, 1.08497377])"
40,4896,2539727,"array([0.23973669, 1.05687454])"
41,4932,856490,"array([ 3.34951413, -0.76952376])"
42,4896,2543454,"array([ 3.1089531 , -0.72512216])"
43,4932,856845,"array([ 3.0840275 , -0.94561175])"
44,4896,2539287,"array([ 2.8446424 , -0.71501065])"
45,4896,2539164,"array([ 2.89060782, -0.52774494])"
46,4896,2539869,"array([ 2.8501913 , -0.60530848])"
47,4896,2540013,"array([ 2.81749835, -0.61821419])"
48,4896,2540620,"array([ 2.92972498, -0.49165884])"
49,4896,2542632,"array([ 2.86173579, -0.64014484])"
50,4896,2542796,"array([ 2.95666406, -0.46784805])"
51,4896,2543481,"array([ 2.83803337, -0.572426  ])"
52,4896,2538690,"array([ 2.66937005, -0.66439138])"
53,4896,2538700,"array([ 2.62956795, -0.52082495])"
54,4896,2538848,"array([ 2.6737515 , -0.63258778])"
55,4896,2538868,"array([ 2.6469797, -0.7021397])"
56,4896,2538930,"array([ 2.71552327, -0.61442776])"
57,4896,2538966,"array([ 2.66384176, -0.60308101])"
58,4896,2539041,"array([ 2.73938922, -0.61548642])"
59,4896,2539050,"array([ 2.70580506, -0.65194471])"
