# index, gene, tax_id, _pos
0,6239,172712,"array([3.17069529, 2.94815636])"
1,7227,40384,"array([3.1549665 , 3.01093287])"
2,6239,173956,"array([3.19478152, 3.114421  ])"
3,7227,40682,"array([3.1707536 , 3.05439224])"
4,7227,42936,"array([3.1512353 , 3.01080396])"
5,7955,321614,"array([3.18230496, 2.97180392])"
6,7227,43765,"array([3.14343581, 3.03918269])"
7,7955,280649,"array([3.10112014, 3.08705547])"
8,7227,3354971,"array([3.16438124, 3.02086825])"
9,7227,31151,"array([3.16518866, 3.04140201])"
10,9606,607,"array([3.18353433, 2.9789956 ])"
11,9606,1387,"array([3.22074227, 3.00582958])"
12,7227,31248,"array([3.16845751, 3.04582309])"
13,9606,120892,"array([3.16081989, 3.06246663])"
14,7227,31251,"array([3.16698567, 3.0211058 ])"
15,9606,8914,"array([3.2101736 , 2.97452736])"
16,7227,31293,"array([3.16532626, 3.04306078])"
17,9606,285203,"array([3.21929893, 3.06922602])"
18,7227,31359,"array([3.13308023, 3.04799949])"
19,9606,2934,"array([3.10035546, 3.09771773])"
20,7227,31521,"array([3.15049895, 3.02789423])"
21,9606,473,"array([3.18422845, 2.97746847])"
22,9606,1822,"array([3.12315061, 2.97695142])"
23,7227,31598,"array([3.21470654, 3.01647918])"
24,9606,3018,"array([3.2618531 , 3.00837284])"
25,9606,8350,"array([3.26033012, 3.00388641])"
26,7227,31669,"array([3.13152876, 3.01944386])"
27,9606,30011,"array([3.07453964, 2.99923693])"
28,7227,31739,"array([3.19921049, 3.02422986])"
29,9606,23404,"array([3.1489821 , 3.00597953])"
30,7227,31838,"array([3.13935113, 3.03879352])"
31,9606,2782,"array([3.12780466, 3.06841079])"
32,9606,5082,"array([3.11841078, 3.06322678])"
33,7227,31840,"array([3.14500124, 3.02795609])"
34,9606,3516,"array([3.13726441, 2.97513374])"
35,9606,4851,"array([3.1627793 , 2.96805772])"
36,7227,32045,"array([3.14008933, 3.04742458])"
37,7227,32100,"array([3.17320288, 3.03314393])"
38,9606,1025,"array([3.23453573, 3.04575241])"
39,7227,32225,"array([3.17917746, 3.03759633])"
40,9606,342371,"array([3.21339144, 2.99710288])"
41,7227,32343,"array([3.19304967, 3.02641251])"
42,9606,5515,"array([3.24988324, 3.01881347])"
43,7227,32518,"array([3.13813791, 3.04004811])"
44,7227,32558,"array([3.12402832, 3.0091176 ])"
45,7227,32597,"array([3.20112554, 3.04160403])"
46,9606,5921,"array([3.25360007, 3.05421168])"
47,7227,32665,"array([3.1502543 , 3.02563374])"
48,7227,32762,"array([3.18408281, 3.02193027])"
49,9606,7157,"array([3.22504533, 3.00899684])"
50,7227,33114,"array([3.16538798, 3.0080389 ])"
51,9606,6804,"array([3.18171887, 2.96567923])"
52,7227,33196,"array([3.14567334, 3.04378172])"
53,9606,1452,"array([3.10096164, 3.08953045])"
54,9606,5566,"array([3.11729611, 3.10010926])"
55,7227,33226,"array([3.14581141, 3.01288822])"
56,9606,3315,"array([3.12610518, 2.95384737])"
