# index, gene, tax_id, _pos
0,6239,171647,"array([3.06841114, 1.37351352])"
1,9606,23624,"array([3.10752259, 1.35221033])"
2,6239,171765,"array([3.1170461 , 1.39097633])"
3,9606,7329,"array([3.10660867, 1.34331381])"
4,6239,171849,"array([3.07819811, 1.30959997])"
5,9606,2033,"array([3.11012243, 1.33925767])"
6,6239,172597,"array([3.10393313, 1.40478694])"
7,9606,3690,"array([3.11626818, 1.36457551])"
8,6239,172610,"array([3.10768731, 1.4057295 ])"
9,9606,5310,"array([3.11335132, 1.36466226])"
10,6239,172890,"array([3.15561935, 1.39023957])"
11,9606,10217,"array([3.1245745, 1.3593105])"
12,6239,173149,"array([3.06306718, 1.33984646])"
13,9606,8312,"array([3.10720651, 1.34641049])"
14,6239,173287,"array([3.07640147, 1.3712022 ])"
15,9606,2932,"array([3.11293363, 1.34314261])"
16,6239,174004,"array([3.17148063, 1.35703561])"
17,9606,23141,"array([3.13021793, 1.35166678])"
18,6239,174150,"array([3.09206115, 1.39709374])"
19,9606,3064,"array([3.11244681, 1.35757938])"
20,6239,175071,"array([3.05026438, 1.32867107])"
21,9606,91368,"array([3.08875058, 1.33879104])"
22,6239,175217,"array([3.07390707, 1.35678527])"
23,9606,815,"array([3.10782525, 1.35000067])"
24,9606,10116,"array([3.10747484, 1.34654044])"
25,6239,175532,"array([3.15650954, 1.3726383 ])"
26,9606,5829,"array([3.11799127, 1.35590444])"
27,9606,7316,"array([3.13920309, 1.3546047 ])"
28,6239,175545,"array([3.07852365, 1.38610568])"
29,9606,6464,"array([3.11051249, 1.35408874])"
30,6239,175643,"array([3.11510785, 1.38516124])"
31,9606,598,"array([3.11951533, 1.35751671])"
32,9606,834,"array([3.1070505 , 1.35414284])"
33,9606,841,"array([3.11716346, 1.35161238])"
34,6239,175716,"array([3.11028541, 1.40693921])"
35,6239,175717,"array([3.09427233, 1.30906948])"
36,9606,554313,"array([3.11418601, 1.33910588])"
37,6239,175781,"array([3.07557282, 1.31091257])"
38,9606,1616,"array([3.11036233, 1.3396799 ])"
39,6239,175852,"array([3.08125652, 1.31460619])"
40,9606,3837,"array([3.11816729, 1.34166117])"
41,6239,175909,"array([3.1107983 , 1.31201612])"
42,9606,4152,"array([3.10798427, 1.33343326])"
43,9606,7529,"array([3.11280972, 1.34987209])"
44,9606,8668,"array([3.11835092, 1.34227096])"
45,9606,54751,"array([3.10030646, 1.33412744])"
46,6239,176330,"array([3.15546318, 1.38698774])"
47,6239,176380,"array([3.0848544 , 1.30083132])"
48,9606,1385,"array([3.11030288, 1.33772686])"
