# index, gene, tax_id, _pos
0,6239,172712,"array([6.62377848, 9.12161127])"
1,7227,40384,"array([6.49602729, 8.43025079])"
2,6239,173956,"array([6.69075702, 9.57017129])"
3,7227,40682,"array([6.44095993, 8.77901647])"
4,6239,171647,"array([ 6.4745779 , 10.05681521])"
5,9606,23624,"array([ 5.78450172, 10.49330346])"
6,6239,171765,"array([ 7.40601442, 10.11641229])"
7,9606,7329,"array([ 8.17665488, 10.67099702])"
8,6239,171849,"array([6.27296614, 9.91107612])"
9,9606,2033,"array([5.45936859, 9.78101418])"
10,6239,172597,"array([ 6.48794584, 10.29296856])"
11,9606,3690,"array([ 5.98154004, 10.92583558])"
12,6239,172610,"array([6.86338415, 9.95649273])"
13,9606,5310,"array([7.04762507, 9.3340883 ])"
14,6239,172890,"array([6.46341243, 9.52399918])"
15,9606,10217,"array([5.81407491, 9.37341657])"
16,6239,173149,"array([6.94753599, 9.94023665])"
17,9606,8312,"array([6.51193525, 9.16649842])"
18,6239,173287,"array([6.67005525, 9.6566263 ])"
19,9606,2932,"array([6.3683777 , 9.12472224])"
20,6239,174004,"array([ 7.70243323, 10.14690792])"
21,9606,23141,"array([ 8.20646543, 10.14532807])"
22,6239,174150,"array([ 6.50484425, 10.67365784])"
23,9606,3064,"array([ 6.08103815, 11.33423572])"
24,6239,175071,"array([7.28495852, 9.68096862])"
25,9606,91368,"array([7.74433406, 8.99519986])"
26,6239,175217,"array([ 6.55856953, 10.55629092])"
27,9606,815,"array([ 6.31941912, 11.33528349])"
28,9606,10116,"array([ 6.20128138, 11.26179651])"
29,6239,175532,"array([ 5.77528405, 10.2162657 ])"
30,9606,5829,"array([5.53080657, 9.74552201])"
31,9606,7316,"array([ 6.00464341, 10.41937279])"
32,6239,175545,"array([6.70296639, 9.76974302])"
33,9606,6464,"array([6.24335031, 9.03544538])"
34,6239,175643,"array([7.31433665, 9.44159799])"
35,9606,598,"array([7.6711147 , 8.89055768])"
36,9606,834,"array([7.73324064, 9.19672275])"
37,9606,841,"array([7.80876012, 8.82990308])"
38,6239,175716,"array([ 7.15638883, 10.06611867])"
39,6239,175717,"array([7.21262728, 9.85832994])"
40,9606,554313,"array([ 6.79779241, 10.69103082])"
41,6239,175781,"array([ 6.2199613 , 10.08760926])"
42,9606,1616,"array([ 5.42709321, 10.39720336])"
43,6239,175852,"array([ 6.87383827, 10.12525766])"
44,9606,3837,"array([7.22645342, 9.46367414])"
45,6239,175909,"array([7.77002267, 9.9795021 ])"
46,9606,4152,"array([ 8.63163137, 10.02003912])"
47,9606,7529,"array([8.62926145, 9.97671758])"
48,9606,8668,"array([8.60277202, 9.90593632])"
49,9606,54751,"array([8.64561116, 9.93560288])"
50,6239,176330,"array([ 7.56008856, 10.15293517])"
51,6239,176380,"array([6.77673371, 9.63159674])"
52,9606,1385,"array([6.62252112, 8.8080615 ])"
53,6239,176443,"array([14.50491353,  2.7156205 ])"
54,9606,4124,"array([14.45241142,  2.6118671 ])"
55,6239,176454,"array([ 5.90615607, 11.77789217])"
56,9606,3382,"array([ 5.67473864, 12.20337775])"
57,6239,176481,"array([6.31298055, 9.33278989])"
58,9606,22879,"array([5.88013276, 8.95523391])"
59,9606,84315,"array([5.70398823, 8.83268466])"
60,6239,176507,"array([6.94603623, 8.87609003])"
61,9606,7323,"array([7.01245124, 8.19980748])"
62,6239,176525,"array([6.27068024, 9.52381575])"
63,9606,7072,"array([5.6123995 , 9.03569299])"
64,6239,176548,"array([ 6.17969496, 10.04474648])"
65,6239,176574,"array([ 5.75788739, 10.84816199])"
66,9606,51586,"array([ 5.23721836, 11.21092323])"
67,6239,177335,"array([ 6.67037821, 10.22958171])"
68,9606,8453,"array([ 6.4601732 , 10.89599749])"
69,6239,177460,"array([ 6.74292189, 10.73020939])"
70,9606,3725,"array([ 6.56261105, 11.49587422])"
71,6239,177734,"array([ 6.36730402, 10.44655745])"
72,9606,9647,"array([ 5.81395499, 11.01715856])"
73,6239,177942,"array([6.01997076, 9.87537329])"
74,6239,178079,"array([ 6.33358508, 10.14577329])"
75,9606,5879,"array([ 5.58756602, 10.494516  ])"
76,6239,178250,"array([6.65256294, 9.96680133])"
77,9606,891,"array([ 5.91182875, 10.33752161])"
78,6239,178272,"array([7.34731237, 9.84402534])"
79,9606,8738,"array([7.97303801, 9.22437932])"
80,9606,8996,"array([8.08944209, 9.36570147])"
