# index, name, family, order, is_pollinator, _pos
0,Abutilon theophrasti,Malvaceae,,0,"array([4.21052004, 0.35323242])"
1,Amegilla walshii,Anthophoridae,Hymenoptera,1,"array([4.12807334, 0.13047189])"
2,Apis mellifera,Apidiae,Hymenoptera,1,"array([4.20047962, 0.66207551])"
3,Bombias separatus,Bombidae,Hymenoptera,1,"array([4.22645407, 0.62609567])"
4,Bombus americanorum,Bombidae,Hymenoptera,1,"array([4.28149541, 0.53865867])"
5,Callidryas eubule,Papilionidae,Lepidoptera,1,"array([4.23275255, 0.20648313])"
6,Chloralictus versatus,Halictidae,Hymenoptera,1,"array([4.13139085, 0.74569351])"
7,Curtisapis coriacea,Halictidae,Hymenoptera,1,"array([4.21339591, 0.75757687])"
8,Epimelissodes obliqua,Euceridae,Hymenoptera,1,"array([4.08600475, 0.32414525])"
9,Megachile brevis,Megachilidae,Hymenoptera,1,"array([4.10549016, 0.44210847])"
10,Melissodes agilis,Euceridae,Hymenoptera,1,"array([3.99655149, 0.33313115])"
11,Melissodes bimaculata,Euceridae,Hymenoptera,1,"array([4.1294246 , 0.40064253])"
12,Melissodes boltoniae,Euceridae,Hymenoptera,1,"array([4.04295152, 0.30314   ])"
13,Melissodes comptoides,Euceridae,Hymenoptera,1,"array([3.98369134, 0.28361714])"
14,Melissodes nivea,Euceridae,Hymenoptera,1,"array([3.90126081, 0.23706746])"
15,Melissodes petalostemonis,Euceridae,Hymenoptera,1,"array([4.2889109 , 0.12618637])"
16,Melissodes simillima,Euceridae,Hymenoptera,1,"array([3.87224583, 0.35342557])"
17,Melissodes variabilis,Euceridae,Hymenoptera,1,"array([4.22412222, 0.28258306])"
18,Mesogramma marginata,Syrphidae,Diptera,1,"array([4.04446579, 0.84185534])"
19,Pholisora catullus,Hesperiidae,Lepidoptera,1,"array([4.22851139, 0.52841921])"
20,Pieris rapae,Papilionidae,Lepidoptera,1,"array([4.16556065, 0.55054114])"
21,Seladonia fasciata,Halictidae,Hymenoptera,1,"array([4.07766081, 0.81274128])"
22,Trochilus colubris,Trochilidae,Aves,1,"array([4.50537143, 0.3464651 ])"
23,Xanthosarus latimanus,Megachilidae,Hymenoptera,1,"array([3.98444331, 0.3594557 ])"
24,Acer negundo,Aceraceae,,0,"array([5.02177932, 0.54887757])"
25,Acer saccharinum,Aceraceae,,0,"array([4.75831166, 0.02197341])"
26,Achillea millefolium,Compositae,,0,"array([3.84352096, 0.84579422])"
27,Allograpta obliqua,Syrphidae,Diptera,1,"array([4.01529994, 0.84048946])"
28,Apinops atra,Tachinidae,Diptera,1,"array([3.97310219, 0.70743596])"
29,Archytas analis,Tachinidae,Diptera,1,"array([3.95595458, 0.73325008])"
30,Bombias auricomus,Bombidae,Hymenoptera,1,"array([4.24365535, 0.60717554])"
31,Cerceris compacta,Philanthidae,Hymenoptera,1,"array([3.73564454, 0.79804784])"
32,Cerceris rufinoda,Philanthidae,Hymenoptera,1,"array([3.44524055, 0.50407846])"
33,Chloralictus pilosus,Halictidae,Hymenoptera,1,"array([4.15059265, 0.73253418])"
34,Chrysops striatus,Tabanidae,Diptera,1,"array([3.62953668, 1.0628296 ])"
35,Cistogaster occidua,Tachinidae,Diptera,1,"array([3.830557  , 0.78637244])"
36,Cistogaster pallasii,Tachinidae,Diptera,1,"array([3.82239013, 0.89861488])"
37,Conops brachyrrhynchus,Conopidae,Diptera,1,"array([3.77432022, 0.78761652])"
38,Epigrimyia polita,Tachinidae,Diptera,1,"array([3.58654224, 0.36646431])"
39,Eristalis aeneus,Syrphidae,Diptera,1,"array([3.98921624, 0.89611017])"
40,Eristalis dimidiatus,Syrphidae,Diptera,1,"array([4.12341395, 0.89171176])"
41,Eristalis tenax,Syrphidae,Diptera,1,"array([3.96198337, 0.67743435])"
42,Eristalis transversus,Syrphidae,Diptera,1,"array([4.03649659, 0.72731035])"
43,Gnathias cuneatus,Nomadidae,Hymenoptera,1,"array([4.36932244, 1.17583797])"
44,Gymnosoma fuliginosa,Tachinidae,Diptera,1,"array([3.84902247, 0.90987113])"
45,Helicobia helicis,Sarcophagidae,Diptera,1,"array([3.87902275, 0.92826739])"
46,Leionotus foraminatus,Eumenidae,Hymenoptera,1,"array([4.00134216, 0.80079948])"
47,Leionotus fulvipes,Eumenidae,Hymenoptera,1,"array([3.70834296, 0.99946858])"
48,Lucilia sylvarum,Muscidae,Diptera,1,"array([3.99577056, 0.95716807])"
49,Mallota cimbiciformis,Syrphidae,Diptera,1,"array([3.93814419, 0.99218734])"
50,Megachile petulans,Megachilidae,Hymenoptera,1,"array([3.94841435, 0.4325564 ])"
51,Mordella melaena,Mordellidae,Coleoptera,1,"array([3.43358367, 1.16111566])"
52,Notoglossa americana,Oxybelidae,Hymenoptera,1,"array([3.70161102, 0.83943274])"
53,Notoglossa frontalis,Oxybelidae,Hymenoptera,1,"array([3.73650036, 0.89588617])"
54,Odontalictus ligatus,Halictidae,Hymenoptera,1,"array([4.07389977, 0.70003508])"
55,Oncodocera leucoprocta,Bombyliidae,Diptera,1,"array([3.2278575, 0.991592 ])"
56,Oncomyia loraria,Conopidae,Diptera,1,"array([3.89156172, 0.80561236])"
57,Orthoneura nitida,Syrphidae,Diptera,1,"array([3.95711746, 0.90928607])"
58,Oxybelus packardii,Oxybelidae,Hymenoptera,1,"array([3.61246043, 0.88831953])"
59,Paragus tibialis,Syrphidae,Diptera,1,"array([3.93311927, 0.93319501])"
60,Paralictus simplex,Halictidae,Hymenoptera,1,"array([4.23778913, 1.35200334])"
61,Phorbia acra,Anthomyidae,Diptera,1,"array([4.01776801, 1.00276697])"
62,Phorbia platura,Anthomyidae,Diptera,1,"array([4.08820163, 1.02848875])"
63,Protothyreopus rufifemur,Crabronidae,Hymenoptera,1,"array([3.54501471, 0.72550542])"
64,Pseudopyrellia cornicina,Muscidae,Diptera,1,"array([3.98659512, 0.8627374 ])"
65,Rhynchocephalus sackeni,Nemestrinidae,Diptera,1,"array([3.58466929, 0.11433808])"
66,Sapromyza vulgaris,Sapromyzidae,Diptera,1,"array([3.7039624 , 1.15438803])"
67,Sarcophaga cimbicis,Sarcophagidae,Diptera,1,"array([3.90459686, 0.95334848])"
68,Senotainia rubriventris,Tachinidae,Diptera,1,"array([3.63337821, 0.75728602])"
69,Senotainia trilineata,Tachinidae,Diptera,1,"array([3.69619461, 0.71495873])"
70,Sphaerophoria cylindrica,Syrphidae,Diptera,1,"array([4.0548152 , 0.86820044])"
71,Syritta pipiens,Syrphidae,Diptera,1,"array([3.95360887, 0.81872134])"
72,Syrphus americanus,Syrphidae,Diptera,1,"array([4.14344759, 0.88052375])"
73,Syrphus ribesii,Syrphidae,Diptera,1,"array([4.0825191 , 0.90192812])"
74,Toxophora amphitea,Bombyliidae,Diptera,1,"array([3.78414269, 0.74861335])"
