# source, target, time
0,1,1240913019
0,2,1240913019
0,1,1240913039
0,1,1240913059
0,1,1240913079
0,1,1240913259
0,2,1240913339
0,2,1240913459
0,2,1240913499
0,2,1240913559
0,2,1240913579
0,2,1240913719
0,2,1240913759
0,2,1240913779
0,2,1240913799
0,2,1240913839
0,2,1240913939
0,2,1240913959
0,2,1240914019
0,2,1240914039
0,2,1240914059
0,2,1240914079
0,2,1240914159
0,13,1240914439
0,10,1240914539
0,9,1240914539
0,2,1240914539
0,15,1240914979
0,22,1240915039
0,2,1240915079
0,2,1240915099
0,2,1240915159
0,2,1240915179
0,2,1240915239
0,2,1240915259
0,2,1240915279
0,2,1240915299
0,2,1240915339
0,2,1240915359
0,2,1240915379
0,2,1240916059
0,9,1240916079
0,2,1240916079
1,2,1240913019
1,2,1240913039
1,2,1240913059
1,2,1240913079
1,0,1240913099
1,2,1240913179
1,0,1240913199
1,0,1240913219
1,2,1240913259
1,2,1240913299
1,2,1240913319
1,2,1240913339
1,0,1240913339
1,0,1240913379
1,0,1240913399
1,2,1240913419
1,2,1240913439
1,0,1240913439
1,2,1240913459
1,0,1240913479
1,0,1240913499
1,2,1240913499
1,0,1240913919
1,0,1240913939
1,2,1240913939
1,0,1240913959
1,0,1240913979
1,2,1240913979
1,13,1240914059
1,2,1240914199
1,3,1240914239
1,4,1240914259
1,3,1240914259
1,2,1240914259
1,2,1240914299
1,2,1240914319
1,2,1240914339
1,0,1240914359
1,0,1240914379
1,0,1240914399
1,0,1240914419
1,0,1240914439
1,10,1240914499
1,2,1240914499
1,9,1240914519
1,10,1240914539
1,0,1240914539
1,2,1240914539
1,10,1240914559
1,0,1240914559
1,2,1240914559
1,2,1240914619
1,2,1240914639
1,0,1240914659
1,2,1240914659
1,0,1240914679
1,2,1240914679
1,0,1240914699
1,2,1240914699
1,2,1240914719
1,0,1240914719
1,0,1240914759
1,0,1240914779
1,2,1240914819
1,0,1240914859
1,0,1240914879
1,2,1240914879
1,2,1240914899
1,0,1240914939
1,2,1240915039
1,2,1240915059
1,6,1240915139
1,5,1240915179
1,5,1240915199
1,2,1240915219
1,2,1240915239
1,2,1240915259
1,0,1240915259
1,0,1240915279
1,2,1240915279
1,0,1240915299
1,0,1240915319
1,2,1240915319
1,0,1240915339
1,2,1240915339
1,0,1240915359
1,2,1240915359
1,2,1240915379
1,0,1240915379
1,3,1240915379
1,0,1240915399
1,0,1240915419
1,0,1240915439
1,0,1240915459
1,0,1240915479
1,0,1240915499
1,0,1240915899
1,0,1240915919
1,0,1240915939
